PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
Mrpl10,"39S ribosomal protein L10, mitochondrial",Q3TBW2,RM10_MOUSE,"nucleoplasm,mitochondrion,mitochondrial large ribosomal subunit,intracellular ribonucleoprotein complex","translation,mitochondrial translation","RNA binding,structural constituent of ribosome",5.670395535298352E-06,3,3,3,3,3,3,3,Filtered,3,3,3,3,3,3,3,Filtered,14.118094444274902,11.935649871826172,9.3364839553833,5.0108184814453125,17.181499481201172,7.52643346786499,12.791801452636719,Filtered
Eci2,"Enoyl-CoA delta isomerase 2, mitochondrial;Enoyl-CoA delta isomerase 2, mitochondrial;Isoform 2 of Enoyl-CoA delta isomerase 2, mitochondrial",Q3TCD4;Q9WUR2;Q9WUR2-2,Q3TCD4_MOUSE;ECI2_MOUSE;ECI2_MOUSE,";nucleoplasm,mitochondrion,peroxisome,peroxisomal matrix,membrane,intracellular membrane-bounded organelle;",";fatty acid beta-oxidation,fatty acid catabolic process;",";fatty-acyl-CoA binding,dodecenoyl-CoA delta-isomerase activity,receptor binding;",4.163184328651916E-25,18,14,18,18,19,17,17,Filtered,18,14,18,18,19,17,17,Filtered,114.6594467163086,44.0378303527832,108.52642822265625,30.13189125061035,109.47904205322266,52.57831573486328,99.61005401611328,Filtered
Cul4a,Cullin-4A,Q3TCH7,CUL4A_MOUSE,"Cul4A-RING E3 ubiquitin ligase complex,Cul4-RING E3 ubiquitin ligase complex","in utero embryonic development,DNA repair,ubiquitin-dependent protein catabolic process,positive regulation of cell proliferation,viral process,protein ubiquitination,hemopoiesis,negative regulation of granulocyte differentiation,somatic stem cell population maintenance,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,proteasome-mediated ubiquitin-dependent protein catabolic process,positive regulation of protein catabolic process,regulation of protein metabolic process,positive regulation of G1/S transition of mitotic cell cycle,regulation of DNA damage checkpoint,regulation of nucleotide-excision repair","protein binding,ubiquitin protein ligase binding,ubiquitin protein ligase activity",0.001015075406810866,1,1,Filtered,3,2,3,2,Filtered,1,1,Filtered,3,0,3,2,Filtered,1.9353001117706299,3.3675954341888428,Filtered,1.3813197612762451,NaN,3.8671836853027344,1.1309782266616821,Filtered
Ppp1r21,Protein phosphatase 1 regulatory subunit 21,Q3TDD9,PPR21_MOUSE,membrane,biological_process,phosphatase binding,7.963876672598725E-24,2,2,2,2,1,2,2,Filtered,2,2,2,2,1,2,2,Filtered,6.091777801513672,5.70269250869751,5.568048000335693,9.157133102416992,9.313888549804688,8.324647903442383,10.563872337341309,Filtered
Faf2,FAS-associated factor 2,Q3TDN2,FAF2_MOUSE,"endoplasmic reticulum,lipid particle,VCP-NPL4-UFD1 AAA ATPase complex","response to unfolded protein,ER-associated ubiquitin-dependent protein catabolic process,retrograde protein transport, ER to cytosol,lipid particle organization,negative regulation of catalytic activity","ubiquitin protein ligase binding,lipase binding,ubiquitin binding,lipase inhibitor activity",4.799036864972002E-16,7,7,7,7,6,8,6,Filtered,7,7,7,7,6,8,6,Filtered,18.030258178710938,20.178735733032227,19.975811004638672,16.241291046142578,18.622005462646484,20.229759216308594,13.923447608947754,Filtered
Rpa2,Replication protein A 32 kDa subunit,Q3TE40;Q62193,Q3TE40_MOUSE;RFA2_MOUSE,";nuclear chromosome, telomeric region,chromatin,nucleus,nucleoplasm,DNA replication factor A complex,nuclear body,PML body,chromosome, telomeric region,site of double-strand break",";telomere maintenance,double-strand break repair via homologous recombination,DNA replication,base-excision repair,nucleotide-excision repair,mismatch repair,regulation of double-strand break repair via homologous recombination,mitotic G1 DNA damage checkpoint,protein localization to chromosome,regulation of DNA damage checkpoint",";DNA binding,damaged DNA binding,single-stranded DNA binding,protein binding,enzyme binding,protein phosphatase binding,ubiquitin protein ligase binding,G-rich strand telomeric DNA binding",1.0149862601665668E-16,1,2,Filtered,2,Filtered,2,1,Filtered,1,2,Filtered,2,Filtered,2,1,Filtered,11.043195724487305,4.010258197784424,Filtered,14.352704048156738,Filtered,33.2993049621582,15.539434432983398,Filtered
Hp1bp3,Heterochromatin protein 1-binding protein 3;Isoform 2 of Heterochromatin protein 1-binding protein 3;Heterochromatin protein 1-binding protein 3,Q3TEA8;Q3TEA8-2;Z4YKB8,HP1B3_MOUSE;HP1B3_MOUSE;Z4YKB8_MOUSE,"nucleosome,nucleus,chromosome,nuclear speck;;","nucleosome assembly,regulation of transcription, DNA-templated,regulation of cell proliferation,heterochromatin organization,cellular response to hypoxia,regulation of nucleus size;;","DNA binding,nucleosome binding;;",4.018412233250726E-24,14,14,14,14,14,14,13,Filtered,14,14,14,14,14,14,13,Filtered,64.79393768310547,81.30316162109375,52.02356719970703,83.80460357666016,51.26040267944336,98.1601333618164,51.18550491333008,Filtered
Srsf10,Serine/arginine-rich-splicing factor 10;Serine/arginine-rich splicing factor 10;Isoform 2 of Serine/arginine-rich splicing factor 10;Isoform 3 of Serine/arginine-rich splicing factor 10,Q3TFP0;Q9R0U0;Q9R0U0-2;Q9R0U0-3,Q3TFP0_MOUSE;SRS10_MOUSE;SRS10_MOUSE;SRS10_MOUSE,";nucleoplasm,cytosol,nuclear speck;;",";RNA splicing, via transesterification reactions,mRNA splicing, via spliceosome,regulation of transcription, DNA-templated,mRNA splice site selection,mRNA export from nucleus,cytosolic transport,regulation of mRNA splicing, via spliceosome,negative regulation of mRNA splicing, via spliceosome;;",";RNA binding,unfolded protein binding;;",1.0156730516951328E-07,4,7,3,7,3,6,5,Filtered,4,7,3,7,3,6,5,Filtered,49.91059112548828,32.4011116027832,48.93177032470703,44.30132293701172,15.742612838745117,68.0197982788086,42.436580657958984,Filtered
Snx12,"Sorting nexin 12, isoform CRA_b;Sorting nexin-12;Sorting nexin 12, isoform CRA_c",Q3TGS7;Q3V2H3;Q6ZWQ5,Q3TGS7_MOUSE;Q3V2H3_MOUSE;Q6ZWQ5_MOUSE,;;,;;,;;,8.028032596168772E-16,8,9,10,7,9,9,9,Filtered,8,9,10,7,9,9,9,Filtered,62.728389739990234,94.07250213623047,57.733497619628906,53.35321807861328,54.347511291503906,78.22396087646484,65.51004028320312,Filtered
Myl12b,Myosin regulatory light chain 12B,Q3THE2,ML12B_MOUSE,"stress fiber,brush border,myosin II complex,Z disc,apical part of cell,extracellular exosome,cell cortex region","regulation of cell shape,platelet aggregation","calcium ion binding,myosin heavy chain binding",2.0797979084312963E-20,13,16,14,14,14,15,14,1,13,16,14,14,14,15,14,1,212.35926818847656,609.7932739257812,237.83877563476562,569.0970458984375,229.042724609375,520.0130615234375,169.5070037841797,220.89117431640625
Gmps,GMP synthase [glutamine-hydrolyzing],Q3THK7,GUAA_MOUSE,cytosol,"GMP biosynthetic process,glutamine metabolic process","GMP synthase activity,GMP synthase (glutamine-hydrolyzing) activity,ATP binding,pyrophosphatase activity",2.428539262637676E-06,22,20,13,20,18,20,17,Filtered,22,20,13,20,18,20,17,Filtered,20.763229370117188,31.03643226623535,20.66220474243164,25.78943634033203,19.97648048400879,31.746736526489258,14.760201454162598,Filtered
Mat2a,S-adenosylmethionine synthase isoform type-2,Q3THS6,METK2_MOUSE,"cytosol,methionine adenosyltransferase complex","S-adenosylmethionine biosynthetic process,one-carbon metabolic process,protein hexamerization,protein heterooligomerization,cellular response to leukemia inhibitory factor","methionine adenosyltransferase activity,ATP binding,identical protein binding,metal ion binding",7.219142018525666E-22,13,14,12,12,12,13,10,Filtered,13,14,12,12,12,13,10,Filtered,141.2757568359375,111.9264907836914,119.44522094726562,95.01705932617188,108.28936767578125,106.5750732421875,99.02816009521484,Filtered
Zc3h15,Zinc finger CCCH domain-containing protein 15,Q3TIV5,ZC3HF_MOUSE,"nucleolus,cytosol",cytokine-mediated signaling pathway,"RNA binding,cadherin binding,metal ion binding",1.2431223368607675E-09,2,4,4,4,3,4,3,Filtered,2,4,4,4,3,4,3,Filtered,11.841559410095215,6.859086036682129,7.713370323181152,18.252452850341797,8.313202857971191,17.914527893066406,11.158220291137695,Filtered
Usp39,U4/U6.U5 tri-snRNP-associated protein 2,Q3TIX9,SNUT2_MOUSE,"nucleoplasm,spliceosomal complex","spliceosomal complex assembly,cell cycle,protein deubiquitination,cell division","zinc ion binding,thiol-dependent ubiquitinyl hydrolase activity",0.00015677037453897533,3,5,1,2,2,3,1,Filtered,3,5,1,2,2,3,1,Filtered,9.948110580444336,3.453951597213745,1.6417629718780518,10.985695838928223,3.619774341583252,8.435090065002441,6.680466175079346,Filtered
Pdlim7,PDZ and LIM domain protein 7,Q3TJD7,PDLI7_MOUSE,"stress fiber,ruffle,nucleus,cytoplasm,cell-cell adherens junction,focal adhesion,actin cytoskeleton","ossification,multicellular organism development,actin cytoskeleton organization,cell differentiation,positive regulation of osteoblast differentiation","protein binding,metal ion binding",2.7660379022702562E-18,5,8,5,8,5,8,4,Filtered,5,8,5,8,5,8,4,Filtered,8.15101432800293,17.244646072387695,5.104229927062988,45.70976638793945,3.709760904312134,29.13738250732422,10.372209548950195,Filtered
Nlrx1,NLR family member X1,Q3TL44,NLRX1_MOUSE,"mitochondrion,mitochondrial outer membrane,plasma membrane,cell junction","viral process,negative regulation of interferon-beta production,negative regulation of interleukin-6 production,negative regulation of RIG-I signaling pathway,negative regulation of I-kappaB kinase/NF-kappaB signaling,innate immune response,negative regulation of innate immune response,negative regulation of inflammatory response","protein binding,ATP binding",0.00010450208556594227,3,3,4,3,4,4,4,Filtered,3,3,4,3,4,4,4,Filtered,7.746893405914307,2.9560225009918213,5.3561882972717285,6.658711910247803,5.577525615692139,3.7538788318634033,4.658217430114746,Filtered
Uba3,NEDD8-activating enzyme E1 catalytic subunit,Q3TL72;Q8C878,Q3TL72_MOUSE;UBA3_MOUSE,";nucleus,cytoplasm",";mitotic cell cycle,endomitotic cell cycle,protein neddylation,negative regulation of transcription, DNA-templated,regulation of cell cycle",";protein binding,ATP binding,acid-amino acid ligase activity,ligand-dependent nuclear receptor binding,NEDD8 activating enzyme activity,identical protein binding,protein heterodimerization activity",3.011520867457824E-05,3,6,4,3,3,4,2,Filtered,3,6,4,3,3,4,2,Filtered,13.3577241897583,13.468391418457031,11.663168907165527,12.883708000183105,13.23000717163086,17.651464462280273,4.749176025390625,Filtered
Echdc2,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",Q3TLP5,ECHD2_MOUSE,mitochondrion,fatty acid beta-oxidation,enoyl-CoA hydratase activity,2.034562181352512E-25,15,15,15,14,15,14,15,Filtered,15,15,15,14,15,14,15,Filtered,276.17523193359375,149.8714141845703,292.72174072265625,83.23764038085938,318.0594787597656,81.13896179199219,229.01280212402344,Filtered
Pcnp,PEST proteolytic signal-containing nuclear protein,Q3TM89;Q6P8I4,Q3TM89_MOUSE;PCNP_MOUSE,";nucleus,nuclear body",";cell cycle,protein ubiquitination,proteasome-mediated ubiquitin-dependent protein catabolic process",;,2.963794810665675E-14,4,4,4,4,4,4,4,Filtered,4,4,4,4,4,4,4,Filtered,20.925050735473633,29.205665588378906,22.978771209716797,31.681612014770508,21.05254554748535,24.588457107543945,17.67793846130371,Filtered
Scrn3,Secernin-3,Q3TMH2,SCRN3_MOUSE,,"proteolysis,exocytosis","molecular_function,dipeptidase activity",3.155245050641114E-07,4,2,5,3,4,3,4,Filtered,4,2,5,3,4,3,4,Filtered,7.8748555183410645,8.96605110168457,9.680938720703125,2.3733277320861816,12.197243690490723,4.313231468200684,8.978031158447266,Filtered
Pdia6,Protein disulfide-isomerase A6,Q3TML0,Q3TML0_MOUSE,,,,3.7323092214797425E-27,19,18,16,20,18,18,19,Filtered,19,18,16,20,18,18,19,Filtered,89.48460388183594,156.36614990234375,80.15985107421875,215.50857543945312,73.62030792236328,130.24551391601562,104.01398468017578,Filtered
Manf,"Arginine-rich, mutated in early stage tumors, isoform CRA_b;Armet protein",Q3TMX5;Q80ZP8,Q3TMX5_MOUSE;Q80ZP8_MOUSE,;,;,;,3.444775636307019E-21,7,9,8,7,8,7,7,Filtered,7,9,8,7,8,7,7,Filtered,26.195804595947266,29.67034339904785,23.32120132446289,36.237396240234375,20.708953857421875,33.52210998535156,23.732282638549805,Filtered
Nek7,Serine/threonine-protein kinase Nek7,Q3TN15;Q9ES74,Q3TN15_MOUSE;NEK7_MOUSE,";spindle pole,nucleoplasm,cytoplasm,microtubule organizing center",";protein phosphorylation,positive regulation of telomere maintenance via telomerase,positive regulation of telomerase activity,positive regulation of telomere capping",";protein serine/threonine kinase activity,protein binding,ATP binding,metal ion binding",4.865819573531586E-25,4,5,5,4,4,5,4,Filtered,4,5,5,4,4,5,4,Filtered,11.077743530273438,25.737756729125977,11.672395706176758,12.429725646972656,11.940973281860352,18.823139190673828,9.823935508728027,Filtered
Xylb,Xylulose kinase,Q3TNA1,XYLB_MOUSE,"cytoplasm,extracellular exosome","xylulose metabolic process,D-xylose metabolic process,carbohydrate phosphorylation","xylulokinase activity,ATP binding",3.4383661187051095E-15,17,18,18,13,19,17,18,Filtered,17,18,18,13,19,17,18,Filtered,287.629150390625,192.18051147460938,312.16802978515625,54.385807037353516,313.7146911621094,188.5445556640625,265.35595703125,Filtered
Pum2,Pumilio homolog 2;Pumilio homolog 2;Pumilio homolog 2;Isoform 2 of Pumilio homolog 2;Isoform 3 of Pumilio homolog 2,Q3TQ29;Q3UR91;Q80U58;Q80U58-2;Q80U58-3,Q3TQ29_MOUSE;Q3UR91_MOUSE;PUM2_MOUSE;PUM2_MOUSE;PUM2_MOUSE,";;cytosol,cytoplasmic stress granule,nuclear membrane,perinuclear region of cytoplasm;;",";;posttranscriptional regulation of gene expression,stress granule assembly,production of miRNAs involved in gene silencing by miRNA,regulation of mRNA stability,regulation of chromosome segregation,positive regulation of RIG-I signaling pathway,positive regulation of gene silencing by miRNA;;",";;RNA binding,mRNA 3'-UTR binding,protein binding,miRNA binding;;",1.4212980427616782E-05,1,3,3,3,1,3,1,Filtered,1,3,3,3,1,3,1,Filtered,2.3301475048065186,5.22619104385376,5.32188606262207,2.45345401763916,5.296071529388428,5.297008037567139,10.744542121887207,Filtered
Entpd5,Ectonucleoside triphosphate diphosphohydrolase 5,Q3TQC7;Q9WUZ9,Q3TQC7_MOUSE;ENTP5_MOUSE,";endoplasmic reticulum,extracellular exosome",";protein N-linked glycosylation,cell proliferation,regulation of phosphatidylinositol 3-kinase signaling,cell growth,positive regulation of glycolytic process,ATP metabolic process,'de novo' posttranslational protein folding",";guanosine-diphosphatase activity,nucleoside-diphosphatase activity,uridine-diphosphatase activity",1.1197684566464577E-08,17,16,17,17,17,17,17,Filtered,17,16,17,17,17,17,17,Filtered,72.68577575683594,63.65970993041992,71.35558319091797,74.49031066894531,69.38517761230469,58.4549446105957,68.95787048339844,Filtered
Scamp1,Secretory carrier-associated membrane protein 1,Q3TSA8;Q8K021,Q3TSA8_MOUSE;SCAM1_MOUSE,";trans-Golgi network,synaptic vesicle,integral component of membrane,synaptic vesicle membrane,zymogen granule membrane,synapse,recycling endosome membrane",";exocytosis,protein transport",;protein binding,0.00023017105380016345,2,2,2,2,2,2,2,Filtered,2,2,2,2,2,2,2,Filtered,21.33147430419922,21.958786010742188,23.713830947875977,16.875707626342773,14.259528160095215,9.677386283874512,13.032987594604492,Filtered
Dnpep,Aspartyl aminopeptidase,Q3TVK3;Q9Z2W0,Q3TVK3_MOUSE;DNPEP_MOUSE,";extracellular region,nucleus,cytoplasm,cytosol,blood microparticle",";proteolysis,peptide metabolic process",";zinc ion binding,identical protein binding,metalloaminopeptidase activity",7.224730013265749E-28,14,14,12,14,14,14,14,Filtered,14,14,12,14,14,14,14,Filtered,42.383182525634766,74.93463134765625,45.82405090332031,75.7074966430664,43.48593521118164,70.44277954101562,47.74981689453125,Filtered
Uap1l1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,Q3TW96,UAP1L_MOUSE,cytosol,UDP-N-acetylglucosamine biosynthetic process,UDP-N-acetylglucosamine diphosphorylase activity,3.684273370603987E-27,25,25,25,23,24,24,24,Filtered,25,25,25,23,24,24,24,Filtered,161.0879669189453,162.03924560546875,172.98110961914062,102.62989807128906,165.91986083984375,196.6505584716797,219.2074737548828,Filtered
Srsf6,Serine/arginine-rich splicing factor 6,Q3TWW8,SRSF6_MOUSE,nuclear speck,"alternative mRNA splicing, via spliceosome,regulation of alternative mRNA splicing, via spliceosome,mRNA splice site selection,regulation of keratinocyte proliferation,response to insulin,negative regulation of keratinocyte differentiation,negative regulation of mRNA splicing, via spliceosome,positive regulation of epithelial cell proliferation involved in lung morphogenesis,negative regulation of cell death,regulation of wound healing,negative regulation of type B pancreatic cell apoptotic process","RNA binding,protein binding,pre-mRNA binding",8.695268222354262E-08,7,7,7,7,7,7,5,Filtered,7,7,7,7,7,7,5,Filtered,114.35072326660156,226.954833984375,109.6913833618164,253.61155700683594,98.8700180053711,217.8024444580078,111.80757904052734,Filtered
Ptgr2,Prostaglandin reductase 2;Prostaglandin reductase 2;Isoform 2 of Prostaglandin reductase 2,Q3TXN1;Q8VDQ1;Q8VDQ1-2,Q3TXN1_MOUSE;PTGR2_MOUSE;PTGR2_MOUSE,";mitochondrion,cytosol,extracellular exosome;",";prostaglandin metabolic process,cyclooxygenase pathway,oxidation-reduction process;",";13-prostaglandin reductase activity,15-oxoprostaglandin 13-oxidase activity,zinc ion binding;",1.9488876060308208E-13,9,9,9,9,9,9,9,Filtered,9,9,9,9,9,9,9,Filtered,97.43528747558594,109.54144287109375,94.7247085571289,26.3858642578125,87.37637329101562,67.01544952392578,82.76141357421875,Filtered
Psmd1,26S proteasome non-ATPase regulatory subunit 1,Q3TXS7,PSMD1_MOUSE,"proteasome complex,nucleus,proteasome regulatory particle, base subcomplex,membrane,proteasome accessory complex,proteasome storage granule,extracellular exosome","regulation of protein catabolic process,proteasome-mediated ubiquitin-dependent protein catabolic process,regulation of catalytic activity","protein binding,enzyme regulator activity,endopeptidase activity",8.359930251139551E-23,24,23,20,25,25,26,21,Filtered,24,23,20,25,25,26,21,Filtered,41.41353225708008,67.19263458251953,44.659786224365234,59.62942123413086,37.3752326965332,50.38530731201172,35.39610290527344,Filtered
Rab31,Rab22B;Ras-related protein Rab-31,Q3TXV4;Q921E2,Q3TXV4_MOUSE;RAB31_MOUSE,";early endosome,phagocytic vesicle membrane,trans-Golgi network membrane,phagocytic vesicle",";receptor internalization,cellular response to insulin stimulus,Golgi to plasma membrane protein transport,regulated exocytosis,phagosome maturation",";GTPase activity,GTP binding,GDP binding",1.8075502642569062E-05,3,7,4,7,5,6,5,Filtered,3,7,4,7,5,6,5,Filtered,25.00641632080078,27.328214645385742,26.730567932128906,51.2562141418457,22.908735275268555,38.53961944580078,24.67319679260254,Filtered
Esyt2,Extended synaptotagmin-2,Q3TZZ7,ESYT2_MOUSE,"integral component of plasma membrane,membrane,intrinsic component of endoplasmic reticulum membrane,extrinsic component of cytoplasmic side of plasma membrane,organelle membrane contact site","lipid transport,endocytosis","calcium ion binding,calcium-dependent phospholipid binding,phosphatidylethanolamine binding,phosphatidylcholine binding,phosphatidylinositol binding,identical protein binding,cadherin binding",3.915322026113614E-05,4,5,1,6,5,4,3,Filtered,4,5,1,6,5,4,3,Filtered,1.4438917636871338,2.779364824295044,1.6989213228225708,2.9964263439178467,2.0609092712402344,2.299168825149536,0.977293848991394,Filtered
Dhrs11,Dehydrogenase/reductase SDR family member 11,Q3U0B3,DHR11_MOUSE,"cellular_component,extracellular region","steroid biosynthetic process,estrogen biosynthetic process,oxidation-reduction process","nucleotide binding,3-keto sterol reductase activity,estradiol 17-beta-dehydrogenase activity,17-beta-ketosteroid reductase activity,17-beta-hydroxysteroid dehydrogenase (NADP+) activity",4.609791808256841E-10,4,4,3,3,3,3,3,Filtered,4,4,3,3,3,3,3,Filtered,6.446025848388672,2.6861395835876465,5.111039161682129,10.316276550292969,6.771467685699463,1.1220120191574097,4.648440361022949,Filtered
Khsrp,Far upstream element-binding protein 2,Q3U0V1,FUBP2_MOUSE,"nucleoplasm,cytosol,cytoplasmic stress granule,membrane","transcription, DNA-templated,regulation of transcription, DNA-templated,mRNA processing,mRNA catabolic process,RNA splicing,miRNA metabolic process,regulation of mRNA stability,negative regulation of nitric oxide biosynthetic process,mRNA transport,positive regulation of mRNA catabolic process,3'-UTR-mediated mRNA destabilization,cellular response to cytokine stimulus,regulation of miRNA metabolic process","DNA binding,RNA binding,mRNA binding,mRNA 3'-UTR AU-rich region binding",2.166920830980126E-23,16,19,15,20,15,20,16,Filtered,16,19,15,20,15,20,16,Filtered,55.84640121459961,97.5193099975586,51.315673828125,95.52688598632812,50.18862533569336,112.74361419677734,61.428184509277344,Filtered
Tradd,Tumor necrosis factor receptor type 1-associated DEATH domain protein,Q3U0V2,TRADD_MOUSE,"nucleus,cytoplasm,cytoskeleton,plasma membrane,protein complex,receptor complex,membrane raft","apoptotic process,regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,protein heterooligomerization,positive regulation of hair follicle development,extrinsic apoptotic signaling pathway","signal transducer activity,tumor necrosis factor receptor binding,protein binding,kinase binding,protein complex binding,identical protein binding,binding, bridging,death domain binding",0.0020621729012927203,Filtered,2,2,2,1,2,Filtered,Filtered,Filtered,2,2,2,1,2,Filtered,Filtered,Filtered,8.903548240661621,1.9136933088302612,1.9822766780853271,4.673116207122803,5.157309532165527,Filtered,Filtered
Fam213a,Redox-regulatory protein FAM213A,Q3U125;Q9CYH2,Q3U125_MOUSE;F213A_MOUSE,";cytoplasm,mitochondrion,extracellular exosome",";regulation of osteoclast differentiation,oxidation-reduction process,cellular oxidant detoxification",;antioxidant activity,3.307936037113716E-26,8,9,7,6,9,8,7,Filtered,8,9,7,6,9,8,7,Filtered,66.5668716430664,106.26376342773438,97.44938659667969,57.98501968383789,79.47821044921875,85.42758178710938,75.71499633789062,Filtered
Rars2,"Probable arginine--tRNA ligase, mitochondrial",Q3U186,SYRM_MOUSE,"mitochondrion,mitochondrial matrix","arginyl-tRNA aminoacylation,mitochondrial translation","RNA binding,arginine-tRNA ligase activity,ATP binding",1.5879704293016922E-21,7,7,7,5,7,7,7,Filtered,7,7,7,5,7,7,7,Filtered,13.390225410461426,13.10239315032959,13.942076683044434,7.787557125091553,13.3245267868042,7.066797733306885,12.331432342529297,Filtered
Ddb1,DNA damage-binding protein 1,Q3U1J4,DDB1_MOUSE,"nuclear chromosome, telomeric region,extracellular space,nucleus,nucleoplasm,cytoplasm,cullin-RING ubiquitin ligase complex,Cul4A-RING E3 ubiquitin ligase complex,Cul4B-RING E3 ubiquitin ligase complex,protein complex,extracellular exosome,Cul4-RING E3 ubiquitin ligase complex","nucleotide-excision repair,cellular response to DNA damage stimulus,proteasomal protein catabolic process,Wnt signaling pathway,protein ubiquitination,histone H2A monoubiquitination,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,negative regulation of apoptotic process,proteasome-mediated ubiquitin-dependent protein catabolic process,positive regulation of viral genome replication,positive regulation of protein catabolic process,positive regulation by virus of viral protein levels in host cell,interaction with symbiont,UV-damage excision repair,regulation of mitotic cell cycle phase transition,positive regulation of viral release from host cell","damaged DNA binding,protein binding,protein binding, bridging,protein complex binding,WD40-repeat domain binding,cullin family protein binding",3.229678636634769E-23,26,29,27,27,26,26,26,Filtered,26,29,27,27,26,26,26,Filtered,70.40607452392578,98.21626281738281,59.21796417236328,98.43627166748047,55.66407012939453,104.84032440185547,69.49016571044922,Filtered
Uevld,Ubiquitin-conjugating enzyme E2 variant 3,Q3U1V6,UEVLD_MOUSE,extracellular exosome,"carbohydrate metabolic process,cellular protein modification process,protein transport,carboxylic acid metabolic process,oxidation-reduction process","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.0017293506278073364,1,2,1,Filtered,1,1,Filtered,Filtered,1,2,0,Filtered,1,1,Filtered,Filtered,2.3204805850982666,2.0966882705688477,NaN,Filtered,1.270532250404358,3.38739013671875,Filtered,Filtered
Hspa4,Heat shock 70 kDa protein 4,Q3U2G2,Q3U2G2_MOUSE,,,,1.802432513407054E-25,44,46,41,43,41,44,41,Filtered,44,46,41,43,41,44,41,Filtered,113.61490631103516,194.93101501464844,114.539306640625,153.26480102539062,112.5724105834961,141.48464965820312,105.44457244873047,Filtered
Serhl,Serine hydrolase-like protein,Q3U3G8;Q9EPB5,Q3U3G8_MOUSE;SERHL_MOUSE,";mitochondrion,peroxisome,cytoplasmic vesicle,perinuclear region of cytoplasm",;,;hydrolase activity,2.6983884938620775E-06,2,2,2,2,2,2,2,Filtered,2,2,2,2,2,2,2,Filtered,29.857004165649414,7.398311138153076,35.52143096923828,6.496172904968262,28.07179832458496,12.649418830871582,26.108795166015625,Filtered
Bckdha,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",Q3U3J1,Q3U3J1_MOUSE,,,,4.286933631219883E-28,18,17,17,18,18,16,17,Filtered,18,17,17,18,18,16,17,Filtered,168.01918029785156,66.24433898925781,160.48489379882812,93.64592742919922,184.91590881347656,75.31310272216797,169.61289978027344,Filtered
Ndufv3,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",Q3U422,Q3U422_MOUSE,,,,8.554974761846534E-29,11,10,11,9,11,10,10,Filtered,11,10,11,9,11,10,10,Filtered,39.55876541137695,26.033489227294922,43.97880172729492,16.842851638793945,45.78453063964844,21.87738037109375,38.35097122192383,Filtered
