PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Ppp1cb,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,P62141,PP1B_MOUSE,"protein phosphatase type 1 complex,nucleus,nucleoplasm,nucleolus,cytoplasm,focal adhesion,glycogen granule,extracellular exosome,PTW/PP1 phosphatase complex,nuclear chromosome, telomeric region","glycogen metabolic process,regulation of glycogen biosynthetic process,regulation of glycogen catabolic process,protein dephosphorylation,cell cycle,regulation of cell adhesion,circadian regulation of gene expression,regulation of circadian rhythm,entrainment of circadian clock by photoperiod,cell division","protein serine/threonine phosphatase activity,protein binding,phosphatase activity,myosin phosphatase activity,protein kinase binding,metal ion binding,myosin-light-chain-phosphatase activity",2.9392709110281754E-76,14,14,13,15,13,13,15,15,14,14,13,15,13,13,15,15,259.6625061035156,377.3480529785156,239.51004028320312,442.74688720703125,265.22662353515625,250.2694091796875,471.658935546875,412.5381774902344
Psmc1,26S protease regulatory subunit 4,P62192,PRS4_MOUSE,"proteasome complex,nucleus,nucleoplasm,cytosol,proteasome regulatory particle,proteasome regulatory particle, base subcomplex,membrane,proteasome accessory complex,nuclear proteasome complex,cytosolic proteasome complex","ER-associated ubiquitin-dependent protein catabolic process,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,negative regulation of neuron death,positive regulation of proteasomal protein catabolic process","RNA binding,ATP binding,TBP-class protein binding,proteasome-activating ATPase activity",1.3737959278273454E-73,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,281.7923583984375,494.8023986816406,287.959228515625,377.8473815917969,281.17584228515625,266.3520812988281,464.0043640136719,395.6579895019531
Psmc5,26S protease regulatory subunit 8,P62196,PRS8_MOUSE,"proteasome complex,nucleus,holo TFIIH complex,cytoplasm,proteasome regulatory particle,proteasome regulatory particle, base subcomplex,membrane,inclusion body,proteasome accessory complex,cytoplasmic vesicle,nuclear proteasome complex,cytosolic proteasome complex,extracellular exosome,blood microparticle,postsynapse","regulation of transcription from RNA polymerase II promoter,ER-associated ubiquitin-dependent protein catabolic process,proteasome-mediated ubiquitin-dependent protein catabolic process,negative regulation of transcription, DNA-templated,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,modulation of synaptic transmission,positive regulation of inclusion body assembly,positive regulation of proteasomal protein catabolic process","receptor binding,protein binding,ATP binding,transcription factor binding,TBP-class protein binding,thyrotropin-releasing hormone receptor binding,proteasome-activating ATPase activity",1.06578981071834E-85,12,11,12,12,12,12,12,12,12,11,12,12,12,12,12,12,203.44186401367188,348.1702575683594,235.35366821289062,357.3830871582031,191.87713623046875,230.32327270507812,428.2979736328125,334.7593688964844
Calm1,Calmodulin,P62204,CALM_MOUSE,,,,3.805229847839833E-74,17,16,17,17,17,17,17,17,17,16,17,17,17,17,17,17,2187.496337890625,2669.0771484375,2158.868896484375,2424.98583984375,2203.1181640625,1921.85009765625,3655.816650390625,3623.170654296875
Rps8,40S ribosomal protein S8,P62242,RS8_MOUSE,"nucleus,endoplasmic reticulum,cytosol,focal adhesion,membrane,cytosolic small ribosomal subunit,intracellular ribonucleoprotein complex,extracellular exosome","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),translation","RNA binding,structural constituent of ribosome",3.8981511745903744E-72,17,16,17,17,17,17,17,17,17,16,17,17,17,17,17,17,1368.3514404296875,2022.7744140625,1205.4744873046875,2302.064453125,1094.6063232421875,1377.76416015625,2053.791015625,1969.0751953125
Rps15a,40S ribosomal protein S15a,P62245,RS15A_MOUSE,"cytoplasm,mitochondrion,membrane,cytosolic small ribosomal subunit,extracellular matrix,extracellular exosome","translation,positive regulation of cell proliferation,response to virus,positive regulation of cell cycle","RNA binding,structural constituent of ribosome",8.130900515398829E-63,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1040.5484619140625,1643.2271728515625,940.5232543945312,1826.8046875,958.4680786132812,1064.2900390625,1433.6085205078125,1473.9051513671875
Ywhae,14-3-3 protein epsilon,P62259,1433E_MOUSE,"nucleus,cytoplasm,mitochondrion,cytosol,kinesin complex,focal adhesion,membrane,axon,cytoplasmic vesicle membrane,melanosome,extracellular exosome,Requires Ontology,plasma membrane","MAPK cascade,neuron migration,protein targeting,substantia nigra development,hippocampus development,cerebral cortex development,cellular response to heat,negative regulation of protein dephosphorylation,positive regulation of protein export from nucleus,regulation of cytosolic calcium ion concentration,regulation of membrane repolarization,regulation of potassium ion transmembrane transporter activity,negative regulation of calcium ion transmembrane transporter activity,negative regulation of peptidyl-serine dephosphorylation,Requires Ontology","RNA binding,calcium channel regulator activity,protein binding,potassium channel regulator activity,enzyme binding,protein domain specific binding,MHC class II protein complex binding,ubiquitin protein ligase binding,identical protein binding,histone deacetylase binding,ion channel binding,cadherin binding,protein heterodimerization activity,phosphoserine binding,phosphoprotein binding",1.9890672172294146E-71,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,500.54669189453125,620.839599609375,563.7440795898438,551.4478759765625,582.607421875,445.5804748535156,792.3737182617188,577.1204223632812
Rps14,40S ribosomal protein S14,P62264,RS14_MOUSE,"nucleolus,mitochondrion,focal adhesion,membrane,cytosolic small ribosomal subunit,extracellular matrix,extracellular exosome","ribosomal small subunit assembly,negative regulation of transcription from RNA polymerase II promoter,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),translation,regulation of translation,erythrocyte differentiation,maturation of SSU-rRNA","RNA binding,structural constituent of ribosome,translation regulator activity,mRNA 5'-UTR binding,small ribosomal subunit rRNA binding",4.8569772069935225E-71,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,251.57872009277344,417.2378234863281,250.0943603515625,380.1055603027344,262.6294860839844,315.6612548828125,418.179931640625,378.71136474609375
Rps23,40S ribosomal protein S23,P62267,RS23_MOUSE,"membrane,cytosolic small ribosomal subunit","translation,protein hydroxylation,maintenance of translational fidelity","RNA binding,structural constituent of ribosome",9.777267743538181E-72,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,312.1343688964844,246.73231506347656,198.49034118652344,467.75433349609375,176.24998474121094,295.6475524902344,367.0893249511719,394.168212890625
Rps29,40S ribosomal protein S29,P62274,RS29_MOUSE,"focal adhesion,small ribosomal subunit,cytosolic small ribosomal subunit,extracellular exosome","translation,positive regulation of apoptotic process","structural constituent of ribosome,zinc ion binding",2.52795371083679E-62,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,140.21693420410156,258.8250732421875,113.4726791381836,143.36734008789062,113.86942291259766,162.55784606933594,258.6455383300781,230.40855407714844
Rps11,40S ribosomal protein S11,P62281,RS11_MOUSE,"nucleolus,cytoplasm,focal adhesion,membrane,cytosolic small ribosomal subunit,extracellular matrix,extracellular exosome","osteoblast differentiation,translation","RNA binding,structural constituent of ribosome,rRNA binding",1.888793167641602E-74,11,10,11,11,10,11,10,11,11,10,11,11,10,11,10,11,423.6422119140625,700.8916015625,444.34912109375,704.0702514648438,401.5440368652344,517.1411743164062,801.0010986328125,709.3956909179688
Rps13,40S ribosomal protein S13,P62301;Q921R2,RS13_MOUSE;Q921R2_MOUSE,"nucleus,nucleolus,focal adhesion,membrane,cytosolic small ribosomal subunit,extracellular matrix,extracellular exosome;","translation,negative regulation of RNA splicing;","RNA binding,mRNA binding,structural constituent of ribosome,mRNA 5'-UTR binding,small ribosomal subunit rRNA binding,5.8S rRNA binding;",1.67151661712852E-71,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1174.3319091796875,1754.9779052734375,1181.427978515625,1953.995361328125,1056.779541015625,1341.4735107421875,1898.26171875,1759.343017578125
Snrpf,Small nuclear ribonucleoprotein F,P62307,RUXF_MOUSE,"spliceosomal complex,U7 snRNP,U1 snRNP,U4 snRNP,U12-type spliceosomal complex,small nucleolar ribonucleoprotein complex,cytosol,small nuclear ribonucleoprotein complex,methylosome,pICln-Sm protein complex,SMN-Sm protein complex,catalytic step 2 spliceosome","spliceosomal snRNP assembly,mRNA splicing, via spliceosome,RNA splicing",RNA binding,2.310558154417848E-61,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29.530025482177734,81.60086822509766,14.781561851501465,50.71784210205078,5.303884029388428,8.479756355285645,51.14299392700195,32.16403579711914
Snrpg,Small nuclear ribonucleoprotein G,P62309,RUXG_MOUSE,"U5 snRNP,U7 snRNP,U1 snRNP,U2 snRNP,U4 snRNP,U12-type spliceosomal complex,cytosol,methylosome,SMN-Sm protein complex,P granule,U2-type prespliceosome,precatalytic spliceosome,catalytic step 2 spliceosome,spliceosomal tri-snRNP complex","spliceosomal snRNP assembly,mRNA splicing, via spliceosome",RNA binding,1.2660627385082143E-58,3,3,2,3,3,2,2,3,3,3,2,3,3,2,2,3,76.35806274414062,115.03655242919922,49.621829986572266,144.95835876464844,41.188995361328125,48.14022445678711,113.27397918701172,109.0373306274414
Lsm3,U6 snRNA-associated Sm-like protein LSm3,P62311,LSM3_MOUSE,"cytoplasmic mRNA processing body,U6 snRNP,U4/U6 x U5 tri-snRNP complex,precatalytic spliceosome,catalytic step 2 spliceosome,Lsm1-7-Pat1 complex","mRNA splicing, via spliceosome,nuclear-transcribed mRNA catabolic process,cytoplasmic mRNA processing body assembly","RNA binding,U6 snRNA 3'-end binding",3.763393238241329E-72,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,82.14936828613281,200.28182983398438,78.91948699951172,197.45767211914062,81.92350006103516,68.66029357910156,240.79022216796875,177.3639373779297
Lsm6,U6 snRNA-associated Sm-like protein LSm6,P62313,LSM6_MOUSE,"cytoplasmic mRNA processing body,spliceosomal complex,U6 snRNP,nucleolus,small nucleolar ribonucleoprotein complex,cytoplasm,U4/U6 x U5 tri-snRNP complex,extracellular exosome","mRNA splicing, via spliceosome,mRNA catabolic process,tRNA processing,maturation of SSU-rRNA","RNA binding,protein heterodimerization activity",2.969511085632299E-60,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25.081680297851562,59.47984313964844,16.06662940979004,50.94108963012695,15.569392204284668,18.480806350708008,62.10598373413086,47.321842193603516
Snrpd1,Small nuclear ribonucleoprotein Sm D1,P62315,SMD1_MOUSE,"commitment complex,nucleus,U5 snRNP,U1 snRNP,U2 snRNP,U4 snRNP,U12-type spliceosomal complex,cytoplasm,cytosol,methylosome,pICln-Sm protein complex,SMN-Sm protein complex,prespliceosome,precatalytic spliceosome,catalytic step 2 spliceosome,spliceosomal tri-snRNP complex","spliceosomal complex assembly,spliceosomal snRNP assembly","RNA binding,U1 snRNP binding",9.022041714190817E-74,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,169.43026733398438,224.2674560546875,114.65503692626953,335.6940612792969,120.29703521728516,120.40009307861328,255.10604858398438,251.0330352783203
Snrpd2,Small nuclear ribonucleoprotein Sm D2,P62317,SMD2_MOUSE,"U5 snRNP,U1 snRNP,U2 snRNP,U4 snRNP,U12-type spliceosomal complex,cytosol,methylosome,pICln-Sm protein complex,SMN-Sm protein complex,U4/U6 x U5 tri-snRNP complex,extracellular exosome,precatalytic spliceosome,catalytic step 2 spliceosome",spliceosomal snRNP assembly,RNA binding,2.374236799681266E-72,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,147.48165893554688,405.1725769042969,125.50503540039062,288.6548156738281,162.08642578125,130.95962524414062,400.44390869140625,312.7900085449219
Snrpd3,Small nuclear ribonucleoprotein Sm D3,P62320,SMD3_MOUSE,"commitment complex,nucleus,nucleoplasm,U5 snRNP,U7 snRNP,U1 snRNP,U2 snRNP,U4 snRNP,U12-type spliceosomal complex,cytoplasm,cytosol,nuclear body,methylosome,pICln-Sm protein complex,SMN-Sm protein complex,extracellular exosome,prespliceosome,precatalytic spliceosome,catalytic step 2 spliceosome,spliceosomal tri-snRNP complex,telomerase holoenzyme complex","spliceosomal complex assembly,spliceosomal snRNP assembly,protein methylation","RNA binding,enzyme binding,U2 snRNA binding,telomerase RNA binding,histone pre-mRNA DCP binding,U7 snRNA binding,U1 snRNP binding",7.530226658202755E-71,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,253.64979553222656,408.30615234375,220.77191162109375,496.2014465332031,198.78857421875,235.72080993652344,478.51544189453125,488.0389099121094
Arf6,ADP-ribosylation factor 6,P62331,ARF6_MOUSE,"ruffle,cytoplasm,endosome,early endosome,Golgi apparatus,cytosol,plasma membrane,focal adhesion,cell cortex,membrane,endocytic vesicle,filopodium membrane,cleavage furrow,myelin sheath,recycling endosome membrane,extracellular exosome,Flemming body","liver development,cell cycle,small GTPase mediated signal transduction,protein transport,vesicle-mediated transport,positive regulation of actin filament polymerization,cortical actin cytoskeleton organization,ruffle organization,myeloid cell apoptotic process,regulation of toll-like receptor 4 signaling pathway,protein localization to cell surface,regulation of Rac protein signal transduction,protein localization to endosome,cell division,regulation of filopodium assembly,regulation of dendritic spine development,establishment of epithelial cell polarity,hepatocyte apoptotic process,positive regulation of protein localization to plasma membrane,negative regulation of dendrite development","GTPase activity,protein binding,GTP binding,thioesterase binding,protein N-terminus binding",5.080396149115925E-59,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,82.70178985595703,158.9224853515625,76.54142761230469,92.90968322753906,85.33380126953125,22.398252487182617,83.33525085449219,62.042999267578125
Psmc6,26S protease regulatory subunit 10B,P62334,PRS10_MOUSE,"proteasome complex,nucleus,proteasome regulatory particle, base subcomplex,membrane,inclusion body,proteasome accessory complex,nuclear proteasome complex,cytosolic proteasome complex,extracellular exosome","ER-associated ubiquitin-dependent protein catabolic process,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,positive regulation of inclusion body assembly,positive regulation of proteasomal protein catabolic process","ATP binding,TBP-class protein binding,proteasome-activating ATPase activity,identical protein binding",7.021289477819356E-74,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,98.64997863769531,187.5905303955078,100.9170150756836,180.65675354003906,106.10519409179688,96.54422760009766,187.4793243408203,158.7867431640625
Dynlrb1,Dynein light chain roadblock-type 1,P62627,DLRB1_MOUSE,"cytoplasm,centrosome,cytoplasmic dynein complex,microtubule,membrane,outer dynein arm","transport,microtubule-based movement,visual behavior","motor activity,protein binding,identical protein binding,dynein intermediate chain binding",1.061343648682356E-68,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,151.9824676513672,199.80076599121094,140.9573974609375,159.4734344482422,135.70257568359375,148.27923583984375,221.69882202148438,221.78897094726562
Rps4x,"40S ribosomal protein S4, X isoform",P62702,RS4X_MOUSE,"nucleus,ribosome,polysome,focal adhesion,small ribosomal subunit,membrane,cytosolic small ribosomal subunit,intracellular ribonucleoprotein complex,extracellular matrix,cytoplasmic ribonucleoprotein granule,extracellular exosome","translation,multicellular organism development,positive regulation of cell proliferation,positive regulation of translation","RNA binding,structural constituent of ribosome,rRNA binding",2.9372089036148407E-80,15,15,15,15,14,15,15,15,15,15,15,15,14,15,15,15,799.5722045898438,1302.1629638671875,773.4506225585938,1334.849365234375,787.58056640625,894.0328369140625,1682.1639404296875,1421.38525390625
Acta2,"Actin, aortic smooth muscle",P62737,ACTA_MOUSE,"extracellular space,cytoplasm,cytoskeleton,actin cytoskeleton,lamellipodium,filopodium,smooth muscle contractile fiber,protein complex,cell body,extracellular exosome","regulation of blood pressure,response to virus,positive regulation of gene expression,vascular smooth muscle contraction,glomerular mesangial cell development,mesenchyme migration","protein binding,ATP binding,protein kinase binding",6.018929441823394E-69,16,17,16,17,15,16,17,16,16,17,16,17,15,16,17,16,1129.96826171875,3234.1298828125,1223.2613525390625,4876.44775390625,1334.712158203125,1101.4246826171875,3750.892822265625,2964.08154296875
Hpcal1,Hippocalcin-like protein 1,P62748,HPCL1_MOUSE,"membrane,extracellular exosome",biological_process,"calcium ion binding,protein binding",1.6157185354891016E-48,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99.27867126464844,133.6847686767578,151.76934814453125,140.37904357910156,113.665283203125,76.02481842041016,167.22422790527344,132.28684997558594
Rps6,40S ribosomal protein S6,P62754,RS6_MOUSE,"nucleus,nucleolus,cytoplasm,ribosome,polysome,small ribosomal subunit,membrane,cytosolic small ribosomal subunit,dendrite,intracellular ribonucleoprotein complex,cytoplasmic ribonucleoprotein granule,cell body,perinuclear region of cytoplasm","G1/S transition of mitotic cell cycle,mitotic cell cycle,placenta development,T cell proliferation involved in immune response,rRNA processing,translation,activation-induced cell death of T cells,mitotic cell cycle checkpoint,gastrulation,oogenesis stage,TOR signaling,T cell differentiation in thymus,ribosomal small subunit biogenesis,glucose homeostasis,positive regulation of apoptotic process,negative regulation of apoptotic process,erythrocyte development","RNA binding,structural constituent of ribosome,protein binding,protein kinase binding",1.057993861236416E-68,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1054.3748779296875,1405.09912109375,918.6033325195312,1243.680419921875,822.1040649414062,874.1448364257812,1309.93798828125,1178.3016357421875
Mtpn,Myotrophin,P62774,MTPN_MOUSE,"nucleus,cytosol,F-actin capping protein complex,axon,perinuclear region of cytoplasm,extracellular exosome","catecholamine metabolic process,positive regulation of macromolecule biosynthetic process,positive regulation of cardiac muscle hypertrophy,cell growth,cerebellar granule cell differentiation,positive regulation of cell growth,skeletal muscle tissue regeneration,positive regulation of NF-kappaB transcription factor activity,striated muscle cell differentiation,positive regulation of protein metabolic process,cellular response to mechanical stimulus,regulation of barbed-end actin filament capping",sequence-specific DNA binding,1.2351935645903077E-69,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,32.927955627441406,60.970882415771484,25.64200782775879,65.38521575927734,25.23536491394043,40.844112396240234,65.78080749511719,64.34911346435547
Hist1h4a,Histone H4,P62806,H4_MOUSE,"nuclear chromosome,nuclear chromosome, telomeric region,nucleosome,nuclear nucleosome,nucleus,nucleoplasm,membrane,extracellular matrix,protein complex,extracellular exosome","chromatin silencing at rDNA,nucleosome assembly,DNA replication-dependent nucleosome assembly,DNA replication-independent nucleosome assembly,DNA-templated transcription, initiation,DNA methylation on cytosine,negative regulation of megakaryocyte differentiation,positive regulation of gene expression, epigenetic,protein heterotetramerization","DNA binding,RNA binding,protein binding,protein domain specific binding,histone binding,protein heterodimerization activity",8.189540900978513E-74,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22480.740234375,33982.69921875,17282.583984375,43275.453125,13918.0908203125,22891.37109375,29154.3828125,33080.15234375
Atp6v1b2,"V-type proton ATPase subunit B, brain isoform",P62814,VATB2_MOUSE,"ruffle,cytoplasm,lysosomal membrane,cytosol,plasma membrane,microvillus,endomembrane system,integral component of membrane,proton-transporting V-type ATPase, V1 domain,melanosome,myelin sheath,intracellular membrane-bounded organelle,extracellular exosome","ATP hydrolysis coupled proton transport,ATP metabolic process","ATP binding,hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances",3.1638892133189396E-74,22,22,21,22,21,21,22,22,22,22,21,22,21,21,22,22,990.2652587890625,575.2000732421875,968.630859375,562.4918823242188,916.1094970703125,1006.712890625,476.91937255859375,706.85205078125
Ran,GTP-binding nuclear protein Ran,P62827,RAN_MOUSE,"male germ cell nucleus,manchette,nucleus,nuclear envelope,nuclear pore,nucleoplasm,nucleolus,cytoplasm,centriole,membrane,midbody,extracellular matrix,sperm flagellum,melanosome,RNA nuclear export complex,protein complex,recycling endosome,extracellular exosome,chromatin","ribosomal subunit export from nucleus,ribosomal large subunit export from nucleus,ribosomal small subunit export from nucleus,protein import into nucleus, translocation,protein import into nucleus,protein export from nucleus,cell cycle,spermatid development,hippocampus development,actin cytoskeleton organization,positive regulation of protein binding,cellular protein localization,cellular protein complex localization,cell division,cellular response to mineralocorticoid stimulus,protein localization to nucleolus","magnesium ion binding,RNA binding,GTPase activity,protein binding,GTP binding,GDP binding,protein domain specific binding,protein complex binding,cadherin binding,dynein intermediate chain binding,protein heterodimerization activity,importin-alpha family protein binding,nucleocytoplasmic transporter activity,pre-miRNA binding",1.8494505579853566E-75,13,14,14,14,14,13,14,14,13,14,14,14,14,13,14,14,989.4041137695312,1914.644287109375,1023.9306640625,2648.6083984375,1015.9373779296875,983.906005859375,2264.813720703125,1984.046630859375
Rpl23,60S ribosomal protein L23,P62830,RL23_MOUSE,"nucleoplasm,nucleolus,cytoplasm,focal adhesion,membrane,cytosolic large ribosomal subunit,cytosolic ribosome,extracellular matrix,protein complex,extracellular exosome","negative regulation of transcription from RNA polymerase II promoter,translation,positive regulation of cell proliferation,positive regulation of gene expression,protein-DNA complex disassembly,positive regulation of transcription from RNA polymerase II promoter,protein stabilization,negative regulation of cell cycle arrest,positive regulation of cell cycle arrest,cellular response to actinomycin D,positive regulation of signal transduction by p53 class mediator,negative regulation of ubiquitin protein ligase activity,negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process","transcription coactivator binding,RNA binding,structural constituent of ribosome,protein binding,ubiquitin protein ligase binding,large ribosomal subunit rRNA binding,ubiquitin ligase inhibitor activity",8.721761713084433E-54,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,548.7762451171875,740.3631591796875,480.1014709472656,781.56103515625,394.91485595703125,511.36260986328125,739.1454467773438,751.023681640625
Rap1a,Ras-related protein Rap-1A,P62835,RAP1A_MOUSE,"cytoplasm,early endosome,late endosome,plasma membrane,cell junction,guanyl-nucleotide exchange factor complex,neuron projection,myelin sheath,phagocytic vesicle,perinuclear region of cytoplasm,extracellular exosome","small GTPase mediated signal transduction,positive regulation of neuron projection development,protein transport,Rap protein signal transduction,negative regulation of collagen biosynthetic process,cellular response to drug,nerve growth factor signaling pathway,positive regulation of GTPase activity,positive regulation of protein kinase activity,positive regulation of glucose import,establishment of endothelial barrier,positive regulation of ERK1 and ERK2 cascade,cellular response to cAMP,cellular response to glucose stimulus,response to antineoplastic agent,liver regeneration,regulation of cell junction assembly,positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis,cellular response to nerve growth factor stimulus,negative regulation of synaptic vesicle exocytosis,positive regulation of vasculogenesis","GTPase activity,protein binding,GTP binding,protein transporter activity,Ras GTPase binding,Rap guanyl-nucleotide exchange factor activity,protein complex binding",1.8780920593338643E-90,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,878.7659301757812,973.0046997070312,918.6602783203125,1144.6650390625,945.080322265625,801.2499389648438,877.9082641601562,860.1962280273438
Rps24,40S ribosomal protein S24;Isoform 2 of 40S ribosomal protein S24;Isoform 3 of 40S ribosomal protein S24,P62849;P62849-2;P62849-3,RS24_MOUSE,"nucleus,small ribosomal subunit,membrane,cytosolic small ribosomal subunit;;","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),rRNA processing,translation,erythrocyte homeostasis,ribosomal small subunit biogenesis;;","RNA binding,structural constituent of ribosome;;",1.9717186693432444E-80,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,134.8590850830078,294.6048889160156,160.8701934814453,242.25619506835938,160.29324340820312,159.19142150878906,317.4453430175781,229.22564697265625
Rps25,40S ribosomal protein S25,P62852,RS25_MOUSE,"nucleus,nucleolus,ribosome,small ribosomal subunit,cytosolic small ribosomal subunit,extracellular matrix,extracellular exosome",,RNA binding,1.5093805428344334E-65,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1323.6875,1940.8756103515625,1242.4683837890625,1759.450439453125,1208.203857421875,1411.96923828125,2121.38671875,1859.2286376953125
Rps26,40S ribosomal protein S26,P62855,RS26_MOUSE,"small ribosomal subunit,membrane,cytosolic small ribosomal subunit,extracellular exosome","translation,negative regulation of RNA splicing","RNA binding,mRNA binding,structural constituent of ribosome,cadherin binding",2.3089202041777475E-59,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,904.135009765625,1280.476318359375,895.558837890625,1348.094482421875,794.009033203125,708.6885375976562,1175.9339599609375,1009.2221069335938
Fau,40S ribosomal protein S30,P62862;Q642K5,RS30_MOUSE;Q642K5_MOUSE,;,;,;,9.808760501844579E-77,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,480.2475280761719,756.7095336914062,530.9139404296875,561.1076049804688,478.9388732910156,552.3530883789062,760.41943359375,722.856689453125
Tceb2,Transcription elongation factor B polypeptide 2,P62869,ELOB_MOUSE,"transcription factor complex,VCB complex,Cul2-RING ubiquitin ligase complex,Cul5-RING ubiquitin ligase complex,extracellular exosome,elongin complex","transcription, DNA-templated,protein ubiquitination,positive regulation of transcription from RNA polymerase II promoter","transcription coactivator activity,protein binding,ubiquitin protein ligase binding,protein complex binding",2.881130516761771E-39,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,132.60171508789062,211.07127380371094,149.90322875976562,204.1588134765625,156.97207641601562,101.26006317138672,254.4376678466797,207.01939392089844
