Protein Group Identifications: Injured vs Non-injured No Diet Kidney Lysate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3945 identified protein groups with >= 2 unique peptides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 min DIA sample files  were searched with 120 min Deep Library in Spectronaut v16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Vtn,Vitronectin,P29788,"proteinaceous extracellular matrix,basement membrane,extracellular space,endoplasmic reticulum,Golgi lumen,extracellular matrix,intracellular membrane-bounded organelle,rough endoplasmic reticulum lumen,extracellular exosome,blood microparticle","receptor-mediated endocytosis,immune response,cell-matrix adhesion,positive regulation of cell-substrate adhesion,negative regulation of endopeptidase activity,positive regulation of smooth muscle cell migration,extracellular matrix organization,positive regulation of protein binding,cell adhesion mediated by integrin,endodermal cell differentiation,positive regulation of receptor-mediated endocytosis,oligodendrocyte differentiation,positive regulation of peptidyl-tyrosine phosphorylation,protein polymerization,smooth muscle cell-matrix adhesion,liver regeneration","scavenger receptor activity,integrin binding,collagen binding,heparin binding,polysaccharide binding,identical protein binding,extracellular matrix binding",2.14E-43,8,16,8,17,10,8,15,14,8,16,8,17,10,8,15,14,50.64875031,681.4711304,38.73008347,5510.745117,33.63842392,58.24425888,505.6991882,320.4815674
Gsta3,Glutathione S-transferase A3,P30115,"cytosol,extracellular exosome","ureteric bud development,glutathione metabolic process,aflatoxin catabolic process",glutathione transferase activity,9.79E-16,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,526.0620728,580.5620117,558.1516113,102.9290848,484.7704163,490.8557129,276.6695251,564.4628906
Ckmt1,"Creatine kinase U-type, mitochondrial",P30275,"mitochondrion,mitochondrial inner membrane,myelin sheath,extracellular exosome","phosphorylation,negative regulation of protein binding,negative regulation of apoptotic process","creatine kinase activity,protein binding,ATP binding",1.45E-40,20,18,19,19,19,19,17,18,20,18,19,19,19,19,17,18,984.6390381,325.3733215,870.3603516,453.4163513,910.3151855,855.7925415,303.069458,244.9672089
Ppic,Peptidyl-prolyl cis-trans isomerase C,P30412,"cytoplasm,extracellular exosome","protein peptidyl-prolyl isomerization,protein folding","peptidyl-prolyl cis-trans isomerase activity,protein binding,cyclosporin A binding",6.47E-28,7,6,6,8,6,7,7,6,7,6,6,8,6,7,7,6,69.58228302,76.86376953,61.02030182,192.7672577,45.50282288,55.84885788,100.2112961,92.13700867
Fkbp4,Peptidyl-prolyl cis-trans isomerase FKBP4,P30416,"nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,microtubule,neuronal cell body,protein complex,axonal growth cone,perinuclear region of cytoplasm,extracellular exosome","protein peptidyl-prolyl isomerization,steroid hormone receptor complex assembly,copper ion transport,embryo implantation,negative regulation of neuron projection development,androgen receptor signaling pathway,prostate gland development,negative regulation of microtubule polymerization or depolymerization,negative regulation of microtubule polymerization,protein complex localization,male sex differentiation,reproductive structure development,chaperone-mediated protein folding","RNA binding,peptidyl-prolyl cis-trans isomerase activity,protein binding,ATP binding,GTP binding,FK506 binding,heat shock protein binding,copper-dependent protein binding,glucocorticoid receptor binding,tau protein binding,phosphoprotein binding",2.74E-34,24,21,24,20,23,18,24,22,24,21,24,20,23,18,24,22,287.0015869,259.7434387,313.8248596,196.5394745,301.1309814,225.4683075,234.8536835,273.274231
Hmgb2,High mobility group protein B2,P30681,"nuclear chromatin,condensed chromosome,extracellular space,cell,nucleus,nucleolus,cytoplasm,protein complex,perinuclear region of cytoplasm","positive regulation of endothelial cell proliferation,inflammatory response to antigenic stimulus,DNA topological change,DNA recombination,transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,spermatogenesis,spermatid nucleus differentiation,male gonad development,positive regulation of gene expression,negative regulation of gene expression,positive regulation of nuclease activity,response to lipopolysaccharide,positive regulation of interferon-beta production,positive regulation of DNA binding,innate immune response,positive regulation of innate immune response,positive regulation of erythrocyte differentiation,positive regulation of megakaryocyte differentiation,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,response to steroid hormone,regulation of neurogenesis,defense response to Gram-negative bacterium,defense response to Gram-positive bacterium,positive chemotaxis,cell chemotaxis,cellular response to lipopolysaccharide,regulation of stem cell proliferation,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","enhancer sequence-specific DNA binding,DNA binding,damaged DNA binding,double-stranded DNA binding,transcription factor activity, sequence-specific DNA binding,RNA binding,protein binding,transcription factor binding,DNA binding, bending,protein domain specific binding,chemoattractant activity,transcription regulatory region DNA binding,non-sequence-specific DNA binding, bending,RAGE receptor binding,supercoiled DNA binding",1.94E-50,8,12,7,12,10,10,12,12,8,12,7,12,10,10,12,12,44.17890167,145.3675537,43.28747559,342.3222656,35.86320877,78.70281982,199.8928833,170.0151672
Des,Desmin,P31001,"nucleus,cytoplasm,cytoskeleton,cell-cell junction,fascia adherens,intercalated disc,Z disc,neuromuscular junction,sarcolemma,contractile fiber,intermediate filament cytoskeleton,extracellular exosome,cardiac myofibril,intermediate filament","muscle organ development,intermediate filament organization","structural constituent of cytoskeleton,protein binding,cytoskeletal protein binding,identical protein binding",9.93E-43,23,29,23,33,24,22,32,30,23,29,23,33,24,22,32,30,73.34375,210.9126129,81.64912415,516.0993042,67.38690948,70.94907379,337.44104,229.5252533
Aimp1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,P31230;Q3UZG4,"extracellular space,nucleus,endoplasmic reticulum,Golgi apparatus,cytosol,cell surface,membrane,aminoacyl-tRNA synthetase multienzyme complex,methionyl glutamyl tRNA synthetase complex,transport vesicle;","angiogenesis,negative regulation of endothelial cell proliferation,glucose metabolic process,tRNA aminoacylation for protein translation,apoptotic process,inflammatory response,cell adhesion,cell-cell signaling,regulation of receptor activity,leukocyte migration;","tRNA binding,cytokine activity,protein homodimerization activity,GTPase binding;",2.94E-27,9,11,12,11,11,10,11,11,9,11,12,11,11,10,11,11,53.62245178,85.31858063,44.03936768,90.66119385,52.01985168,48.60827255,100.6295547,80.24189758
Dpep1,Dipeptidase 1,P31428,"extracellular space,nucleus,plasma membrane,apical plasma membrane,cell junction,anchored component of membrane,microvillus membrane,apical part of cell,extracellular exosome","proteolysis,apoptotic process,antibiotic metabolic process,negative regulation of cell migration,cellular response to drug,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,homocysteine metabolic process,cellular response to calcium ion,cellular response to nitric oxide","dipeptidyl-peptidase activity,zinc ion binding,dipeptidase activity,GPI anchor binding,cysteine-type endopeptidase inhibitor activity involved in apoptotic process,metallodipeptidase activity,modified amino acid binding",4.68E-33,14,16,14,11,15,14,14,14,14,16,14,11,15,14,14,14,1260.792358,822.7931519,1418.065186,476.8945618,1248.513794,1109.216797,540.9779053,767.4478149
Saa4,Serum amyloid A-4 protein,P31532,"extracellular space,high-density lipoprotein particle,extracellular exosome","acute-phase response,positive chemotaxis,cell chemotaxis",chemoattractant activity,1.04E-14,4,5,4,6,2,4,5,4,4,5,4,6,2,4,5,4,18.72302628,8.526989937,12.19412422,178.219162,5.59244585,20.01998329,9.907527924,8.777245522
S100a9,Protein S100-A9,P31725,"extracellular space,nucleus,nucleoplasm,cytoplasm,cytosol,cytoskeleton,plasma membrane,cell junction,extracellular matrix,extracellular exosome","leukocyte migration involved in inflammatory response,positive regulation of peptide secretion,regulation of translation,autophagy,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,astrocyte development,peptidyl-cysteine S-nitrosylation,positive regulation of blood coagulation,neutrophil chemotaxis,leukocyte chemotaxis,actin cytoskeleton reorganization,peptidyl-cysteine S-trans-nitrosylation,modification of morphology or physiology of other organism,innate immune response,regulation of integrin biosynthetic process,positive regulation of inflammatory response,Requires Ontology,neutrophil aggregation,cellular oxidant detoxification,positive regulation of intrinsic apoptotic signaling pathway","calcium ion binding,microtubule binding,zinc ion binding,antioxidant activity,Toll-like receptor 4 binding,arachidonic acid binding,RAGE receptor binding",1.15E-18,5,4,3,6,3,5,5,4,5,4,3,6,3,5,5,4,171.6392059,43.39131546,23.83993721,2165.188965,8.898918152,258.8494568,74.60712433,78.49662781
Akt1,RAC-alpha serine/threonine-protein kinase,P31750,"nucleus,nucleoplasm,cytoplasm,mitochondrion,spindle,cytosol,plasma membrane,cell-cell junction,microtubule cytoskeleton,vesicle,ciliary basal body,protein complex","protein import into nucleus, translocation,osteoblast differentiation,maternal placenta development,positive regulation of protein phosphorylation,positive regulation of endothelial cell proliferation,glycogen metabolic process,glycogen biosynthetic process,regulation of glycogen biosynthetic process,glucose metabolic process,translation,regulation of translation,protein phosphorylation,negative regulation of protein kinase activity,activation-induced cell death of T cells,inflammatory response,cellular response to DNA damage stimulus,response to oxidative stress,cytoskeleton organization,epidermal growth factor receptor signaling pathway,I-kappaB kinase/NF-kappaB signaling,germ cell development,aging,positive regulation of cell proliferation,insulin receptor signaling pathway,apoptotic mitochondrial changes,response to hormone,response to organic substance,negative regulation of autophagy,negative regulation of gene expression,negative regulation of plasma membrane long-chain fatty acid transport,positive regulation of fibroblast migration,positive regulation of sodium ion transport,positive regulation of glucose metabolic process,positive regulation of mitochondrial membrane potential,negative regulation of endopeptidase activity,regulation of neuron projection development,phosphatidylinositol 3-kinase signaling,glucose transport,phosphorylation,protein ubiquitination,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,peptidyl-tyrosine phosphorylation,spinal cord development,cell projection organization,protein catabolic process,hyaluronan metabolic process,positive regulation of cell growth,regulation of cell migration,regulation of myelination,positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle,lipopolysaccharide-mediated signaling pathway,negative regulation of fatty acid beta-oxidation,positive regulation of endodeoxyribonuclease activity,response to food,peripheral nervous system myelin maintenance,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,cellular response to insulin stimulus,regulation of protein localization,positive regulation of peptidyl-serine phosphorylation,response to fluid shear stress,cellular response to reactive oxygen species,intracellular signal transduction,interleukin-18-mediated signaling pathway,cellular response to vascular endothelial growth factor stimulus,cellular response to decreased oxygen levels,NIK/NF-kappaB signaling,glucose homeostasis,regulation of apoptotic process,positive regulation of apoptotic process,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,protein kinase B signaling,positive regulation of blood vessel endothelial cell migration,positive regulation of nitric oxide biosynthetic process,positive regulation of fat cell differentiation,positive regulation of glycogen biosynthetic process,negative regulation of cell size,negative regulation of proteolysis,positive regulation of transcription, DNA-templated,positive regulation of vasoconstriction,positive regulation of transcription from RNA polymerase II promoter,positive regulation of glucose import,negative regulation of JNK cascade,positive regulation of organ growth,positive regulation of lipid biosynthetic process,insulin-like growth factor receptor signaling pathway,positive regulation of smooth muscle cell proliferation,positive regulation of nitric-oxide synthase activity,positive regulation of sequence-specific DNA binding transcription factor activity,striated muscle cell differentiation,response to growth hormone,glycogen cell differentiation involved in embryonic placenta development,labyrinthine layer blood vessel development,membrane organization,response to UV-A,cellular response to mechanical stimulus,cellular response to cadmium ion,cellular response to tumor necrosis factor,cellular response to growth factor stimulus,cellular response to epidermal growth factor stimulus,cellular response to prostaglandin E stimulus,cellular response to organic cyclic compound,cellular response to hypoxia,establishment of protein localization to mitochondrion,maintenance of protein location in mitochondrion,negative regulation of release of cytochrome c from mitochondria,cellular response to granulocyte macrophage colony-stimulating factor stimulus,execution phase of apoptosis,positive regulation of protein localization to nucleus,cellular response to peptide,positive regulation of protein localization to plasma membrane,positive regulation of I-kappaB phosphorylation,cellular response to nerve growth factor stimulus,response to insulin-like growth factor stimulus","protein kinase activity,protein serine/threonine kinase activity,protein serine/threonine/tyrosine kinase activity,protein tyrosine kinase activity,protein kinase C binding,protein binding,ATP binding,phosphatidylinositol-3,4,5-trisphosphate binding,kinase activity,protein kinase binding,nitric-oxide synthase regulator activity,GTPase activating protein binding,identical protein binding,protein homodimerization activity,phosphatidylinositol-3,4-bisphosphate binding,protein phosphatase 2A binding,14-3-3 protein binding",1.90E-13,3,3,2,4,3,1,3,3,3,3,2,4,3,1,3,3,13.9047699,29.98913383,10.25345516,37.74359131,10.23318577,17.73429298,25.17901421,22.63923645
Dbi,Acyl-CoA-binding protein,P31786,"extracellular space,mitochondrion,Golgi apparatus,synaptic vesicle,extracellular exosome,perinuclear endoplasmic reticulum","behavioral fear response,hair follicle development,triglyceride metabolic process,transport,learning or memory,lateral ventricle development,regulation of synaptic transmission, GABAergic,phosphatidylcholine acyl-chain remodeling,skin development,long-term synaptic potentiation","lipid binding,long-chain fatty acyl-CoA binding,protein dimerization activity",3.59E-27,19,19,19,14,18,19,19,19,19,19,19,14,18,19,19,19,2049.233887,1973.422119,1985.581421,504.444519,1978.915894,2445.853271,1623.209717,2431.090088
Map2k1,Dual specificity mitogen-activated protein kinase kinase 1,P31938,"nucleus,mitochondrion,early endosome,late endosome,endoplasmic reticulum,Golgi apparatus,microtubule organizing center,cytosol,plasma membrane,focal adhesion,extracellular exosome","activation of MAPK activity,regulation of protein phosphorylation,protein phosphorylation,cell cycle arrest,regulation of mitotic cell cycle,heart development,negative regulation of cell proliferation,positive regulation of gene expression,negative regulation of gene expression,peptidyl-threonine phosphorylation,peptidyl-tyrosine phosphorylation,cerebellar cortex formation,neuron differentiation,keratinocyte differentiation,thyroid gland development,regulation of stress-activated MAPK cascade,regulation of apoptotic process,positive regulation of cell differentiation,positive regulation of transcription, DNA-templated,positive regulation of Ras protein signal transduction,thymus development,regulation of axon regeneration,cell motility,positive regulation of axonogenesis,Bergmann glial cell differentiation,face development,lung morphogenesis,trachea formation,epithelial cell proliferation involved in lung morphogenesis,placenta blood vessel development,labyrinthine layer development,ERK1 and ERK2 cascade,positive regulation of ERK1 and ERK2 cascade,positive regulation of protein serine/threonine kinase activity,regulation of Golgi inheritance,cellular senescence,positive regulation of production of miRNAs involved in gene silencing by miRNA,regulation of early endosome to late endosome transport","protein kinase activity,protein serine/threonine kinase activity,MAP kinase kinase activity,protein serine/threonine/tyrosine kinase activity,protein tyrosine kinase activity,receptor signaling protein tyrosine phosphatase activity,protein binding,ATP binding,protein C-terminus binding,protein serine/threonine kinase activator activity,protein N-terminus binding",5.33E-32,2,4,4,3,3,4,4,3,2,4,4,3,3,4,4,3,19.14237595,29.56054688,40.03573227,30.98980141,24.92640114,20.91571236,20.03424454,28.20203018
Scp2,Non-specific lipid-transfer protein;Isoform SCP2 of Non-specific lipid-transfer protein,P32020;P32020-2,"nucleoplasm,mitochondrion,peroxisome,membrane,intracellular membrane-bounded organelle,protein complex,extracellular exosome;","acyl-CoA metabolic process,steroid biosynthetic process,progesterone biosynthetic process,peroxisome organization,phospholipid transport,cholesterol transport,positive regulation of intracellular cholesterol transport,inositol trisphosphate biosynthetic process,positive regulation of steroid metabolic process,protein localization to plasma membrane,lipid hydroperoxide transport;","fatty-acyl-CoA binding,receptor binding,protein binding,phosphatidylinositol transporter activity,sterol transporter activity,cholesterol binding,sterol binding,propanoyl-CoA C-acyltransferase activity,long-chain fatty acyl-CoA binding,propionyl-CoA C2-trimethyltridecanoyltransferase activity,oleic acid binding;",5.42E-47,20,19,20,14,21,20,18,18,20,19,20,14,21,20,18,18,5377.919434,1783.209717,5628.39502,617.552124,5435.348145,4754.583496,1068.179443,1813.682251
Ssb,Lupus La protein homolog,P32067,"nuclear chromosome, telomeric region,nucleus,cytoplasm,intracellular ribonucleoprotein complex","tRNA 5'-leader removal,tRNA export from nucleus,tRNA processing,tRNA 3'-end processing,nuclear histone mRNA catabolic process,IRES-dependent viral translational initiation,protein localization to cytoplasmic stress granule","tRNA binding,RNA binding,poly(U) RNA binding,sequence-specific mRNA binding",3.75E-44,17,18,14,19,15,16,20,21,17,18,14,19,15,16,20,21,138.6635895,342.6858826,121.4773102,367.8838196,148.036026,162.1101074,383.3873596,323.4208374
Drg1,Developmentally-regulated GTP-binding protein 1,P32233,"cytosol,polysome,membrane,nuclear body",,"protein binding,GTP binding,identical protein binding",7.83E-11,6,5,5,5,6,7,5,6,6,5,5,5,6,7,5,6,11.21943283,11.05318737,16.71624565,14.25787163,15.1746273,10.97406864,8.522936821,20.36330986
Serpinc1,Antithrombin-III,P32261,"extracellular space,extracellular exosome,blood microparticle","acute inflammatory response to antigenic stimulus,response to nutrient,lactation,blood coagulation,negative regulation of endopeptidase activity,regulation of blood coagulation, intrinsic pathway","protease binding,serine-type endopeptidase inhibitor activity,heparin binding,identical protein binding",1.16E-42,22,25,26,29,26,23,26,24,22,25,26,29,26,23,26,24,376.8394165,240.8363495,515.0292969,2475.804199,402.0648804,343.421814,487.5278931,344.0934753
Nectin2,Nectin-2;Isoform Alpha of Nectin-2,P32507;P32507-2,"plasma membrane,integral component of plasma membrane,cell-cell junction,zonula adherens,focal adhesion,cell surface,integral component of membrane,apical junction complex,cell-cell contact zone,extracellular exosome;","acrosome assembly,positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target,positive regulation of immunoglobulin mediated immune response,cytoskeleton organization,homophilic cell adhesion via plasma membrane adhesion molecules,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,spermatid development,spermatid nucleus differentiation,cell recognition,fertilization,fusion of virus membrane with host plasma membrane,sperm mitochondrion organization,cell part morphogenesis,positive regulation of mast cell activation,susceptibility to natural killer cell mediated cytotoxicity,adhesion of symbiont to host,cilium organization,positive regulation of natural killer cell mediated cytotoxicity,regulation of viral entry into host cell,coreceptor-mediated virion attachment to host cell,positive regulation of T cell receptor signaling pathway,establishment of mitochondrion localization,susceptibility to T cell mediated cytotoxicity;","receptor activity,receptor binding,protein binding,identical protein binding,protein homodimerization activity,protein heterodimerization activity,cell adhesion molecule binding;",2.69E-06,2,3,2,2,1,1,1,2,2,3,2,2,1,1,1,2,8.507183075,12.3201189,7.427725315,10.74683952,4.296228886,5.417339802,9.204572678,13.94280148
Kras,GTPase KRas;Isoform 2B of GTPase KRas,P32883;P32883-2,"cytoplasm,mitochondrion,plasma membrane,focal adhesion,membrane,extrinsic component of cytoplasmic side of plasma membrane,membrane raft;","liver development,positive regulation of protein phosphorylation,Ras protein signal transduction,female pregnancy,positive regulation of cell proliferation,visual learning,positive regulation of gene expression,cytokine-mediated signaling pathway,forebrain astrocyte development,actin cytoskeleton organization,regulation of protein stability,regulation of synaptic transmission, GABAergic,positive regulation of Rac protein signal transduction,response to isolation stress,endocrine signaling,positive regulation of MAP kinase activity,negative regulation of neuron apoptotic process,negative regulation of cell differentiation,regulation of long-term neuronal synaptic plasticity,homeostasis of number of cells within a tissue,positive regulation of nitric-oxide synthase activity,positive regulation of NF-kappaB transcription factor activity,striated muscle cell differentiation,response to glucocorticoid,response to mineralocorticoid,epithelial tube branching involved in lung morphogenesis,positive regulation of cellular senescence;","GTPase activity,protein binding,GTP binding,GMP binding,GDP binding,LRR domain binding,protein complex binding;",1.36E-46,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,46.3379364,60.74489594,77.45745087,38.07580185,77.4563446,38.40320969,75.69080353,55.01493454
Wars,"Tryptophan--tRNA ligase, cytoplasmic;Isoform 2 of Tryptophan--tRNA ligase, cytoplasmic",P32921;P32921-2,"nucleus,cytoplasm,cytosol,protein complex,extracellular exosome;","angiogenesis,negative regulation of protein phosphorylation,tryptophanyl-tRNA aminoacylation,negative regulation of protein kinase activity,positive regulation of gene expression,regulation of protein ADP-ribosylation,positive regulation of protein complex assembly,regulation of angiogenesis;","tryptophan-tRNA ligase activity,ATP binding,kinase inhibitor activity,protein kinase binding,protein domain specific binding,protein homodimerization activity;",2.45E-44,14,16,11,11,12,13,15,14,14,16,11,11,12,13,15,14,71.8562088,87.63816833,72.78913879,103.9381104,72.54886627,75.50957489,120.3173141,95.81135559
Proc,Vitamin K-dependent protein C,P33587,"extracellular space,endoplasmic reticulum,Golgi apparatus","liver development,proteolysis,blood coagulation,negative regulation of blood coagulation,negative regulation of apoptotic process,regulation of circulating fibrinogen levels,negative regulation of inflammatory response,negative regulation of coagulation,positive regulation of establishment of endothelial barrier","serine-type endopeptidase activity,calcium ion binding,peptidase activity",2.92E-12,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,2,12.54478168,20.21743774,2.039307833,99.51654053,2.296390533,6.095790863,11.24856377,13.30832672
Ranbp1,Ran-specific GTPase-activating protein,P34022,"nucleus,cytoplasm,centrosome,cytosol,axon cytoplasm","G1/S transition of mitotic cell cycle,RNA export from nucleus,ubiquitin-dependent protein catabolic process,protein import into nucleus,spindle organization,positive regulation of neuron projection development,cellular response to drug,positive regulation of GTPase activity,positive regulation of mitotic centrosome separation,response to calcium ion,cellular response to leptomycin B","GDP-dissociation inhibitor activity,Ran GTPase binding,cadherin binding,GTPase activator activity",1.72E-19,9,9,9,9,8,9,9,9,9,9,9,9,8,9,9,9,77.17813873,157.3692932,61.2212944,233.3874664,69.99112701,89.58837128,198.7009888,182.8452148
Ptk2,Focal adhesion kinase 1;Isoform 2 of Focal adhesion kinase 1;Isoform 3 of Focal adhesion kinase 1;Isoform 4 of Focal adhesion kinase 1,P34152;P34152-2;P34152-3;P34152-4,"stress fiber,nucleus,cytoplasm,microtubule organizing center,cytosol,plasma membrane,focal adhesion,apical plasma membrane,lamellipodium,extrinsic component of cytoplasmic side of plasma membrane,perinuclear region of cytoplasm;;;","microtubule cytoskeleton organization,angiogenesis,blood vessel development,vasculogenesis,neuron migration,regulation of protein phosphorylation,positive regulation of protein phosphorylation,nuclear migration,cell adhesion,signal complex assembly,epidermal growth factor receptor signaling pathway,transforming growth factor beta receptor signaling pathway,integrin-mediated signaling pathway,axon guidance,positive regulation of cell proliferation,regulation of cell shape,regulation of epithelial cell migration,positive regulation of phosphatidylinositol 3-kinase signaling,peptidyl-tyrosine phosphorylation,central nervous system neuron axonogenesis,negative regulation of cell-cell adhesion,regulation of cell adhesion,extracellular matrix organization,positive regulation of cell migration,regulation of cell adhesion mediated by integrin,peptidyl-tyrosine autophosphorylation,regulation of cell proliferation,negative regulation of apoptotic process,endothelial cell migration,innate immune response,regulation of osteoblast differentiation,positive regulation of protein kinase activity,negative regulation of organ growth,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,ephrin receptor signaling pathway,negative regulation of axonogenesis,regulation of focal adhesion assembly,positive regulation of protein kinase B signaling,negative regulation of synapse assembly,growth hormone receptor signaling pathway,cellular response to transforming growth factor beta stimulus,regulation of substrate adhesion-dependent cell spreading,positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,negative regulation of anoikis;;;","actin binding,protein kinase activity,protein tyrosine kinase activity,non-membrane spanning protein tyrosine kinase activity,signal transducer activity,receptor binding,protein binding,ATP binding,JUN kinase binding,protein kinase binding,SH2 domain binding;;;",1.72E-30,6,6,5,6,5,6,6,6,6,6,5,6,5,6,6,6,19.06482887,43.39319229,24.00683594,40.96186829,29.09238625,23.16928864,40.85797882,36.37403488
Mif,Macrophage migration inhibitory factor,P34884,"extracellular region,extracellular space,nucleoplasm,cytosol,cell surface,vesicle,myelin sheath,extracellular exosome","prostaglandin biosynthetic process,positive regulation of protein phosphorylation,positive regulation of adaptive immune response,negative regulation of mature B cell apoptotic process,inflammatory response,cell surface receptor signaling pathway,cell aging,cell proliferation,regulation of receptor activity,negative regulation of gene expression,positive regulation of protein kinase A signaling,negative regulation of macrophage chemotaxis,carboxylic acid metabolic process,DNA damage response, signal transduction by p53 class mediator,positive regulation of B cell proliferation,positive regulation of lipopolysaccharide-mediated signaling pathway,negative regulation of cellular protein metabolic process,positive regulation of tumor necrosis factor production,negative regulation of myeloid cell apoptotic process,positive regulation of peptidyl-serine phosphorylation,regulation of cell proliferation,positive regulation of phosphorylation,negative regulation of apoptotic process,positive regulation of MAP kinase activity,negative regulation of DNA damage response, signal transduction by p53 class mediator,innate immune response,positive regulation of fibroblast proliferation,positive regulation of cytokine secretion,positive regulation of peptidyl-tyrosine phosphorylation,positive chemotaxis,positive regulation of prostaglandin secretion involved in immune response,positive regulation of myeloid leukocyte cytokine production involved in immune response,protein homotrimerization,positive regulation of ERK1 and ERK2 cascade,negative regulation of cell cycle arrest,positive regulation of arachidonic acid secretion,negative regulation of cell aging,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,positive regulation of chemokine (C-X-C motif) ligand 2 production","protease binding,dopachrome isomerase activity,receptor binding,cytokine activity,cytokine receptor binding,chemoattractant activity,identical protein binding,phenylpyruvate tautomerase activity",2.46E-33,9,9,9,8,9,9,9,9,9,9,9,8,9,9,9,9,4101.976563,4012.593262,4352.048828,2241.771973,4776.782715,3404.663574,3448.111084,3010.091553
Ephx2,Bifunctional epoxide hydrolase 2,P34914,"peroxisome,cytosol,extracellular exosome","response to toxic substance,positive regulation of gene expression,dephosphorylation,cholesterol homeostasis,stilbene catabolic process,phospholipid dephosphorylation,regulation of cholesterol metabolic process,epoxide metabolic process","magnesium ion binding,epoxide hydrolase activity,receptor binding,toxic substance binding,phosphatase activity,10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity,lipid phosphatase activity,protein homodimerization activity",1.55E-44,42,41,41,32,42,42,39,40,42,41,41,32,42,42,39,40,876.9916382,429.4850464,942.7108154,130.9290161,984.0146484,850.3810425,257.2257385,425.5725098
