PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity
Krt19,"Keratin, type I cytoskeletal 19",P19001,K1C19_MOUSE,"intermediate filament,plasma membrane,dystrophin-associated glycoprotein complex,apicolateral plasma membrane,Z disc,sarcolemma,costamere,extracellular exosome,cell periphery,terminal web","Notch signaling pathway,response to estrogen,sarcomere organization,cell differentiation involved in embryonic placenta development","protein binding,structural constituent of muscle,protein complex binding",4.59E-44,10,14,5,14,7,14,13,7,10,14,5,14,7,14,13,7,60.85283279,426.9725037,48.77164841,422.0021057,47.30789566,485.9116211,471.0765381,28.12208939
Fasn,Fatty acid synthase,P19096,FAS_MOUSE,"mitochondrion,Golgi apparatus,cytosol,plasma membrane,membrane,melanosome,glycogen granule,extracellular exosome","osteoblast differentiation,acetyl-CoA metabolic process,fatty acid biosynthetic process,mammary gland development,oxidation-reduction process,cellular response to interleukin-4","RNA binding,fatty acid synthase activity,[acyl-carrier-protein] S-acetyltransferase activity,[acyl-carrier-protein] S-malonyltransferase activity,3-oxoacyl-[acyl-carrier-protein] synthase activity,3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity,enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity,oleoyl-[acyl-carrier-protein] hydrolase activity,drug binding,myristoyl-[acyl-carrier-protein] hydrolase activity,palmitoyl-[acyl-carrier-protein] hydrolase activity,phosphopantetheine binding,protein homodimerization activity,cadherin binding,enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity,3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity,NADPH binding,Requires Ontology,3-oxo-pimeloyl-[acp] methyl ester reductase activity",1.58E-49,21,21,18,23,22,23,22,22,21,21,18,23,22,23,22,22,42.40429306,45.78601456,45.42461777,203.8863068,74.04644775,89.85882568,101.7725372,38.16155243
Gstp1,Glutathione S-transferase P 1,P19157,GSTP1_MOUSE,"extracellular space,intracellular,nucleus,cytoplasm,mitochondrion,cytosol,plasma membrane,vesicle,protein complex,extracellular exosome,TRAF2-GSTP1 complex","response to reactive oxygen species,negative regulation of acute inflammatory response,glutathione metabolic process,xenobiotic metabolic process,response to toxic substance,negative regulation of biosynthetic process,oligodendrocyte development,animal organ regeneration,response to nutrient levels,response to estradiol,negative regulation of interleukin-1 beta production,negative regulation of tumor necrosis factor production,cellular response to insulin stimulus,regulation of stress-activated MAPK cascade,negative regulation of stress-activated MAPK cascade,positive regulation of superoxide anion generation,response to L-ascorbic acid,common myeloid progenitor cell proliferation,negative regulation of apoptotic process,negative regulation of I-kappaB kinase/NF-kappaB signaling,response to amino acid,negative regulation of MAP kinase activity,negative regulation of JUN kinase activity,response to ethanol,negative regulation of fibroblast proliferation,negative regulation of nitric-oxide synthase biosynthetic process,regulation of ERK1 and ERK2 cascade,negative regulation of ERK1 and ERK2 cascade,negative regulation of leukocyte proliferation,cellular response to lipopolysaccharide,cellular response to epidermal growth factor stimulus,cellular response to glucocorticoid stimulus,cellular response to cell-matrix adhesion,negative regulation of monocyte chemotactic protein-1 production,cellular oxidant detoxification,negative regulation of neutrophil aggregation,negative regulation of peroxidase activity,negative regulation of extrinsic apoptotic signaling pathway","glutathione transferase activity,glutathione peroxidase activity,protein binding,drug binding,JUN kinase binding,kinase regulator activity,S-nitrosoglutathione binding,dinitrosyl-iron complex binding",3.90E-46,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,280.0582581,417.8764343,255.1408386,411.0181885,263.1707458,367.7491455,163.5639954,282.1413574
F2,Prothrombin,P19221,THRB_MOUSE,"extracellular space,extracellular exosome,blood microparticle,external side of plasma membrane","positive regulation of protein phosphorylation,proteolysis,acute-phase response,cell surface receptor signaling pathway,positive regulation of cell proliferation,regulation of cell shape,response to wounding,regulation of gene expression,positive regulation of phosphatidylinositol 3-kinase signaling,platelet activation,positive regulation of blood coagulation,positive regulation of cell growth,positive regulation of collagen biosynthetic process,fibrinolysis,negative regulation of proteolysis,negative regulation of astrocyte differentiation,positive regulation of release of sequestered calcium ion into cytosol,regulation of cytosolic calcium ion concentration,cytolysis by host of symbiont cells,Requires Ontology,thrombin-activated receptor signaling pathway,neutrophil mediated killing of gram-negative bacterium,positive regulation of lipid kinase activity,negative regulation of cytokine production involved in inflammatory response,positive regulation of protein localization to nucleus,positive regulation of phospholipase C-activating G-protein coupled receptor signaling pathway,positive regulation of reactive oxygen species metabolic process","lipopolysaccharide binding,serine-type endopeptidase activity,receptor binding,calcium ion binding,protein binding,heparin binding,peptidase activity,thrombospondin receptor activity",1.16E-36,10,9,9,10,7,10,11,8,10,9,9,10,7,10,11,8,60.78779221,97.22212982,71.23697662,130.921402,81.98726654,150.9187622,1327.548218,98.40942383
Rpl13a,60S ribosomal protein L13a,P19253,RL13A_MOUSE,"nucleus,nucleolus,cytoplasm,focal adhesion,membrane,cytosolic large ribosomal subunit,intracellular ribonucleoprotein complex,GAIT complex","translation,negative regulation of translation,response to lipopolysaccharide,regulation of homeostatic process,macrophage chemotaxis,lung morphogenesis,cellular response to interferon-gamma,negative regulation of formation of translation preinitiation complex","RNA binding,mRNA binding,structural constituent of ribosome",2.53E-47,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,269.3972473,474.9630737,303.7119141,468.8836365,349.1231995,555.3336792,544.8291626,264.5679016
Serpinh1,Serpin H1,P19324,SERPH_MOUSE,"cytoplasm,endoplasmic reticulum,endoplasmic reticulum lumen,endoplasmic reticulum-Golgi intermediate compartment,membrane raft,extracellular exosome,extracellular space","chondrocyte development involved in endochondral bone morphogenesis,negative regulation of endopeptidase activity,collagen fibril organization,collagen biosynthetic process,protein maturation","RNA binding,serine-type endopeptidase inhibitor activity,protein binding,collagen binding,unfolded protein binding",4.23E-51,17,18,15,18,17,18,19,16,17,18,15,18,17,18,19,16,161.9900513,414.7865295,67.50528717,469.9789429,232.2106323,721.5662231,1357.479858,79.45502472
Cox5b,"Cytochrome c oxidase subunit 5B, mitochondrial;Cytochrome c oxidase subunit 5B, mitochondrial",P19536;Q9D881,COX5B_MOUSE;Q9D881_MOUSE,"mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex IV,myelin sheath;","mitochondrial electron transport, cytochrome c to oxygen,mitochondrial ATP synthesis coupled proton transport;","metal ion binding,cytochrome-c oxidase activity;",2.48E-65,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1200.643799,641.3156128,1364.164185,555.0360718,940.2259521,472.7080383,648.4888916,1286.326782
Cox4i1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",P19783,COX41_MOUSE,"nucleus,mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex IV,membrane,mitochondrial membrane,extracellular exosome","mitochondrial electron transport, cytochrome c to oxygen,response to nutrient,hydrogen ion transmembrane transport",cytochrome-c oxidase activity,5.87E-67,10,10,10,9,10,10,10,10,10,10,10,9,10,10,10,10,3501.05542,1746.3573,3717.068359,1821.692505,3121.2854,1231.773926,2226.213379,3164.961182
Hspa5,78 kDa glucose-regulated protein,P20029,GRP78_MOUSE,"extracellular region,nucleus,mitochondrion,endoplasmic reticulum,endoplasmic reticulum lumen,endoplasmic reticulum membrane,smooth endoplasmic reticulum,endoplasmic reticulum-Golgi intermediate compartment,plasma membrane,focal adhesion,cell surface,membrane,integral component of endoplasmic reticulum membrane,midbody,extracellular matrix,endoplasmic reticulum chaperone complex,melanosome,myelin sheath,protein complex,extracellular exosome,COP9 signalosome","platelet degranulation,ER overload response,activation of signaling protein activity involved in unfolded protein response,response to radiation,positive regulation of neuron projection development,cerebellum structural organization,cerebellar Purkinje cell layer development,substantia nigra development,neuron differentiation,positive regulation of cell migration,negative regulation of transforming growth factor beta receptor signaling pathway,positive regulation of protein ubiquitination,response to endoplasmic reticulum stress,maintenance of protein localization in endoplasmic reticulum,cellular response to drug,positive regulation of embryonic development,cellular response to glucose starvation,response to cocaine,negative regulation of apoptotic process,neuron apoptotic process,proteolysis involved in cellular protein catabolic process,cellular response to antibiotic,cellular response to calcium ion,cellular response to manganese ion,cellular response to cAMP,cellular response to interleukin-4,stress response to metal ion,toxin transport,response to methamphetamine hydrochloride,cellular response to nerve growth factor stimulus","protein binding,ATP binding,ATPase activity,enzyme binding,protein domain specific binding,ubiquitin protein ligase binding,ribosome binding,cadherin binding,unfolded protein binding,misfolded protein binding",4.04E-56,38,39,39,39,39,39,39,37,38,39,39,39,39,39,39,37,508.1760559,687.6273193,522.8067017,721.5725708,564.882019,757.2261963,1035.869385,463.0756836
Hexb,Beta-hexosaminidase subunit beta,P20060,HEXB_MOUSE,"acrosomal vesicle,extracellular space,lysosome,membrane,azurophil granule,extracellular exosome","skeletal system development,glycosphingolipid metabolic process,ganglioside catabolic process,cellular calcium ion homeostasis,lysosome organization,single fertilization,penetration of zona pellucida,sensory perception of sound,locomotory behavior,male courtship behavior,regulation of cell shape,phospholipid biosynthetic process,oligosaccharide catabolic process,lipid storage,sexual reproduction,glycosaminoglycan metabolic process,regulation of cellular metabolic process,myelination,astrocyte cell migration,cellular protein metabolic process,positive regulation of transcription from RNA polymerase II promoter,oogenesis,neuromuscular process controlling balance,neuromuscular process","beta-N-acetylhexosaminidase activity,acetylglucosaminyltransferase activity,hydrolase activity,protein homodimerization activity,protein heterodimerization activity,Requires Ontology",2.57E-26,4,6,4,6,5,5,5,4,4,6,4,6,5,5,5,4,101.6785049,141.9381714,93.40685272,145.1851807,119.1235199,107.3130951,170.6883087,104.2692871
Tmsb4x,Isoform Short of Thymosin beta-4,P20065-2,TYB4_MOUSE,,,,2.83E-48,9,12,9,12,11,12,11,10,9,12,9,12,11,12,11,10,347.0297546,1119.198608,233.0681915,1002.272461,429.1302185,1377.118652,1926.727173,292.2631836
Prdx3,"Thioredoxin-dependent peroxide reductase, mitochondrial",P20108,PRDX3_MOUSE,"cytoplasm,mitochondrion,early endosome,cytosol,myelin sheath,protein complex,extracellular exosome,IkappaB kinase complex","maternal placenta development,apoptotic process,response to oxidative stress,mitochondrion organization,positive regulation of cell proliferation,peptidyl-cysteine oxidation,myeloid cell differentiation,response to lipopolysaccharide,negative regulation of kinase activity,cellular response to oxidative stress,cellular response to reactive oxygen species,response to hydrogen peroxide,hydrogen peroxide catabolic process,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,cell redox homeostasis,positive regulation of NF-kappaB transcription factor activity,regulation of mitochondrial membrane potential,cellular oxidant detoxification","protein C-terminus binding,thioredoxin peroxidase activity,kinase binding,protein kinase binding,identical protein binding,cysteine-type endopeptidase inhibitor activity involved in apoptotic process",4.57E-50,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1902.530029,1225.48584,1987.478882,1159.808594,1600.209229,910.637146,1335.806152,1870.000366
Vim,Vimentin,P20152,VIME_MOUSE,"cytoplasm,peroxisome,cytosol,cytoskeleton,intermediate filament,plasma membrane,focal adhesion,extracellular matrix,cell leading edge,cell projection,neuron projection,type III intermediate filament,extracellular exosome","positive regulation of gene expression,negative regulation of neuron projection development,astrocyte development,intermediate filament-based process,intermediate filament organization,Bergmann glial cell differentiation,SMAD protein signal transduction,lens fiber cell development","double-stranded RNA binding,structural molecule activity,structural constituent of cytoskeleton,structural constituent of eye lens,protein binding,protein C-terminus binding,identical protein binding,scaffold protein binding,keratin filament binding",1.70E-53,47,48,41,48,49,48,48,41,47,48,41,48,49,48,48,41,497.9862061,1246.895874,239.0397339,1463.969604,956.5671387,2167.621826,4251.79248,245.6253662
Plg,Plasminogen,P20918,PLMN_MOUSE,"extracellular region,extracellular space,cell surface,extrinsic component of plasma membrane,extrinsic component of external side of plasma membrane,intracellular membrane-bounded organelle,other organism cell membrane,extracellular exosome,blood microparticle","proteolysis,blood coagulation,negative regulation of cell-substrate adhesion,negative regulation of angiogenesis,extracellular matrix disassembly,tissue regeneration,fibrinolysis,myoblast differentiation,muscle cell cellular homeostasis,tissue remodeling,proteolysis involved in cellular protein catabolic process,interaction with symbiont,negative regulation of fibrinolysis,positive regulation of fibrinolysis,modification by host of symbiont morphology or physiology via secreted substance,interaction with symbiont via secreted substance involved in symbiotic interaction,trophoblast giant cell differentiation,labyrinthine layer blood vessel development,mononuclear cell migration","endopeptidase activity,serine-type endopeptidase activity,receptor binding,enzyme binding,kinase binding,protein domain specific binding,apolipoprotein binding,chaperone binding,proteasome core complex binding,protein antigen binding",4.44E-46,24,26,21,27,21,29,31,21,24,26,21,27,21,29,31,21,88.4981308,191.3176575,71.84641266,179.1799316,92.64047241,233.6793518,3246.965088,82.90914154
Tpm3,Isoform 2 of Tropomyosin alpha-3 chain,P21107-2,TPM3_MOUSE,,,,1.59E-57,22,23,22,22,22,23,22,22,22,23,22,22,22,23,22,22,276.2084656,584.8205566,257.0638733,503.1027832,312.8042908,568.3057251,409.1412048,274.558075
Gna11,Guanine nucleotide-binding protein subunit alpha-11,P21278,GNA11_MOUSE,"lysosomal membrane,heterotrimeric G-protein complex,extracellular exosome","skeletal system development,action potential,G-protein coupled receptor signaling pathway,adenylate cyclase-modulating G-protein coupled receptor signaling pathway,heart development,regulation of melanocyte differentiation,developmental pigmentation,phospholipase C-activating dopamine receptor signaling pathway,protein heterotrimerization,cellular response to pH,glutamate receptor signaling pathway","GTPase activity,signal transducer activity,GTP binding,G-protein beta/gamma-subunit complex binding,type 2A serotonin receptor binding,metal ion binding,alkylglycerophosphoethanolamine phosphodiesterase activity",4.60E-41,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33.96217728,32.96147537,34.67441559,40.86135101,36.3566246,23.76167107,22.0629158,24.63492966
Cst3,Cystatin-C,P21460,CYTC_MOUSE,"extracellular region,basement membrane,extracellular space,lysosome,multivesicular body,endoplasmic reticulum,axon,nuclear membrane,neuronal cell body,contractile fiber,perinuclear region of cytoplasm,extracellular exosome","eye development,response to hypoxia,cell activation,apoptotic process,defense response,brain development,salivary gland development,embryo implantation,positive regulation of cell proliferation,response to toxic substance,response to carbohydrate,negative regulation of peptidase activity,negative regulation of collagen catabolic process,negative regulation of extracellular matrix disassembly,response to nutrient levels,response to estradiol,response to drug,circadian sleep/wake cycle, REM sleep,regulation of programmed cell death,positive regulation of DNA replication,negative regulation of proteolysis,response to axon injury,Sertoli cell development,negative regulation of elastin catabolic process,negative regulation of blood vessel remodeling,negative regulation of cell death,cellular response to hydrogen peroxide,fibril organization,negative regulation of cysteine-type endopeptidase activity","beta-amyloid binding,protease binding,endopeptidase inhibitor activity,cysteine-type endopeptidase inhibitor activity,identical protein binding",6.93E-32,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,40.39191055,133.9102325,40.39591217,72.3104248,30.34485054,68.37434387,62.53691101,42.22642517
Gc,Vitamin D-binding protein,P21614,VTDB_MOUSE,"extracellular space,extracellular exosome,blood microparticle","vitamin D metabolic process,vitamin transport","actin binding,vitamin transporter activity,calcidiol binding",1.82E-63,21,21,20,23,22,23,22,20,21,21,20,23,22,23,22,20,149.1705475,287.8347778,111.2878265,374.9616394,168.0874481,398.3045044,2270.995605,141.3336792
Tgm2,Protein-glutamine gamma-glutamyltransferase 2,P21981,TGM2_MOUSE,"proteinaceous extracellular matrix,cytoplasm,mitochondrion,endoplasmic reticulum,cytosol,focal adhesion,membrane,extracellular matrix,intrinsic component of plasma membrane,extracellular exosome","blood vessel remodeling,G-protein coupled receptor signaling pathway,phospholipase C-activating G-protein coupled receptor signaling pathway,peptide cross-linking,isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine,negative regulation of endoplasmic reticulum calcium ion concentration,positive regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,apoptotic cell clearance,positive regulation of cell adhesion,positive regulation of smooth muscle cell proliferation,positive regulation of inflammatory response,protein homooligomerization,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway,positive regulation of mitochondrial calcium ion concentration,branching involved in salivary gland morphogenesis,salivary gland cavitation","protein-glutamine gamma-glutamyltransferase activity,calcium ion binding,GTP binding,transaminase activity,protein domain specific binding",1.92E-55,25,25,25,26,26,25,25,25,25,25,25,26,26,25,25,25,475.2597046,817.6257935,465.1898193,840.288269,513.7542725,853.7672119,602.1551514,474.1965637
Fech,"Ferrochelatase, mitochondrial;Ferrochelatase",P22315;Q544X6,HEMH_MOUSE;Q544X6_MOUSE,"mitochondrion,mitochondrial inner membrane;","porphyrin-containing compound biosynthetic process,heme biosynthetic process,cholesterol metabolic process,response to light stimulus,detection of UV,regulation of gene expression,regulation of eIF2 alpha phosphorylation by heme,erythrocyte differentiation,very-low-density lipoprotein particle assembly,protoporphyrinogen IX metabolic process,regulation of hemoglobin biosynthetic process,iron ion homeostasis;","ferrochelatase activity,iron ion binding,protein binding,heme binding,iron-responsive element binding,tetrapyrrole binding,2 iron, 2 sulfur cluster binding;",5.71E-51,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,29.43470192,18.94013786,16.8943634,19.43436623,23.67521477,20.39883423,3.800424099,22.89591217
Serpina1b,Alpha-1-antitrypsin 1-2,P22599,A1AT2_MOUSE,"extracellular region,extracellular space,endoplasmic reticulum,Golgi apparatus,intracellular membrane-bounded organelle,extracellular exosome","in utero embryonic development,protein N-linked glycosylation,acute-phase response,negative regulation of endopeptidase activity,response to cytokine,response to peptide hormone","protease binding,serine-type endopeptidase inhibitor activity,protein binding,identical protein binding",6.04E-55,7,6,5,8,7,6,8,6,7,6,5,8,7,6,8,6,162.4839172,116.1289444,147.7761383,148.539566,128.2015686,216.4639893,1302.281616,141.5957184
Ap1g1,AP-1 complex subunit gamma-1,P22892;Q8CBB7,AP1G1_MOUSE;Q8CBB7_MOUSE,"Golgi apparatus,trans-Golgi network,cytosol,membrane,clathrin adaptor complex,clathrin-coated vesicle,clathrin-coated vesicle membrane,intracellular membrane-bounded organelle,perinuclear region of cytoplasm,recycling endosome;","intracellular protein transport,vesicle-mediated transport,endosome to melanosome transport,positive regulation of natural killer cell degranulation,positive regulation of natural killer cell mediated cytotoxicity,Golgi to lysosome transport;","protein binding,protein transporter activity,Rab GTPase binding,kinesin binding,GTP-dependent protein binding;",6.56E-50,4,5,4,5,4,5,5,5,4,5,4,5,4,5,5,5,51.45714951,58.17364883,44.61972427,48.14899445,36.73566818,48.41917419,33.81869125,40.46179962
Eif3a,Eukaryotic translation initiation factor 3 subunit A,P23116,EIF3A_MOUSE,"nucleus,nucleolus,microtubule organizing center,cytosol,eukaryotic translation initiation factor 3 complex,microtubule,membrane,multi-eIF complex,eukaryotic translation initiation factor 3 complex, eIF3e,eukaryotic translation initiation factor 3 complex, eIF3m","formation of cytoplasmic translation initiation complex,translation reinitiation,negative regulation of ERK1 and ERK2 cascade,IRES-dependent viral translational initiation,viral translational termination-reinitiation","RNA binding,mRNA binding,protein binding,receptor tyrosine kinase binding,translation initiation factor activity",1.13E-51,12,11,11,12,10,12,11,10,12,11,11,12,10,12,11,10,84.67700195,119.1590881,87.88299561,131.9763336,85.91864014,146.960495,162.3509827,70.5109787
Cbx3,Chromobox protein homolog 3;Cbx3 protein,P23198;Q9DCC5,CBX3_MOUSE;Q9DCC5_MOUSE,"chromosome, centromeric region,condensed chromosome, centromeric region,nuclear chromosome, telomeric region,chromatin,nucleus,nuclear envelope,nucleoplasm,nuclear euchromatin,nuclear heterochromatin,spindle,chromocenter,nuclear pericentric heterochromatin;","transcription, DNA-templated,chromatin modification,positive regulation of gene expression, epigenetic,negative regulation of transcription, DNA-templated,rhythmic process;","transcription regulatory region sequence-specific DNA binding,protein binding,enzyme binding,protein domain specific binding,identical protein binding,histone methyltransferase binding;",4.11E-13,2,2,2,1,1,2,2,2,2,2,0,1,1,2,2,2,5.425978184,6.531774998,NaN,17.30801773,10.99670315,19.42061615,20.49430466,5.658958435
Pnp,Purine nucleoside phosphorylase,P23492;Q543K9,PNPH_MOUSE;Q543K9_MOUSE,"intracellular,cytoplasm,cytosol,cytoskeleton,extracellular exosome;","positive regulation of T cell mediated cytotoxicity,inosine catabolic process,deoxyinosine catabolic process,deoxyguanosine catabolic process,GTP biosynthetic process,intrinsic apoptotic signaling pathway in response to DNA damage,apoptotic mitochondrial changes,response to gamma radiation,urate biosynthetic process,positive regulation of T cell proliferation,purine nucleoside metabolic process,positive regulation of B cell differentiation,positive regulation of DNA repair,dGTP metabolic process,guanosine catabolic process,positive regulation of alpha-beta T cell differentiation,negative regulation of T cell apoptotic process;","nucleoside binding,purine nucleobase binding,purine-nucleoside phosphorylase activity,drug binding,phosphate ion binding;",1.07E-44,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,202.3749542,278.5011597,207.9107971,262.2096252,236.8207397,306.6842346,194.3786163,221.1559143
Cryab,Alpha-crystallin B chain,P23927,CRYAB_MOUSE,"nucleus,cytoplasm,mitochondrion,Golgi apparatus,cytosol,plasma membrane,cell surface,postsynaptic density,microtubule cytoskeleton,Z disc,axon,M band,actin filament bundle,dendritic spine,perikaryon,myelin sheath,contractile fiber,extracellular exosome,synaptic membrane,cardiac myofibril","response to hypoxia,lens development in camera-type eye,protein folding,tubulin complex assembly,muscle organ development,aging,negative regulation of gene expression,regulation of cell death,negative regulation of cell growth,microtubule polymerization or depolymerization,response to estradiol,negative regulation of intracellular transport,negative regulation of protein homooligomerization,response to hydrogen peroxide,camera-type eye development,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,protein stabilization,protein homooligomerization,stress-activated MAPK cascade,apoptotic process involved in morphogenesis,cellular response to gamma radiation,Requires Ontology,negative regulation of reactive oxygen species metabolic process","structural constituent of eye lens,protein binding,microtubule binding,protein complex binding,identical protein binding,protein homodimerization activity,metal ion binding,unfolded protein binding",3.61E-19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,29.14426994,127.3094177,25.07516289,102.5769043,19.46456718,139.3311157,62.69504547,25.01021957
Ces1c,Carboxylesterase 1C,P23953,EST1C_MOUSE,"extracellular space,endoplasmic reticulum lumen",,"hydrolase activity, acting on ester bonds,carboxylic ester hydrolase activity",4.32E-51,8,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,76.63001251,61.7211647,91.96837616,94.73252106,97.31932831,138.061554,717.6674805,88.17325592
Cat,Catalase,P24270,CATA_MOUSE,"mitochondrion,mitochondrial intermembrane space,lysosome,peroxisome,peroxisomal membrane,endoplasmic reticulum,Golgi apparatus,cytosol,plasma membrane,focal adhesion,membrane,intracellular membrane-bounded organelle,extracellular exosome","response to reactive oxygen species,osteoblast differentiation,ureteric bud development,response to hypoxia,triglyceride metabolic process,response to oxidative stress,aging,cholesterol metabolic process,aerobic respiration,response to light intensity,UV protection,response to ozone,response to lead ion,positive regulation of phosphatidylinositol 3-kinase signaling,response to activity,response to inactivity,hemoglobin metabolic process,negative regulation of NF-kappaB transcription factor activity,response to estradiol,response to insulin,response to vitamin A,response to vitamin E,response to L-ascorbic acid,response to drug,response to hydrogen peroxide,hydrogen peroxide catabolic process,negative regulation of apoptotic process,response to ethanol,response to cadmium ion,positive regulation of NF-kappaB transcription factor activity,protein tetramerization,protein homotetramerization,positive regulation of cell division,response to hyperoxia,response to fatty acid,cellular response to growth factor stimulus,response to phenylpropanoid,cellular oxidant detoxification","aminoacylase activity,catalase activity,receptor binding,antioxidant activity,oxidoreductase activity, acting on peroxide as acceptor,enzyme binding,heme binding,protein homodimerization activity,metal ion binding,NADP binding",1.16E-63,45,45,45,45,45,44,42,45,45,45,45,45,45,44,42,45,1415.77356,783.0432129,1552.629272,763.6326904,1281.372314,477.3247375,301.8972168,1650.515625
Ppib,Peptidyl-prolyl cis-trans isomerase B,P24369,PPIB_MOUSE,"nucleus,endoplasmic reticulum,endoplasmic reticulum lumen,smooth endoplasmic reticulum,focal adhesion,membrane,macromolecular complex,endoplasmic reticulum chaperone complex,melanosome,perinuclear region of cytoplasm,extracellular exosome","protein peptidyl-prolyl isomerization,positive regulation of multicellular organism growth,positive regulation by host of viral process,positive regulation by host of viral genome replication,protein stabilization,bone development,chaperone-mediated protein folding","RNA binding,peptidyl-prolyl cis-trans isomerase activity,protein binding,protein complex binding,RNA polymerase binding,collagen binding",3.38E-50,11,11,11,11,11,11,10,11,11,11,11,11,11,11,10,11,313.8920593,462.4602966,315.4388733,466.7597961,322.3339539,584.0070801,599.8415527,350.1454163
Lta4h,Leukotriene A-4 hydrolase,P24527,LKHA4_MOUSE,"nucleus,nucleoplasm,cytoplasm,cytosol,extracellular exosome","proteolysis,leukotriene biosynthetic process,peptide catabolic process,cellular lipid metabolic process,cellular protein metabolic process","RNA binding,aminopeptidase activity,epoxide hydrolase activity,leukotriene-A4 hydrolase activity,protein binding,zinc ion binding,peptide binding,metalloaminopeptidase activity",8.66E-72,9,9,9,9,8,9,9,8,9,9,9,9,8,9,9,8,47.51145554,57.50170898,34.0917244,59.03520584,46.88502502,79.32057953,77.07145691,39.28647232
