PG.Qvalue,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
3.89E-33,Bcat1,"Branched-chain-amino-acid aminotransferase, cytosolic;Branched-chain-amino-acid aminotransferase, cytosolic",P24288;Q8CBC8,BCAT1_MOUSE;Q8CBC8_MOUSE,"mitochondrion,cytosol;","branched-chain amino acid catabolic process,leucine biosynthetic process,valine biosynthetic process;","branched-chain-amino-acid transaminase activity,L-leucine transaminase activity,L-valine transaminase activity,L-isoleucine transaminase activity;",4,2,4,3,4,1,4,0,4,4,4,4,4,4,4,4,21.28453064,3.96165514,23.74066925,6.993098736,26.49633598,1.673006654,8.230594635,2.806691408
5.26E-70,Ppib,Peptidyl-prolyl cis-trans isomerase B,P24369,PPIB_MOUSE,"nucleus,endoplasmic reticulum,endoplasmic reticulum lumen,smooth endoplasmic reticulum,focal adhesion,membrane,macromolecular complex,endoplasmic reticulum chaperone complex,melanosome,perinuclear region of cytoplasm,extracellular exosome","protein peptidyl-prolyl isomerization,positive regulation of multicellular organism growth,positive regulation by host of viral process,positive regulation by host of viral genome replication,protein stabilization,bone development,chaperone-mediated protein folding","RNA binding,peptidyl-prolyl cis-trans isomerase activity,protein binding,protein complex binding,RNA polymerase binding,collagen binding",17,18,15,17,16,17,15,4,18,18,18,18,18,18,18,18,229.1703949,387.1051636,211.1436157,430.456543,224.8951721,316.449585,177.1749573,14.77524757
7.06E-29,Gsta4,Glutathione S-transferase A4,P24472,GSTA4_MOUSE,mitochondrion,"glutathione metabolic process,xenobiotic metabolic process,response to herbicide,response to zinc ion,response to nicotine,cellular response to lithium ion","glutathione transferase activity,drug binding,glutathione binding",5,5,4,4,3,5,4,0,5,5,5,5,5,5,5,5,69.07377625,54.9182663,36.77528,39.30344772,21.97105789,79.6707077,46.68978882,2.310135365
3.02E-49,Lta4h,Leukotriene A-4 hydrolase,P24527,LKHA4_MOUSE,"nucleus,nucleoplasm,cytoplasm,cytosol,extracellular exosome","proteolysis,leukotriene biosynthetic process,peptide catabolic process,cellular lipid metabolic process,cellular protein metabolic process","RNA binding,aminopeptidase activity,epoxide hydrolase activity,leukotriene-A4 hydrolase activity,protein binding,zinc ion binding,peptide binding,metalloaminopeptidase activity",16,18,16,18,17,17,16,0,18,18,18,18,18,18,18,18,32.8632431,42.15836334,25.35619736,61.57202911,31.12373543,43.99638367,29.860672,6.27205801
6.20E-51,Impdh2,Inosine-5'-monophosphate dehydrogenase 2,P24547,IMDH2_MOUSE,"nucleus,cytoplasm,peroxisomal membrane,cytosol,membrane,extracellular exosome","purine nucleotide biosynthetic process,GMP biosynthetic process,GTP biosynthetic process,lymphocyte proliferation,protein homotetramerization,oxidation-reduction process,retina development in camera-type eye,cellular response to interleukin-4","nucleotide binding,DNA binding,RNA binding,IMP dehydrogenase activity,metal ion binding",6,6,4,6,5,6,6,0,6,6,6,6,6,6,6,6,22.83082962,44.67134094,14.62578297,43.88210297,12.87782383,43.32769775,18.14784241,2.748756886
2.69E-40,Aldh1a1,Retinal dehydrogenase 1,P24549,AL1A1_MOUSE,"cytosol,extracellular exosome","optic cup morphogenesis involved in camera-type eye development,response to drug,retinol metabolic process,retinoic acid metabolic process,9-cis-retinoic acid biosynthetic process,positive regulation of apoptotic process,embryonic eye morphogenesis,oxidation-reduction process","retinal dehydrogenase activity,3-chloroallyl aldehyde dehydrogenase activity,aldehyde dehydrogenase (NAD) activity,benzaldehyde dehydrogenase (NAD+) activity,NAD binding",6,6,6,6,5,6,6,0,6,6,6,6,6,6,6,6,12.84341145,19.60840797,12.90511227,21.11609268,10.84309292,24.18657875,15.48649502,3.045248747
3.61E-36,M6pr,Cation-dependent mannose-6-phosphate receptor,P24668,MPRD_MOUSE,"lysosomal membrane,endosome,late endosome,trans-Golgi network,membrane,integral component of membrane,perinuclear region of cytoplasm,retromer complex","intracellular protein transport,mannose transport,secretion of lysosomal enzymes","mannose binding,mannose transmembrane transporter activity,retromer complex binding",5,5,5,4,4,5,5,0,5,5,5,5,5,5,5,5,32.24024963,60.8444252,38.48825836,60.95718765,39.40798569,50.07993698,33.28810883,4.133432388
1.89E-06,Mcm3,DNA replication licensing factor MCM3,P25206,MCM3_MOUSE,"nuclear chromosome, telomeric region,nucleus,nucleoplasm,cytoplasm,centrosome,membrane,MCM complex,perinuclear region of cytoplasm","DNA replication initiation,cell cycle","DNA binding,helicase activity,ATP binding",3,3,0,4,2,3,2,0,4,4,4,4,4,4,4,4,4.710110188,10.90621567,2.407304525,15.66813374,2.264396906,6.150723457,2.960669041,2.278842926
1.71E-57,Rps2,40S ribosomal protein S2,P25444,RS2_MOUSE,"nucleus,nucleoplasm,focal adhesion,membrane,cytosolic small ribosomal subunit,extracellular exosome","translation,cellular response to interleukin-4","RNA binding,mRNA binding,structural constituent of ribosome,fibroblast growth factor binding,enzyme binding,cadherin binding",12,12,13,13,13,13,13,1,13,13,13,13,13,13,13,13,209.5029144,355.6805725,204.07724,334.6495361,183.5558167,330.5606079,214.7460175,7.936485767
3.23E-06,Nfkb1,Nuclear factor NF-kappa-B p105 subunit;Isoform 2 of Nuclear factor NF-kappa-B p105 subunit;Isoform 3 of Nuclear factor NF-kappa-B p105 subunit;Isoform 4 of Nuclear factor NF-kappa-B p105 subunit,P25799;P25799-2;P25799-3;P25799-4,NFKB1_MOUSE,"nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,I-kappaB/NF-kappaB complex;;;","negative regulation of transcription from RNA polymerase II promoter,negative regulation of cytokine production,transcription from RNA polymerase II promoter,apoptotic process,I-kappaB kinase/NF-kappaB signaling,negative regulation of gene expression,negative regulation of calcidiol 1-monooxygenase activity,response to cytokine,response to muscle stretch,NIK/NF-kappaB signaling,negative regulation of interleukin-12 biosynthetic process,innate immune response,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,lymph node development,negative regulation of inflammatory response,cellular response to lipopolysaccharide,cellular response to mechanical stimulus,cellular response to nicotine,cellular response to cytokine stimulus,cellular response to interleukin-1,cellular response to interleukin-6,cellular response to dsRNA,cellular response to peptide hormone stimulus,cellular response to organic cyclic compound,positive regulation of canonical Wnt signaling pathway,positive regulation of hyaluronan biosynthetic process,positive regulation of miRNA metabolic process;;;","regulatory region DNA binding,transcription regulatory region sequence-specific DNA binding,RNA polymerase II regulatory region sequence-specific DNA binding,RNA polymerase II distal enhancer sequence-specific DNA binding,RNA polymerase II transcription factor activity, sequence-specific DNA binding,transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding,transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,DNA binding,chromatin binding,transcription factor activity, sequence-specific DNA binding,protein binding,transcription factor binding,identical protein binding,protein homodimerization activity,actinin binding,sequence-specific DNA binding,transcription regulatory region DNA binding,protein heterodimerization activity;;;",2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,1.850809574,7.038258553,2.746201754,8.339506149,2.158373117,3.920022249,3.977350712,0.928599119
1.32E-76,Tln1,Talin-1,P26039,TLN1_MOUSE,"ruffle,cytoplasm,cytoskeleton,focal adhesion,cell surface,ruffle membrane,extracellular exosome","cytoskeletal anchoring at plasma membrane,cell-substrate junction assembly,integrin-mediated signaling pathway,cortical actin cytoskeleton organization,integrin activation,platelet aggregation","phosphatidylserine binding,integrin binding,structural constituent of cytoskeleton,protein binding,vinculin binding,LIM domain binding,phosphatidylinositol binding,cadherin binding,actin filament binding",113,120,110,118,113,119,112,0,124,124,124,124,124,124,124,124,92.1990509,176.4386139,80.95780182,179.1318359,81.89404297,168.4432983,101.3881683,11.99176884
2.21E-68,Ezr,Ezrin,P26040,EZRI_MOUSE,"fibrillar center,ruffle,immunological synapse,uropod,extracellular space,intracellular,cytoplasm,endosome,cytosol,actin filament,plasma membrane,microvillus,brush border,focal adhesion,cell cortex,actin cytoskeleton,membrane,basolateral plasma membrane,apical plasma membrane,extrinsic component of membrane,filopodium,T-tubule,microvillus membrane,vesicle,ruffle membrane,ciliary basal body,cell projection,myelin sheath,protein complex,cell body,microspike,plasma membrane raft,apical part of cell,perinuclear region of cytoplasm,cell tip,extracellular exosome,invadopodium,cell periphery,astrocyte projection,Schwann cell microvillus,cytoplasmic side of apical plasma membrane","negative regulation of transcription from RNA polymerase II promoter,intestinal D-glucose absorption,sphingosine-1-phosphate signaling pathway,leukocyte cell-cell adhesion,regulation of cell shape,positive regulation of gene expression,protein kinase A signaling,membrane to membrane docking,astral microtubule organization,actin cytoskeleton reorganization,receptor internalization,regulation of microvillus length,cellular protein complex localization,establishment or maintenance of apical/basal cell polarity,positive regulation of multicellular organism growth,cortical microtubule organization,filopodium assembly,phosphatidylinositol-mediated signaling,positive regulation of protein secretion,negative regulation of T cell receptor signaling pathway,actin filament bundle assembly,establishment of centrosome localization,establishment of endothelial barrier,negative regulation of ERK1 and ERK2 cascade,cellular response to cAMP,protein localization to plasma membrane,protein localization to cell cortex,negative regulation of interleukin-2 secretion,regulation of organelle assembly,terminal web assembly,positive regulation of protein localization to early endosome,positive regulation of protein localization to plasma membrane,positive regulation of cellular protein catabolic process,negative regulation of p38MAPK cascade,positive regulation of early endosome to late endosome transport,microvillus assembly","RNA binding,actin binding,protein binding,microtubule binding,protein C-terminus binding,protein domain specific binding,protein kinase A catalytic subunit binding,protein kinase A regulatory subunit binding,identical protein binding,S100 protein binding,cadherin binding,cell adhesion molecule binding,actin filament binding,protein kinase A binding,ATPase binding,disordered domain specific binding",33,34,31,31,32,33,32,3,35,35,35,35,35,35,35,35,163.5678253,172.8220367,172.292572,92.30532074,167.8764191,180.8942108,162.4988098,18.46645355
1.00E-94,Msn,Moesin,P26041,MOES_MOUSE,"uropod,extracellular space,nucleus,cytoplasm,cytosol,cytoskeleton,plasma membrane,microvillus,focal adhesion,cell surface,basolateral plasma membrane,apical plasma membrane,filopodium,pseudopodium,microvillus membrane,vesicle,myelin sheath,apical part of cell,perinuclear region of cytoplasm,extracellular exosome,invadopodium,cell periphery,blood microparticle","immunological synapse formation,regulation of cell shape,regulation of cell size,positive regulation of gene expression,gland morphogenesis,membrane to membrane docking,T cell proliferation,establishment of epithelial cell apical/basal polarity,establishment of endothelial barrier,T cell aggregation,cellular response to testosterone stimulus,positive regulation of podosome assembly,T cell migration,regulation of organelle assembly,positive regulation of protein localization to early endosome,positive regulation of cellular protein catabolic process,regulation of lymphocyte migration,positive regulation of early endosome to late endosome transport","double-stranded RNA binding,actin binding,receptor binding,enzyme binding,protein kinase binding,cell adhesion molecule binding",42,47,41,46,44,45,41,1,48,48,48,48,48,48,48,48,210.5717926,420.771698,177.3109436,392.415741,193.0795898,450.3995056,229.2556305,15.53302765
4.00E-73,Rdx,Radixin,P26043,RADI_MOUSE,"ruffle,extracellular space,plasma membrane,microvillus,cell-cell adherens junction,focal adhesion,apical plasma membrane,lamellipodium,filopodium,T-tubule,midbody,cortical actin cytoskeleton,cleavage furrow,stereocilium,myelin sheath,apical part of cell,cell tip,extracellular exosome,cell periphery","regulation of cell shape,regulation of cell size,positive regulation of gene expression,microvillus assembly,positive regulation of cell migration,regulation of actin filament bundle assembly,negative regulation of homotypic cell-cell adhesion,negative regulation of GTPase activity,cellular response to platelet-derived growth factor stimulus,regulation of GTPase activity,apical protein localization,establishment of protein localization,negative regulation of cell size,barbed-end actin filament capping,establishment of endothelial barrier,protein localization to plasma membrane,cellular response to thyroid hormone stimulus,regulation of ruffle assembly,positive regulation of G1/S transition of mitotic cell cycle,regulation of organelle assembly,positive regulation of protein localization to early endosome,positive regulation of cellular protein catabolic process,negative regulation of adherens junction organization,positive regulation of early endosome to late endosome transport","RNA binding,actin binding,protein binding,protein domain specific binding,protein homodimerization activity,cadherin binding,ATPase binding",34,35,35,33,36,35,34,4,38,38,38,38,38,38,38,38,1225.43396,1069.199585,1084.64563,893.5057373,1179.639648,1178.150879,1156.240723,110.8685226
4.99E-10,Hsd3b3,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 3,P26150,3BHS3_MOUSE,"mitochondrial inner membrane,mitochondrial intermembrane space,endoplasmic reticulum membrane,integral component of membrane","steroid biosynthetic process,oxidation-reduction process","3-beta-hydroxy-delta5-steroid dehydrogenase activity,steroid delta-isomerase activity,Requires Ontology",2,1,2,2,2,2,2,0,2,2,2,2,2,2,2,2,11.00910759,4.42636776,12.87818146,8.241703033,11.41582966,5.601112843,7.767624378,2.036655664
3.15E-73,Ctnna1,Catenin alpha-1,P26231,CTNA1_MOUSE,"acrosomal vesicle,Golgi apparatus,cytosol,plasma membrane,cell-cell junction,adherens junction,cell-cell adherens junction,zonula adherens,focal adhesion,intercalated disc,actin cytoskeleton,catenin complex,flotillin complex,lamellipodium,cell junction,intracellular membrane-bounded organelle","ovarian follicle development,actin filament organization,establishment or maintenance of cell polarity,negative regulation of neuroblast proliferation,aging,male gonad development,gap junction assembly,axon regeneration,cellular protein localization,regulation of cell proliferation,odontogenesis of dentin-containing tooth,negative regulation of apoptotic process,apical junction assembly,response to estrogen,positive regulation of smoothened signaling pathway,protein heterooligomerization,cellular response to indole-3-methanol,epithelial cell-cell adhesion,negative regulation of cell motility,negative regulation of integrin-mediated signaling pathway,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,positive regulation of extrinsic apoptotic signaling pathway in absence of ligand","RNA binding,structural molecule activity,protein binding,beta-catenin binding,vinculin binding,identical protein binding,gamma-catenin binding,cadherin binding,protein heterodimerization activity,actin filament binding",36,37,36,35,36,37,38,0,38,38,38,38,38,38,38,38,94.23529053,142.8835602,93.75661469,95.48361969,103.9395676,137.7103424,89.83663177,15.24538803
7.71E-69,Ptma,Prothymosin alpha,P26350,PTMA_MOUSE,"nucleoplasm,cytosol,extracellular exosome",histone exchange,"activating transcription factor binding,histone binding",7,7,7,6,6,9,9,0,9,9,9,9,9,9,9,9,75.80080414,187.2310181,78.87503815,175.1762085,62.59757233,228.0056458,82.44232941,56.76280212
6.92E-40,U2af2,Splicing factor U2AF 65 kDa subunit,P26369;Q3KQM4;Q80XR5,U2AF2_MOUSE;Q3KQM4_MOUSE;Q80XR5_MOUSE,"commitment complex,nucleus,spliceosomal complex,nuclear speck,U2-type prespliceosome,U2AF,Prp19 complex;;","mRNA splicing, via spliceosome,RNA splicing,negative regulation of protein ubiquitination,positive regulation of RNA splicing,negative regulation of mRNA splicing, via spliceosome,regulation of mitophagy,positive regulation of protein targeting to mitochondrion;;","RNA binding,protein binding,poly-pyrimidine tract binding,enzyme binding,pre-mRNA 3'-splice site binding,C2H2 zinc finger domain binding;;",7,8,6,9,7,8,7,0,9,9,9,9,9,9,9,9,32.394104,76.79515076,32.13549042,70.64825439,32.0197258,71.90418243,29.88948441,9.538858414
1.45E-75,Glud1,"Glutamate dehydrogenase 1, mitochondrial",P26443,DHE3_MOUSE,"cytoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial matrix","glutamate biosynthetic process,glutamate catabolic process,glutamine metabolic process,long-term memory,response to aluminum ion,cerebellum development,positive regulation of insulin secretion,oxidation-reduction process,tricarboxylic acid metabolic process","glutamate dehydrogenase (NAD+) activity,glutamate dehydrogenase [NAD(P)+] activity,protein binding,ATP binding,GTP binding,enzyme binding,ADP binding,NAD+ binding,leucine binding",48,48,49,43,49,47,49,14,49,49,49,49,49,49,49,49,839.1679077,622.3118286,954.1690674,576.0769653,935.1987305,578.786438,854.4793701,115.176857
1.70E-62,Psmd7,26S proteasome non-ATPase regulatory subunit 7,P26516,PSMD7_MOUSE,"proteasome complex,nucleus,nucleoplasm,proteasome regulatory particle,membrane,extracellular exosome",proteasome-mediated ubiquitin-dependent protein catabolic process,protein homodimerization activity,7,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,36.96639252,49.00052261,28.58730316,65.24953461,36.2105751,48.28192902,34.8302803,4.568469048
9.05E-69,Sars,"Serine--tRNA ligase, cytoplasmic;Serine--tRNA ligase, cytoplasmic",P26638;Q8C483,SYSC_MOUSE;Q8C483_MOUSE,"nucleus,cytoplasm,mitochondrion,cytosol,extracellular exosome;","negative regulation of transcription from RNA polymerase II promoter,seryl-tRNA aminoacylation,negative regulation of angiogenesis,selenocysteinyl-tRNA(Sec) biosynthetic process,negative regulation of vascular endothelial growth factor production;","core promoter sequence-specific DNA binding,serine-tRNA ligase activity,ATP binding,protein homodimerization activity;",15,15,17,14,17,16,16,0,17,17,17,17,17,17,17,17,83.15041351,138.5423279,94.3290329,106.0041122,90.48002625,140.266922,94.9323349,11.77009583
4.86E-91,Marcks,Myristoylated alanine-rich C-kinase substrate,P26645,MARCS_MOUSE,"cytoplasm,centrosome,focal adhesion,cell cortex,membrane,actin filament bundle,germinal vesicle,extracellular exosome","actin filament bundle assembly,protein homooligomerization,actin crosslink formation","protein kinase C binding,calmodulin binding,identical protein binding,actin filament binding",3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,6.855602264,32.90829468,6.109109402,47.51322174,7.191707134,25.95061684,7.557905197,2.548839331
9.95E-74,Fkbp1a,Peptidyl-prolyl cis-trans isomerase FKBP1A,P26883,FKB1A_MOUSE,"cytoplasm,cytosol,membrane,sarcoplasmic reticulum,Z disc,extrinsic component of organelle membrane,sarcoplasmic reticulum membrane,axon terminus,extracellular exosome,cytoplasmic side of membrane,ryanodine receptor complex","protein peptidyl-prolyl isomerization,negative regulation of protein phosphorylation,heart morphogenesis,muscle contraction,SMAD protein complex assembly,response to iron ion,cytokine-mediated signaling pathway,response to caffeine,positive regulation of protein ubiquitination,positive regulation of protein binding,negative regulation of phosphoprotein phosphatase activity,regulation of protein localization,regulation of activin receptor signaling pathway,T cell proliferation,positive regulation of I-kappaB kinase/NF-kappaB signaling,regulation of immune response,release of sequestered calcium ion into cytosol,ventricular cardiac muscle tissue morphogenesis,regulation of ryanodine-sensitive calcium-release channel activity,heart trabecula formation,chaperone-mediated protein folding,fibril organization,regulation of amyloid precursor protein catabolic process,amyloid fibril formation","peptidyl-prolyl cis-trans isomerase activity,signal transducer activity,protein binding,FK506 binding,drug binding,enzyme binding,Hsp70 protein binding,type I transforming growth factor beta receptor binding,protein homodimerization activity,ion channel binding,SMAD binding,activin binding",8,8,8,8,8,8,7,0,8,8,8,8,8,8,8,8,31.4839077,81.34661865,37.28629303,55.06443787,37.14266205,66.78184509,29.14112282,4.179579735
2.14E-71,S100a8,Protein S100-A8,P27005,S10A8_MOUSE,"extracellular space,nucleus,cytoplasm,plasma membrane,intermediate filament cytoskeleton,extracellular exosome","leukocyte migration involved in inflammatory response,acute inflammatory response,chronic inflammatory response,positive regulation of peptide secretion,autophagy,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,response to zinc ion,astrocyte development,peptidyl-cysteine S-nitrosylation,neutrophil chemotaxis,response to lipopolysaccharide,wound healing,innate immune response,response to ethanol,positive regulation of inflammatory response,neutrophil aggregation,cellular oxidant detoxification,positive regulation of intrinsic apoptotic signaling pathway","calcium ion binding,microtubule binding,zinc ion binding,antioxidant activity,Toll-like receptor 4 binding,arachidonic acid binding,RAGE receptor binding",4,3,2,4,3,4,4,0,4,4,4,4,4,4,4,4,21.03046989,5.160365105,2.926381111,261.6207886,2.964985132,7.457691669,21.97283173,2.55176878
2.88E-20,Man2a1,Alpha-mannosidase 2,P27046,MA2A1_MOUSE,"Golgi membrane,extracellular space,Golgi apparatus,Golgi medial cisterna,cis-Golgi network,membrane,integral component of membrane,extracellular exosome","in utero embryonic development,liver development,mannose metabolic process,protein glycosylation,N-glycan processing,protein deglycosylation,mitochondrion organization,vacuole organization,respiratory gaseous exchange,lung alveolus development,positive regulation of neurogenesis,retina morphogenesis in camera-type eye","alpha-mannosidase activity,mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity,mannosidase activity,hydrolase activity,hydrolase activity, hydrolyzing N-glycosyl compounds,carbohydrate binding,metal ion binding",7,7,5,7,6,7,4,0,8,8,8,8,8,8,8,8,23.21276474,33.8959198,13.73526478,75.55455017,17.45379066,48.95337296,20.67542267,10.68365669
1.72E-58,Snrpb;Snrpn,Small nuclear ribonucleoprotein-associated protein B;Small nuclear ribonucleoprotein-associated protein N,P27048;P63163,RSMB_MOUSE;RSMN_MOUSE,"nucleus,nucleoplasm,U5 snRNP,U7 snRNP,U1 snRNP,U2 snRNP,U4 snRNP,U12-type spliceosomal complex,cytoplasm,cytosol,methylosome,SMN-Sm protein complex,U4/U6 x U5 tri-snRNP complex,extracellular exosome,U2-type prespliceosome,catalytic step 2 spliceosome,histone pre-mRNA 3'end processing complex,telomerase holoenzyme complex;nucleus,nucleoplasm,U5 snRNP,U1 snRNP,U2 snRNP,U4 snRNP,cytoplasm,U4/U6 x U5 tri-snRNP complex,U2-type prespliceosome,catalytic step 2 spliceosome","spliceosomal snRNP assembly,mRNA splicing, via spliceosome,protein methylation;mRNA splicing, via spliceosome,response to hormone","RNA binding,U2 snRNA binding,telomerase RNA binding,histone pre-mRNA DCP binding;RNA binding",5,5,4,5,4,5,4,0,6,6,6,6,6,6,6,6,73.46268463,169.260498,38.66703796,120.9714508,51.89693451,115.2432251,41.97212601,7.579293251
7.46E-67,Map4,Microtubule-associated protein 4;Isoform 2 of Microtubule-associated protein 4,P27546;P27546-2,MAP4_MOUSE,"cytoplasm,microtubule,microtubule associated complex,axoneme,postsynaptic density,neuron projection,extracellular exosome,mitotic spindle;","mitotic spindle organization,neuron projection development,microtubule sliding,establishment of spindle orientation,cell division,negative regulation of nonmotile primary cilium assembly;","RNA binding,protein binding,microtubule binding;",12,18,14,17,13,19,14,0,19,19,19,19,19,19,19,19,13.85131741,49.16624069,14.48562813,54.64754868,16.60471725,44.30117798,14.24538422,8.898945808
2.69E-92,Gna13,Guanine nucleotide-binding protein subunit alpha-13,P27601,GNA13_MOUSE,"nucleus,cytosol,heterotrimeric G-protein complex,plasma membrane,focal adhesion,membrane,brush border membrane,melanosome,extracellular exosome","angiogenesis,patterning of blood vessels,in utero embryonic development,G-protein coupled receptor signaling pathway,adenylate cyclase-activating G-protein coupled receptor signaling pathway,positive regulation of cytosolic calcium ion concentration,Rho protein signal transduction,regulation of cell shape,cell differentiation,platelet activation,regulation of cell migration,activation of phospholipase D activity,intracellular signal transduction","GTPase activity,signal transducer activity,protein binding,GTP binding,G-protein beta/gamma-subunit complex binding,type 1 angiotensin receptor binding,D5 dopamine receptor binding,metal ion binding",3,3,3,2,3,3,3,0,3,3,3,3,3,3,3,3,24.17987633,21.55937386,25.81043434,24.91928673,27.39953804,24.10216522,24.29990387,1.862741828
4.18E-08,Plaa,Phospholipase A-2-activating protein,P27612,PLAP_MOUSE,"nucleus,cytoplasm,extracellular exosome","inflammatory response,ubiquitin homeostasis,macroautophagy,positive regulation of catalytic activity,proteasome-mediated ubiquitin-dependent protein catabolic process","protein binding,phospholipase A2 activator activity,ubiquitin binding",9,9,7,5,8,8,6,0,9,9,9,9,9,9,9,9,12.9580555,24.51137733,11.22794819,15.7779789,14.52270412,18.87430954,14.0228529,5.871557236
7.15E-75,Rpl3,60S ribosomal protein L3,P27659,RL3_MOUSE,"nucleus,nucleolus,cytoplasm,cytosol,focal adhesion,cytosolic large ribosomal subunit,protein complex,extracellular exosome","ribosomal large subunit assembly,translation,cellular response to interleukin-4","RNA binding,structural constituent of ribosome,5S rRNA binding",19,19,17,18,18,19,19,0,20,20,20,20,20,20,20,20,181.2120361,307.126709,150.8636169,304.1700745,167.9755402,270.7161255,174.5203705,19.58412361
6.08E-38,H2afx,Histone H2AX,P27661,H2AX_MOUSE,"chromatin,nucleosome,nuclear chromatin,condensed nuclear chromosome,male germ cell nucleus,XY body,nucleus,nucleoplasm,replication fork,chromosome,centrosome,nuclear speck,site of double-strand break,extracellular exosome,chromosome, telomeric region","double-strand break repair via homologous recombination,DNA repair,chromatin silencing,cellular response to DNA damage stimulus,spermatogenesis,meiotic cell cycle,DNA damage checkpoint","damaged DNA binding,protein binding,enzyme binding,histone binding,protein heterodimerization activity",10,9,11,10,11,11,11,3,11,11,11,11,11,11,11,11,7287.729492,8558.336914,6462.231445,13345.47754,5235.939941,10399.80469,6376.419434,3073.829834
1.25E-99,Pdia3,Protein disulfide-isomerase A3,P27773,PDIA3_MOUSE,"extracellular space,nucleus,endoplasmic reticulum,endoplasmic reticulum lumen,focal adhesion,cell surface,melanosome,myelin sheath,extracellular exosome","antigen processing and presentation of peptide antigen via MHC class I,protein folding,response to endoplasmic reticulum stress,cell redox homeostasis,oxidation-reduction process,positive regulation of extrinsic apoptotic signaling pathway","RNA binding,protein disulfide isomerase activity,protein binding,peptide disulfide oxidoreductase activity,identical protein binding",46,46,45,45,46,46,45,4,46,46,46,46,46,46,46,46,288.1069641,464.2824707,311.2781067,542.8963623,271.1122437,402.1381531,308.5262451,22.37087822
1.16E-18,Psmb8,Proteasome subunit beta type-8,P28063,PSB8_MOUSE,"proteasome complex,nucleus,cytosol,proteasome core complex,proteasome core complex, beta-subunit complex,extracellular exosome,spermatoproteasome complex","antigen processing and presentation,fat cell differentiation,proteolysis involved in cellular protein catabolic process,regulation of endopeptidase activity",threonine-type endopeptidase activity,3,4,1,4,0,4,1,0,4,4,4,4,4,4,4,4,3.343349934,8.547717094,1.88591969,11.97550392,2.308516741,7.862948418,1.564236164,2.12002635
