PG.BiologicalProcess,PG.CellularComponent,PG.Genes,PG.MolecularFunction,PG.ProteinDescriptions,PG.ProteinNames,PG.Qvalue,PG.UniProtIds,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity
"negative regulation of endothelial cell proliferation,triglyceride metabolic process,blood coagulation, intrinsic pathway,negative regulation of endothelial cell migration,negative regulation of angiogenesis,regulation of blood coagulation,negative regulation of blood coagulation,plasminogen activation,negative regulation of myeloid cell apoptotic process,negative regulation of smooth muscle cell apoptotic process,positive regulation of lipoprotein lipase activity,regulation of fibrinolysis,negative regulation of fibrinolysis","extracellular space,cell surface,extracellular matrix,very-low-density lipoprotein particle,high-density lipoprotein particle,chylomicron,extracellular exosome",Apoh,"phospholipid binding,heparin binding,lipid binding,identical protein binding,lipoprotein lipase activator activity",Beta-2-glycoprotein 1,APOH_MOUSE,6.38E-29,Q01339,15,11,16,16,8,8,8,8,856.4766235,848.1032104,840.2408447,999.5914917
"Ras protein signal transduction,positive regulation of cell-substrate adhesion,positive regulation of GTPase activity,positive regulation of neural precursor cell proliferation;","intracellular,focal adhesion,extracellular exosome;",Rsu1,molecular_function;,Ras suppressor protein 1,RSU1_MOUSE;Q9D031_MOUSE,2.74E-26,Q01730;Q9D031,13,13,13,13,9,9,9,9,1292.514893,1361.578735,1428.409546,1196.559082
"nucleoside diphosphate phosphorylation,GTP biosynthetic process,UTP biosynthetic process,CTP biosynthetic process,integrin-mediated signaling pathway,nucleoside triphosphate biosynthetic process,peptidyl-histidine phosphorylation,regulation of apoptotic process,negative regulation of apoptotic process,positive regulation of keratinocyte differentiation,regulation of epidermis development,positive regulation of transcription from RNA polymerase II promoter,positive regulation of epithelial cell proliferation","ruffle,nucleus,cytoplasm,mitochondrion,cytosol,lamellipodium,myelin sheath,extracellular exosome,cell periphery,focal adhesion",Nme2,"nucleoside diphosphate kinase activity,protein histidine kinase activity,protein binding,ATP binding,metal ion binding",Nucleoside diphosphate kinase B,NDKB_MOUSE,1.38E-18,Q01768,13,13,12,13,12,12,12,12,5776.858398,6269.318848,5580.875,5636.237793
"double-strand break repair,ubiquitin-dependent protein catabolic process,NADH metabolic process,ER to Golgi vesicle-mediated transport,autophagy,activation of cysteine-type endopeptidase activity involved in apoptotic process,cellular response to DNA damage stimulus,proteasomal protein catabolic process,positive regulation of mitochondrial membrane potential,macroautophagy,protein ubiquitination,protein N-linked glycosylation via asparagine,viral genome replication,translesion synthesis,ER-associated ubiquitin-dependent protein catabolic process,retrograde protein transport, ER to cytosol,positive regulation of protein complex assembly,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,endosome to lysosome transport via multivesicular body sorting pathway,protein hexamerization,ERAD pathway,proteasome-mediated ubiquitin-dependent protein catabolic process,positive regulation of protein catabolic process,ATP metabolic process,protein homooligomerization,Requires Ontology,aggresome assembly,ER-associated misfolded protein catabolic process,flavin adenine dinucleotide catabolic process,autophagosome maturation,positive regulation of protein K63-linked deubiquitination,positive regulation of Lys63-specific deubiquitinase activity,regulation of aerobic respiration,positive regulation of oxidative phosphorylation,positive regulation of ubiquitin-specific protease activity,positive regulation of ATP biosynthetic process","proteasome complex,nucleus,nucleoplasm,cytoplasm,endoplasmic reticulum,endoplasmic reticulum membrane,lipid particle,cytosol,VCP-NPL4-UFD1 AAA ATPase complex,site of double-strand break,Derlin-1 retrotranslocation complex,myelin sheath,protein complex,perinuclear region of cytoplasm,extracellular exosome,ATPase complex,VCP-NSFL1C complex",Vcp,"RNA binding,protein binding,ATP binding,lipid binding,ATPase activity,protein phosphatase binding,protein domain specific binding,polyubiquitin binding,ubiquitin protein ligase binding,deubiquitinase activator activity,K48-linked polyubiquitin binding,MHC class I protein binding,identical protein binding,ADP binding,ubiquitin-like protein ligase binding,BAT3 complex binding,ubiquitin-specific protease binding",Transitional endoplasmic reticulum ATPase,TERA_MOUSE,1.64E-46,Q01853,72,71,71,69,11,11,11,11,8193.898438,9742.878906,8924.223633,8500.80957
"glomerular filtration,renal water transport,cGMP biosynthetic process,potassium ion transport,water transport,cell volume homeostasis,positive regulation of lamellipodium assembly,positive regulation of epithelial cell migration,carbon dioxide transport,ammonium transport,glycerol transport,sensory perception of pain,cellular homeostasis,lateral ventricle development,water homeostasis,pancreatic juice secretion,nitric oxide transport,positive regulation of cell migration,establishment or maintenance of actin cytoskeleton polarity,secretion by cell,cerebrospinal fluid secretion,secretory granule organization,cellular response to stress,cellular response to UV,transepithelial water transport,carbon dioxide transmembrane transport,wound healing,odontogenesis,response to drug,hyperosmotic salinity response,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,response to estrogen,lipid digestion,positive regulation of angiogenesis,positive regulation of saliva secretion,positive regulation of fibroblast proliferation,camera-type eye morphogenesis,corticotropin secretion,renal water absorption,cellular response to hydrogen peroxide,cellular response to inorganic substance,cellular response to mechanical stimulus,cellular response to copper ion,cellular response to mercury ion,cellular response to retinoic acid,cellular response to cAMP,cellular response to hypoxia,cellular response to salt stress,cellular hyperosmotic response,cellular response to dexamethasone stimulus,cellular response to nitric oxide,potassium ion transmembrane transport,metanephric descending thin limb development,metanephric proximal straight tubule development,metanephric proximal convoluted tubule segment 2 development,metanephric glomerulus vasculature development,ammonium transmembrane transport,maintenance of symbiont-containing vacuole by host","nucleus,cytoplasm,plasma membrane,integral component of plasma membrane,caveola,brush border,basal plasma membrane,membrane,integral component of membrane,basolateral plasma membrane,apical plasma membrane,symbiont-containing vacuole,axon,brush border membrane,nuclear membrane,dense core granule membrane,neuronal cell body membrane,sarcolemma,axon terminus,apical part of cell,extracellular exosome,symbiont-containing vacuole membrane",Aqp1,"intracellular cGMP activated cation channel activity,potassium channel activity,water transmembrane transporter activity,ammonium transmembrane transporter activity,potassium ion transmembrane transporter activity,glycerol transmembrane transporter activity,water channel activity,transmembrane transporter activity,nitric oxide transmembrane transporter activity,carbon dioxide transmembrane transporter activity,identical protein binding,ephrin receptor binding",Aquaporin-1,AQP1_MOUSE,8.37E-18,Q02013,2,2,2,2,2,2,2,2,658.0530396,724.0518799,648.1315308,383.8961792
"ubiquitin-dependent protein catabolic process,cellular response to DNA damage stimulus,protein ubiquitination","nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,extracellular exosome,heterochromatin,lysosomal membrane,endosome membrane,desmosome,rough endoplasmic reticulum membrane",Uba1,"RNA binding,ubiquitin activating enzyme activity,protein binding,ATP binding",Ubiquitin-like modifier-activating enzyme 1,UBA1_MOUSE,3.73E-43,Q02053,60,55,60,57,10,10,10,10,2865.187256,2797.18457,2751.537354,3307.984619
"complement activation, classical pathway,negative regulation of granulocyte differentiation,innate immune response,negative regulation of macrophage differentiation","collagen trimer,extracellular space,extracellular exosome,blood microparticle",C1qc,,Complement C1q subcomponent subunit C,C1QC_MOUSE,0.003282082,Q02105,3,0,1,3,4,4,4,4,32.62763596,36.69612885,35.29320145,39.70739746
"negative regulation of transcription from RNA polymerase II promoter,embryonic axis specification,cell morphogenesis involved in differentiation,skeletal system development,patterning of blood vessels,vasculogenesis,branching involved in ureteric bud morphogenesis,in utero embryonic development,gastrulation with mouth forming second,endoderm formation,cell fate specification,cell fate determination,endodermal cell fate commitment,neuron migration,kidney development,neural plate development,vasculature development,positive regulation of neuroblast proliferation,positive regulation of mesenchymal cell proliferation,lens morphogenesis in camera-type eye,ventricular compact myocardium morphogenesis,regulation of secondary heart field cardioblast proliferation,metanephros morphogenesis,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,cell adhesion,cell-matrix adhesion,chemical synaptic transmission,ectoderm development,glial cell fate determination,heart development,cell proliferation,positive regulation of cell proliferation,negative regulation of cell proliferation,anterior/posterior axis specification,dorsal/ventral axis specification,dorsal/ventral pattern formation,proximal/distal pattern formation,cellular process,regulation of gene expression,positive regulation of gene expression,negative regulation of gene expression,positive regulation of epithelial to mesenchymal transition,positive regulation of heparan sulfate proteoglycan biosynthetic process,Wnt signaling pathway,morphogenesis of embryonic epithelium,negative regulation of angiogenesis,stem cell population maintenance,layer formation in cerebral cortex,central nervous system vasculogenesis,hair cycle process,hemopoiesis,cell differentiation,neuron differentiation,T cell differentiation,osteoclast differentiation,lung development,male genitalia development,regulation of epithelial cell differentiation,positive regulation of epithelial cell differentiation,forebrain development,midbrain development,hindbrain development,regulation of centriole-centriole cohesion,pancreas development,hair follicle morphogenesis,regulation of myelination,positive regulation of telomere maintenance via telomerase,negative regulation of chondrocyte differentiation,response to estradiol,T cell differentiation in thymus,negative regulation of protein sumoylation,adherens junction organization,adherens junction assembly,protein localization to cell surface,cellular protein localization,embryonic heart tube development,genitalia morphogenesis,embryonic forelimb morphogenesis,embryonic hindlimb morphogenesis,embryonic skeletal limb joint morphogenesis,regulation of cell proliferation,regulation of T cell proliferation,odontogenesis of dentin-containing tooth,response to drug,embryonic digit morphogenesis,regulation of apoptotic process,positive regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of MAPK cascade,positive regulation of neuron apoptotic process,skin development,canonical Wnt signaling pathway involved in positive regulation of epithelial to mesenchymal transition,canonical Wnt signaling pathway involved in negative regulation of apoptotic process,bone resorption,regulation of cell differentiation,negative regulation of cell differentiation,positive regulation of endothelial cell differentiation,regulation of osteoblast differentiation,positive regulation of osteoblast differentiation,regulation of osteoclast differentiation,negative regulation of osteoclast differentiation,positive regulation of fibroblast growth factor receptor signaling pathway,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,negative regulation of mitotic cell cycle, embryonic,chromatin-mediated maintenance of transcription,cell maturation,synaptic vesicle transport,animal organ development,thymus development,oocyte development,embryonic foregut morphogenesis,positive regulation of skeletal muscle tissue development,regulation of smooth muscle cell proliferation,negative regulation of oligodendrocyte differentiation,synapse organization,positive regulation of sequence-specific DNA binding transcription factor activity,smooth muscle cell differentiation,regulation of histone H3-K4 methylation,regulation of anagen,positive regulation of telomerase activity,cardiac muscle cell proliferation,oviduct development,canonical Wnt signaling pathway,limb development,trachea morphogenesis,trachea formation,epithelial tube branching involved in lung morphogenesis,lung cell differentiation,lung-associated mesenchyme development,mesenchyme development,lung induction,epithelial cell differentiation involved in prostate gland development,positive regulation of epithelial cell proliferation involved in prostate gland development,hair follicle placode formation,mesenchymal cell proliferation involved in lung development,cardiac vascular smooth muscle cell differentiation,coronary artery morphogenesis,epicardium-derived cardiac vascular smooth muscle cell differentiation,positive regulation of branching involved in lung morphogenesis,endothelial tube morphogenesis,fungiform papilla formation,canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation,sympathetic ganglion development,cranial ganglion development,regulation of centromeric sister chromatid cohesion,cellular response to growth factor stimulus,cellular response to indole-3-methanol,renal system development,renal vesicle formation,renal inner medulla development,renal outer medulla development,nephron tubule formation,mesenchyme morphogenesis,regulation of nephron tubule epithelial cell differentiation,regulation of calcium ion import,cell-cell adhesion,negative regulation of neuron death,negative regulation of oxidative stress-induced neuron death,regulation of histone demethylase activity (H3-K4 specific),regulation of chromatin-mediated maintenance of transcription,positive regulation of chromatin-mediated maintenance of transcription,regulation of euchromatin binding,regulation of core promoter binding,positive regulation of core promoter binding,beta-catenin destruction complex disassembly,cranial skeletal system development,midbrain dopaminergic neuron differentiation,canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation,neuron projection extension,embryonic brain development,dorsal root ganglion development,regulation of protein localization to cell surface,positive regulation of determination of dorsal identity,positive regulation of DNA-templated transcription, initiation,negative regulation of apoptotic signaling pathway","spindle pole,intracellular,nucleus,transcription factor complex,nuclear euchromatin,cytoplasm,centrosome,cytosol,plasma membrane,cell-cell junction,adherens junction,cell-cell adherens junction,fascia adherens,bicellular tight junction,focal adhesion,cell cortex,intercalated disc,membrane,basolateral plasma membrane,lateral plasma membrane,catenin complex,flotillin complex,Z disc,lamellipodium,cell junction,beta-catenin destruction complex,cell projection membrane,microvillus membrane,protein-DNA complex,Scrib-APC-beta-catenin complex,protein complex,apical junction complex,nuclear transcription factor complex,apical part of cell,synapse,perinuclear region of cytoplasm,extracellular exosome,beta-catenin-TCF7L2 complex,catenin-TCF7L2 complex,cell periphery,beta-catenin-TCF complex,Wnt signalosome",Ctnnb1,"RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II core promoter sequence-specific DNA binding,RNA polymerase II transcription factor binding,RNA polymerase II activating transcription factor binding,DNA binding,chromatin binding,double-stranded DNA binding,transcription factor activity, sequence-specific DNA binding,transcription coactivator activity,signal transducer activity,protein binding,protein C-terminus binding,transcription factor binding,enzyme binding,kinase binding,protein kinase binding,protein phosphatase binding,estrogen receptor binding,nuclear hormone receptor binding,transcription regulatory region DNA binding,ion channel binding,alpha-catenin binding,cadherin binding,SMAD binding,protein heterodimerization activity,I-SMAD binding,repressing transcription factor binding,disordered domain specific binding,histone methyltransferase binding",Catenin beta-1,CTNB1_MOUSE,7.57E-62,Q02248,15,15,16,12,7,7,7,7,966.9585571,885.1151733,905.3639526,778.4833374
"desmosome assembly,cell adhesion,signal transduction,cell migration,adherens junction assembly,regulation of cell proliferation,positive regulation of protein import into nucleus,skin development,detection of mechanical stimulus,positive regulation of sequence-specific DNA binding transcription factor activity,protein heterooligomerization,cellular response to indole-3-methanol,protein localization to plasma membrane,bundle of His cell-Purkinje myocyte adhesion involved in cell communication,regulation of heart rate by cardiac conduction,cell-cell adhesion,regulation of ventricular cardiac muscle cell action potential","nucleus,cytoplasm,cytosol,intermediate filament,plasma membrane,cell-cell junction,cell-cell adherens junction,fascia adherens,focal adhesion,cytoplasmic side of plasma membrane,intercalated disc,actin cytoskeleton,membrane,apicolateral plasma membrane,lateral plasma membrane,catenin complex,Z disc,desmosome,extracellular matrix,protein-DNA complex,extracellular exosome,gamma-catenin-TCF7L2 complex",Jup,"transcription coactivator activity,signal transducer activity,structural molecule activity,protein binding,protein kinase binding,protein phosphatase binding,alpha-catenin binding,cadherin binding,cell adhesion molecule binding",Junction plakoglobin,PLAK_MOUSE,7.16E-38,Q02257,14,12,10,11,7,7,7,7,90.0268631,78.5999527,87.90097046,33.79462051
"cell adhesion,response to glucose,protein heterotrimerization","extracellular region,proteinaceous extracellular matrix,collagen trimer,extracellular space,extracellular matrix,sarcolemma,protein complex,extracellular exosome,extracellular vesicle",Col6a2,,Collagen alpha-2(VI) chain,CO6A2_MOUSE,7.37E-49,Q02788,18,18,14,21,7,7,7,7,715.7300415,762.8397217,231.0526733,784.1900024
"response to cisplatin,regulation of protein targeting","extracellular space,nucleus,early endosome,rough endoplasmic reticulum,endoplasmic reticulum-Golgi intermediate compartment,Golgi-associated vesicle,cis-Golgi network,trans-Golgi network,membrane,Golgi cisterna membrane,extracellular exosome,extrinsic component of Golgi membrane,lumenal side of Golgi membrane",Nucb1,"G-protein alpha-subunit binding,DNA binding,calcium ion binding",Nucleobindin-1,NUCB1_MOUSE,2.61E-54,Q02819,22,22,22,23,9,9,9,9,789.9616089,832.7200317,866.8380737,806.2017212
"signal transduction,positive regulation of signal transduction,negative regulation of translation,positive regulation of cell migration,stress granule assembly","cytosol,plasma membrane,focal adhesion,cytoplasmic stress granule,cell projection",Grb7,"RNA binding,SH3/SH2 adaptor activity,protein binding,protein kinase binding,phosphatidylinositol binding,identical protein binding",Growth factor receptor-bound protein 7,GRB7_MOUSE,0.001359404,Q03160,1,2,1,3,3,3,3,3,8.905680656,10.98126984,13.85420799,14.08610725
"negative regulation of endothelial cell proliferation,lipid metabolic process,ATP biosynthetic process,ATP synthesis coupled proton transport,positive regulation of blood vessel endothelial cell migration,Requires Ontology","mitochondrion,mitochondrial inner membrane,mitochondrial proton-transporting ATP synthase complex,plasma membrane,membrane,extracellular matrix,myelin sheath,proton-transporting ATP synthase complex,proton-transporting ATP synthase complex, catalytic core F(1),extracellular exosome,COP9 signalosome",Atp5a1,"RNA binding,protein binding,ATP binding,MHC class I protein binding,angiostatin binding,proton-transporting ATP synthase activity, rotational mechanism,ATPase activity","ATP synthase subunit alpha, mitochondrial",ATPA_MOUSE,1.48E-38,Q03265,68,68,66,72,10,10,10,10,186250.3906,185000.4063,173291.5469,160868.4063
"negative regulation of transcription from RNA polymerase II promoter,liver development,hair follicle development,acetaldehyde metabolic process,regulation of transcription, DNA-templated,transcription from RNA polymerase II promoter,defense response,inflammatory response,aging,positive regulation of cell proliferation,response to bacterium,animal organ morphogenesis,response to organic substance,response to UV-B,positive regulation of Schwann cell differentiation,cytokine-mediated signaling pathway,positive regulation of chondrocyte differentiation,response to muramyl dipeptide,response to progesterone,response to insulin,tumor necrosis factor-mediated signaling pathway,negative regulation of protein sumoylation,response to cobalamin,response to cytokine,cellular response to hepatocyte growth factor stimulus,response to muscle stretch,NIK/NF-kappaB signaling,negative regulation of protein catabolic process,response to drug,negative regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,response to amino acid,response to morphine,regulation of DNA-templated transcription in response to stress,positive regulation of interleukin-12 biosynthetic process,innate immune response,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,negative regulation of insulin receptor signaling pathway,regulation of inflammatory response,positive regulation of T cell receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,response to cAMP,cellular response to hydrogen peroxide,nucleotide-binding oligomerization domain containing 2 signaling pathway,response to interleukin-1,cellular response to lipopolysaccharide,cellular response to lipoteichoic acid,cellular response to peptidoglycan,cellular response to nicotine,cellular response to interleukin-1,cellular response to interleukin-6,cellular response to tumor necrosis factor,cellular response to peptide hormone stimulus,regulation of NIK/NF-kappaB signaling,negative regulation of NIK/NF-kappaB signaling,positive regulation of NIK/NF-kappaB signaling,positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus,positive regulation of pri-miRNA transcription from RNA polymerase II promoter,positive regulation of miRNA metabolic process,negative regulation of extrinsic apoptotic signaling pathway;","nuclear chromatin,nucleus,transcription factor complex,cytoplasm,cytosol,I-kappaB/NF-kappaB complex,NF-kappaB p50/p65 complex,NF-kappaB complex;",Rela,"RNA polymerase II regulatory region sequence-specific DNA binding,RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II distal enhancer sequence-specific DNA binding,transcription factor activity, RNA polymerase II core promoter sequence-specific,core promoter sequence-specific DNA binding,transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding,DNA binding,chromatin binding,transcription factor activity, sequence-specific DNA binding,transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding,protein binding,transcription factor binding,enzyme binding,protein kinase binding,chromatin DNA binding,ubiquitin protein ligase binding,protein complex binding,activating transcription factor binding,phosphate ion binding,identical protein binding,protein homodimerization activity,actinin binding,histone deacetylase binding,sequence-specific DNA binding,transcription regulatory region DNA binding,protein heterodimerization activity,protein N-terminus binding,NF-kappaB binding,repressing transcription factor binding,ankyrin repeat binding;",Transcription factor p65;Isoform p65 delta of Transcription factor p65,TF65_MOUSE,0.00050583,Q04207;Q04207-2,2,1,1,2,2,2,2,2,14.32758522,7.276221752,4.080267906,9.584949493
"phosphorylation,cerebellum development,substantia nigra development,cellular chloride ion homeostasis","nucleus,mitochondrion,cytosol,dendrite,neuronal cell body,myelin sheath,extracellular exosome",Ckb,"creatine kinase activity,protein binding,ATP binding,ubiquitin protein ligase binding",Creatine kinase B-type,KCRB_MOUSE,2.58E-33,Q04447,18,16,19,20,11,11,11,11,255.367157,198.1436615,238.5381622,336.7373352
"regulation of cell growth,potassium ion transport,sodium ion transport,establishment or maintenance of transmembrane electrochemical gradient,regulation of cell proliferation,ATP hydrolysis coupled transmembrane transport,regulation of sodium ion transmembrane transporter activity","integral component of plasma membrane,sodium:potassium-exchanging ATPase complex,membrane,basolateral plasma membrane,intracellular membrane-bounded organelle,extracellular exosome",Fxyd2,"ion channel activity,sodium:potassium-exchanging ATPase activity,sodium channel regulator activity",Sodium/potassium-transporting ATPase subunit gamma,ATNG_MOUSE,1.99E-56,Q04646,7,6,7,7,7,7,7,7,1769.376465,2095.019775,1855.658203,1635.917603
"transmembrane receptor protein tyrosine kinase signaling pathway,glucose transport,cell migration,cell differentiation,cellular response to platelet-derived growth factor stimulus,peptidyl-tyrosine autophosphorylation,regulation of cell proliferation,innate immune response,positive regulation of transcription from RNA polymerase II promoter,positive regulation of peptidyl-tyrosine phosphorylation,cellular response to retinoic acid,cellular response to transforming growth factor beta stimulus","Golgi apparatus,microtubule organizing center,cytosol,actin filament,plasma membrane,focal adhesion,extrinsic component of cytoplasmic side of plasma membrane,extracellular exosome",Yes1,"phosphotyrosine binding,protein tyrosine kinase activity,non-membrane spanning protein tyrosine kinase activity,receptor binding,epidermal growth factor receptor binding,protein binding,ATP binding,enzyme binding,ion channel binding",Tyrosine-protein kinase Yes,YES_MOUSE,2.61E-31,Q04736,6,5,6,6,6,6,6,6,243.5197449,334.8389893,281.7712402,291.5825195
"DNA replication,DNA topological change,chromatin remodeling,chromosome segregation,peptidyl-serine phosphorylation,circadian regulation of gene expression,embryonic cleavage,response to drug","cytoplasmic mRNA processing body,fibrillar center,nucleus,nucleoplasm,nucleolus,cytoplasm,DNA topoisomerase complex (ATP-hydrolyzing),replication fork protection complex,protein-DNA complex,perikaryon,nuclear chromosome",Top1,"core promoter sequence-specific DNA binding,DNA binding,chromatin binding,double-stranded DNA binding,single-stranded DNA binding,RNA binding,DNA topoisomerase type I activity,protein serine/threonine kinase activity,ATP binding,protein domain specific binding,supercoiled DNA binding",DNA topoisomerase 1,TOP1_MOUSE,2.12E-08,Q04750,12,10,14,11,7,7,7,7,153.3927917,171.6532898,157.0561981,174.5151215
"osteoblast differentiation,cell adhesion,endodermal cell differentiation,protein heterotrimerization,cellular response to amino acid stimulus","extracellular region,proteinaceous extracellular matrix,collagen trimer,extracellular space,lysosomal membrane,membrane,extracellular matrix,sarcolemma,protein complex,extracellular exosome",Col6a1,platelet-derived growth factor binding,Collagen alpha-1(VI) chain,CO6A1_MOUSE,9.39E-42,Q04857,18,15,14,15,8,8,8,8,549.5513916,454.100769,130.5649719,574.7168579
"chemotaxis,actin filament organization,G-protein coupled receptor signaling pathway,small GTPase mediated signal transduction,positive regulation of cell proliferation,positive regulation of lamellipodium assembly,regulation of cell-substrate adhesion,cell projection assembly,actin cytoskeleton organization,regulation of T cell proliferation,regulation of mast cell degranulation,bone resorption,regulation of protein kinase activity,regulation of respiratory burst,regulation of mast cell chemotaxis,lymphocyte aggregation,positive regulation of neutrophil chemotaxis,regulation of neutrophil migration,positive regulation of protein targeting to mitochondrion","nuclear envelope,cytoplasm,cytosol,focal adhesion,membrane,lamellipodium,extracellular exosome,actin filament",Rac2,"GTPase activity,GTP binding,protein kinase regulator activity",Ras-related C3 botulinum toxin substrate 2,RAC2_MOUSE,5.63E-22,Q05144,1,0,1,4,4,4,4,4,43.8722229,11.30313683,6.142862797,114.1156693
"in utero embryonic development,camera-type eye development","endoplasmic reticulum,endoplasmic reticulum lumen",Rcn1,calcium ion binding,Reticulocalbin-1,RCN1_MOUSE,0.000646858,Q05186,2,3,3,3,5,5,5,5,50.29888535,24.52070427,23.02206612,59.42198563
"triglyceride metabolic process,xenobiotic metabolic process,steroid metabolic process,response to ozone,response to organonitrogen compound,monoterpenoid metabolic process,drug metabolic process,epoxygenase P450 pathway,response to drug,response to ethanol,heterocycle metabolic process,oxidation-reduction process","Golgi membrane,mitochondrion,endoplasmic reticulum,intrinsic component of endoplasmic reticulum membrane",Cyp2e1,"monooxygenase activity,iron ion binding,arachidonic acid epoxygenase activity,steroid hydroxylase activity,oxidoreductase activity,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen,enzyme binding,heme binding",Cytochrome P450 2E1,CP2E1_MOUSE,1.09E-38,Q05421,13,12,12,12,8,8,8,8,1633.141235,2263.269043,1332.290649,1660.746826
"glucose metabolic process,lipid metabolic process,phosphatidylcholine biosynthetic process,glucose transport","cytoplasm,extracellular exosome",Fabp5,"transporter activity,lipid binding","Fatty acid-binding protein, epidermal",FABP5_MOUSE,1.69E-34,Q05816,10,11,8,15,7,7,7,7,386.2384033,172.1450043,236.5190887,544.1390381
";Notch signaling pathway,nervous system development,neuroblast proliferation,axonogenesis,lateral ventricle development,neuroblast division in subventricular zone,positive regulation of cell migration,positive regulation of polarized epithelial cell differentiation,forebrain development,adherens junction organization,negative regulation of Notch signaling pathway,positive regulation of neurogenesis,lung epithelial cell differentiation,negative regulation of protein localization to plasma membrane;;;",";nucleus,cytoplasm,early endosome,plasma membrane,focal adhesion,basolateral plasma membrane,extrinsic component of plasma membrane,clathrin-coated vesicle,cytoplasmic vesicle,apical part of cell,apical plasma membrane;;;",Numb,";protein binding,beta-catenin binding,alpha-catenin binding,cadherin binding;;;",Numb protein;Protein numb homolog;Isoform 2 of Protein numb homolog;Isoform 3 of Protein numb homolog;Isoform 4 of Protein numb homolog,Q05BE7_MOUSE;NUMB_MOUSE;NUMB_MOUSE;NUMB_MOUSE;NUMB_MOUSE,1.40E-30,Q05BE7;Q9QZS3;Q9QZS3-2;Q9QZS3-3;Q9QZS3-4,3,3,3,3,3,3,3,3,117.0392838,58.32222748,73.62194061,81.54981232
"translational initiation,regulation of translational initiation",cytoplasm,Eif5b,"RNA binding,translation initiation factor activity,GTPase activity,GTP binding,metal ion binding",Eukaryotic translation initiation factor 5B,IF2P_MOUSE,3.23E-21,Q05D44,8,10,9,8,7,7,7,7,149.4232025,106.2609253,124.9890137,111.2358704
"positive regulation of peptidyl-threonine phosphorylation,peptidyl-serine phosphorylation,signal transduction by protein phosphorylation,activation of protein kinase activity,intracellular signal transduction,protein heterooligomerization,positive regulation of protein serine/threonine kinase activity","cytoplasm,protein complex,extracellular exosome",Cab39,"calcium ion binding,kinase binding,protein kinase activator activity,protein serine/threonine kinase activator activity,protein serine/threonine kinase activity",Calcium-binding protein 39,CAB39_MOUSE,3.19E-49,Q06138,7,7,7,5,7,7,7,7,238.0047607,269.6281738,304.7825012,199.5055695
ATP synthesis coupled proton transport,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),mitochondrion,mitochondrial proton-transporting ATP synthase complex",Atp5i,"hydrogen ion transmembrane transporter activity,ATPase activity","ATP synthase subunit e, mitochondrial",ATP5I_MOUSE,5.17E-42,Q06185,8,8,8,8,8,8,8,8,10698.80273,11264.84375,9266.432617,10064.39258
