Category,Use.For,Protein,Accession,Entry.name,Protein.names.x,Type,Notes,assignment
2,All EVs,HSPA7 HSP70B,NA,HSP77_MOUSE,Putative heat shock 70 kDa protein 7 (Heat shock 70 kDa protein B),promiscuous incorporation in EVs (and possibly exomeres),Heat shock proteins,
3,All EVs as purity control,RPL34,Q9D1R9,RL34_MOUSE,60S ribosomal protein L34 (Large ribosomal subunit protein eL34),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,MRPL19 KIAA0104 MRPL15,Q9D338,RM19_MOUSE,"39S ribosomal protein L19, mitochondrial (L19mt) (MRP-L19) (39S ribosomal protein L15, mitochondrial) (L15mt) (MRP-L15) (Mitochondrial large ribosomal subunit protein bL19m)",protein and protein/nucleic acid aggregates,,unknown
1,All EVs,GNAQ GAQ,P21279,GNAQ_MOUSE,Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q),non-tissue specific,,
2,All EVs,TUB*,P50586,TUB_MOUSE,Tubby protein homolog,promiscuous incorporation in EVs (and possibly exomeres),cytoskeleton,
3,All EVs as purity control,RPL14,Q9CR57,RL14_MOUSE,60S ribosomal protein L14 (CAG-ISL 7) (Large ribosomal subunit protein eL14),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
2,All EVs,ANXA11 ANX11,P97384,ANX11_MOUSE,Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50),with lipid or membrane protein-binding ability,Annexins,unknown
3,All EVs as purity control,DAP3 MRPS29,Q9ER88,RT29_MOUSE,"28S ribosomal protein S29, mitochondrial (MRP-S29) (S29mt) (Death-associated protein 3) (DAP-3) (Ionizing radiation resistance conferring protein) (Mitochondrial small ribosomal subunit protein mS29)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,MRPL12 MRPL7 RPML12,Q9DB15,RM12_MOUSE,"39S ribosomal protein L12, mitochondrial (L12mt) (MRP-L12) (5c5-2) (Mitochondrial large ribosomal subunit protein bL12m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
5,Functional component of EVs: need to determine the mode of association with EVs,COL4A4,Q9QZR9,CO4A4_MOUSE,Collagen alpha-4(IV) chain,,,
1,All EVs,ITGA8,A2ARA8,ITA8_MOUSE,Integrin alpha-8 [Cleaved into: Integrin alpha-8 heavy chain; Integrin alpha-8 light chain],non-tissue specific,Integrins,
3,All EVs as purity control,SNU13 NHP2L1,Q9D0T1,NH2L1_MOUSE,"NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]",protein and protein/nucleic acid aggregates,,NUCLEUS
1,All EVs,ITGA1,Q3V3R4,ITA1_MOUSE,Integrin alpha-1 (CD49 antigen-like family member A) (Laminin and collagen receptor) (VLA-1) (CD antigen CD49a),non-tissue specific,Integrins,PM
1,All EVs,EIF6 EIF3A ITGB4BP OK/SW-cl.27,O55135,IF6_MOUSE,Eukaryotic translation initiation factor 6 (eIF-6) (B(2)GCN homolog) (B4 integrin interactor) (CAB) (p27(BBP)),non-tissue specific,Integrins,unknown
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2BC5 H2BFB HIRIP2 HIST1H2BD,NA,H2B1D_MOUSE,Histone H2B type 1-D (H2B-clustered histone 5) (HIRA-interacting protein 2) (Histone H2B.1 B) (Histone H2B.b) (H2B/b),nucleus,Histones,
1,All EVs,CD81,P35762,CD81_MOUSE,CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81),non-tissue specific,Tetraspanins,PM
5,Functional component of EVs: need to determine the mode of association with EVs,IL2,P04351,IL2_MOUSE,Interleukin-2 (IL-2) (T-cell growth factor) (TCGF) (Aldesleukin),Cytokines and growth factors,,
3,All EVs as purity control,RPS20,P60867,RS20_MOUSE,40S ribosomal protein S20 (Small ribosomal subunit protein uS10),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS3A FTE1 MFTL,P97351,RS3A_MOUSE,40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPL26,P61255,RL26_MOUSE,60S ribosomal protein L26 (Large ribosomal subunit protein uL24),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPL15 EC45 TCBAP0781,Q9CZM2,RL15_MOUSE,60S ribosomal protein L15 (Large ribosomal subunit protein eL15),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPL27,P61358,RL27_MOUSE,60S ribosomal protein L27 (Large ribosomal subunit protein eL27),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPL37A,P61514,RL37A_MOUSE,60S ribosomal protein L37a (Large ribosomal subunit protein eL43),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
2,All EVs,RHOA,Q9QUI0,RHOA_MOUSE,Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12) (h12),with lipid or membrane protein-binding ability,,PM
5,Functional component of EVs: need to determine the mode of association with EVs,TGFB2,P27090,TGFB2_MOUSE,Transforming growth factor beta-2 proprotein (Cetermin) (Glioblastoma-derived T-cell suppressor factor) (G-TSF) [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-2 (TGF-beta-2)],Cytokines and growth factors,,unknown
3,All EVs as purity control,RPL37,Q9D823,RL37_MOUSE,60S ribosomal protein L37 (G1.16) (Large ribosomal subunit protein eL37),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPS7,P62082,RS7_MOUSE,40S ribosomal protein S7 (Small ribosomal subunit protein eS7),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS8 OK/SW-cl.83,P62242,RS8_MOUSE,40S ribosomal protein S8 (Small ribosomal subunit protein eS8),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS15A OK/SW-cl.82,P62245,RS15A_MOUSE,40S ribosomal protein S15a (Small ribosomal subunit protein uS8),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS16,P14131,RS16_MOUSE,40S ribosomal protein S16 (Small ribosomal subunit protein uS9),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS14 PRO2640,P62264,RS14_MOUSE,40S ribosomal protein S14 (Small ribosomal subunit protein uS11),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS23,P62267,RS23_MOUSE,40S ribosomal protein S23 (Small ribosomal subunit protein uS12),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS18 D6S218E,P62270,RS18_MOUSE,40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS29,P62274,RS29_MOUSE,40S ribosomal protein S29 (Small ribosomal subunit protein uS14),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS13,P62301,RS13_MOUSE,40S ribosomal protein S13 (Small ribosomal subunit protein uS15),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS11,P62281,RS11_MOUSE,40S ribosomal protein S11 (Small ribosomal subunit protein uS17),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
2,All EVs,ARF6,P62331,ARF6_MOUSE,ADP-ribosylation factor 6,with lipid or membrane protein-binding ability,,unknown
3,All EVs as purity control,RPL7A SURF-3 SURF3,P12970,RL7A_MOUSE,60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPS4X CCG2 RPS4 SCAR,P62702,RS4X_MOUSE,"40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)",protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPL23A,P62751,RL23A_MOUSE,60S ribosomal protein L23a (Large ribosomal subunit protein uL23),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPS6 OK/SW-cl.2,P62754,RS6_MOUSE,40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4,P62806,H4_MOUSE,Histone H4,nucleus,Histones,NUCLEUS-CHROMATIN
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2BC4 H2BFL HIST1H2BC; H2BC6 H2BFH HIST1H2BE; H2BC7 H2BFG HIST1H2BF; H2BC8 H2BFA HIST1H2BG; H2BC10 H2BFK HIST1H2BI,Q6ZWY9,H2B1C_MOUSE,Histone H2B type 1-C/E/F/G/I (Histone H2B.1 A) (Histone H2B.a) (H2B/a) (Histone H2B.g) (H2B/g) (Histone H2B.h) (H2B/h) (Histone H2B.k) (H2B/k) (Histone H2B.l) (H2B/l),nucleus,Histones,
3,All EVs as purity control,RPL23,P62830,RL23_MOUSE,60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPS15 RIG,P62843,RS15_MOUSE,40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS24,P62849,RS24_MOUSE,40S ribosomal protein S24 (Small ribosomal subunit protein eS24),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS25,P62852,RS25_MOUSE,40S ribosomal protein S25 (Small ribosomal subunit protein eS25),protein and protein/nucleic acid aggregates,,unknown
3,All EVs as purity control,RPS26,P62855,RS26_MOUSE,40S ribosomal protein S26 (Small ribosomal subunit protein eS26),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RPS28,P62858,RS28_MOUSE,40S ribosomal protein S28 (Small ribosomal subunit protein eS28),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,FAU,P62862,RS30_MOUSE,40S ribosomal protein S30 (Small ribosomal subunit protein eS30),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
1,All EVs,GNB1,P62874,GBB1_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1),non-tissue specific,,PM
3,All EVs as purity control,RPL30,P62889,RL30_MOUSE,60S ribosomal protein L30 (Large ribosomal subunit protein eL30),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPL39,P62892,RL39_MOUSE,60S ribosomal protein L39 (Large ribosomal subunit protein eL39),protein and protein/nucleic acid aggregates,,
3,All EVs as purity control,RPL31,P62900,RL31_MOUSE,60S ribosomal protein L31 (Large ribosomal subunit protein eL31),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPL10A NEDD6,P53026,RL10A_MOUSE,60S ribosomal protein L10a (CSA-19) (Large ribosomal subunit protein uL1) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPL32 PP9932,P62911,RL32_MOUSE,60S ribosomal protein L32 (Large ribosomal subunit protein eL32),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPL11,Q9CXW4,RL11_MOUSE,60S ribosomal protein L11 (CLL-associated antigen KW-12) (Large ribosomal subunit protein uL5),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPL8,P62918,RL8_MOUSE,60S ribosomal protein L8 (Large ribosomal subunit protein uL2),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPL41,P62947,RL41_MOUSE,60S ribosomal protein L41 (HG12) (Large ribosomal subunit protein eL41),protein and protein/nucleic acid aggregates,,
3,All EVs as purity control,RPS27A UBA80 UBCEP1,P62983,RS27A_MOUSE,Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)],protein and protein/nucleic acid aggregates,,unknown
3,All EVs as purity control,UBA52 UBCEP2,P62984,RL40_MOUSE,Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (Large ribosomal subunit protein eL40)],protein and protein/nucleic acid aggregates,,
1,All EVs,GNAI1,B2RSH2,GNAI1_MOUSE,Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein),non-tissue specific,,unknown
3,All EVs as purity control,RPL38,Q9JJI8,RL38_MOUSE,60S ribosomal protein L38 (Large ribosomal subunit protein eL38),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPS21,Q9CQR2,RS21_MOUSE,40S ribosomal protein S21 (Small ribosomal subunit protein eS21),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
3,All EVs as purity control,RACK1 GNB2L1 HLC7 PIG21,P68040,RACK1_MOUSE,"Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]",protein and protein/nucleic acid aggregates,,RIBOSOME 40S
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J,P68433,H31_MOUSE,Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l),nucleus,Histones,
3,All EVs as purity control,RPP38,Q80UU2,RPP38_MOUSE,Ribonuclease P protein subunit p38 (RNaseP protein p38) (EC 3.1.26.5),protein and protein/nucleic acid aggregates,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL13RA1 IL13R IL13RA,O09030,I13R1_MOUSE,Interleukin-13 receptor subunit alpha-1 (IL-13 receptor subunit alpha-1) (IL-13R subunit alpha-1) (IL-13R-alpha-1) (IL-13RA1) (Cancer/testis antigen 19) (CT19) (CD antigen CD213a1),Cytokines and growth factors,,unknown
1,All EVs,HLA-DRB3,NA,DRB3_MOUSE,"HLA class II histocompatibility antigen, DR beta 3 chain (MHC class II antigen DRB3)",cell/tissue specific,MHC class II,
3,All EVs as purity control,MRPS22 C3orf5 RPMS22 GK002,Q9CXW2,RT22_MOUSE,"28S ribosomal protein S22, mitochondrial (MRP-S22) (S22mt) (Mitochondrial small ribosomal subunit protein mS22)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,MRPS25 RPMS25,Q9D125,RT25_MOUSE,"28S ribosomal protein S25, mitochondrial (MRP-S25) (S25mt) (Mitochondrial small ribosomal subunit protein mS25)",protein and protein/nucleic acid aggregates,,unknown
3,All EVs as purity control,MRPS10 MSTP040,Q80ZK0,RT10_MOUSE,"28S ribosomal protein S10, mitochondrial (MRP-S10) (S10mt) (Mitochondrial small ribosomal subunit protein uS10m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,MRPS35 MRPS28 HDCMD11P MDS023 PSEC0213,Q8BJZ4,RT35_MOUSE,"28S ribosomal protein S35, mitochondrial (MRP-S35) (S35mt) (28S ribosomal protein S28, mitochondrial) (MRP-S28) (S28mt) (Mitochondrial small ribosomal subunit protein mS35)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,MRPS5,Q99N87,RT05_MOUSE,"28S ribosomal protein S5, mitochondrial (MRP-S5) (S5mt) (Mitochondrial small ribosomal subunit protein uS5m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,MRPS11 RPMS11 HCC2,Q9DCA2,RT11_MOUSE,"28S ribosomal protein S11, mitochondrial (MRP-S11) (S11mt) (Cervical cancer proto-oncogene 2 protein) (HCC-2) (Mitochondrial small ribosomal subunit protein uS11m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,MRPS15 RPMS15 DC37,Q9DC71,RT15_MOUSE,"28S ribosomal protein S15, mitochondrial (MRP-S15) (S15mt) (Mitochondrial small ribosomal subunit protein uS15m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,MRPS21 RPMS21 MDS016,P58059,RT21_MOUSE,"28S ribosomal protein S21, mitochondrial (MRP-S21) (S21mt) (Mitochondrial small ribosomal subunit protein bS21m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,MRPS34,Q9JIK9,RT34_MOUSE,"28S ribosomal protein S34, mitochondrial (MRP-S34) (S34mt) (Mitochondrial small ribosomal subunit protein mS34)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,MRPS6 C21orf101 RPMS6,P58064,RT06_MOUSE,"28S ribosomal protein S6, mitochondrial (MRP-S6) (S6mt) (Mitochondrial small ribosomal subunit protein bS6m)",protein and protein/nucleic acid aggregates,,unknown
3,All EVs as purity control,MRPS9 RPMS9,Q9D7N3,RT09_MOUSE,"28S ribosomal protein S9, mitochondrial (MRP-S9) (S9mt) (Mitochondrial small ribosomal subunit protein uS9m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,RPL24,Q8BP67,RL24_MOUSE,60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPL36A RPL44 GIG15 MIG6,P83882,RL36A_MOUSE,60S ribosomal protein L36a (60S ribosomal protein L44) (Cell growth-inhibiting gene 15 protein) (Cell migration-inducing gene 6 protein) (Large ribosomal subunit protein eL42),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPL19,P84099,RL19_MOUSE,60S ribosomal protein L19 (Large ribosomal subunit protein eL19),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
5,Functional component of EVs: need to determine the mode of association with EVs,IL9R,Q01114,IL9R_MOUSE,Interleukin-9 receptor (IL-9 receptor) (IL-9R) (CD antigen CD129),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL5RA IL5R,P21183,IL5RA_MOUSE,Interleukin-5 receptor subunit alpha (IL-5 receptor subunit alpha) (IL-5R subunit alpha) (IL-5R-alpha) (IL-5RA) (CDw125) (CD antigen CD125),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL1RL1 DER4 ST2 T1,P14719,ILRL1_MOUSE,Interleukin-1 receptor-like 1 (EC 3.2.2.6) (Protein ST2),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL4A3,Q9QZS0,CO4A3_MOUSE,Collagen alpha-3(IV) chain (Goodpasture antigen) [Cleaved into: Tumstatin],,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL7A1,Q63870,CO7A1_MOUSE,Collagen alpha-1(VII) chain (Long-chain collagen) (LC collagen),,,
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H1-1 H1F1 HIST1H1A,P43275,H11_MOUSE,Histone H1.1 (Histone H1a),nucleus,Histones,NUCLEUS-CHROMATIN
3,All EVs as purity control,RPL18A,P62717,RL18A_MOUSE,60S ribosomal protein L18a (Large ribosomal subunit protein eL20),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPL6 TXREB1,P47911,RL6_MOUSE,60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
1,All EVs,GNA12,P27600,GNA12_MOUSE,Guanine nucleotide-binding protein subunit alpha-12 (G alpha-12) (G-protein subunit alpha-12),non-tissue specific,,unknown
2,All EVs,CAV*,P49817,CAV1_MOUSE,Caveolin-1,with lipid or membrane protein-binding ability,caveolins,unknown
5,Functional component of EVs: need to determine the mode of association with EVs,COL10A1,Q05306,COAA1_MOUSE,Collagen alpha-1(X) chain,,,
1,All EVs,AChE-E,P20782,ACHE_MOUSE,Acetylcholine receptor subunit epsilon,cell/tissue specific,erythrocytes,
1,All EVs,A4,Q9R1Q7,PLP2_MOUSE,Proteolipid protein 2 (Differentiation-dependent protein A4) (Intestinal membrane A4 protein),cell/tissue specific,neurons,
5,Functional component of EVs: need to determine the mode of association with EVs,COL14A1 UND,Q80X19,COEA1_MOUSE,Collagen alpha-1(XIV) chain (Undulin),,,
3,All EVs as purity control,RPL18,P35980,RL18_MOUSE,60S ribosomal protein L18 (Large ribosomal subunit protein eL18),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
5,Functional component of EVs: need to determine the mode of association with EVs,COL16A1 FP1572,Q8BLX7,COGA1_MOUSE,Collagen alpha-1(XVI) chain,,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL10RB CRFB4 D21S58 D21S66,Q61190,I10R2_MOUSE,Interleukin-10 receptor subunit beta (IL-10 receptor subunit beta) (IL-10R subunit beta) (IL-10RB) (Cytokine receptor class-II member 4) (Cytokine receptor family 2 member 4) (CRF2-4) (Interleukin-10 receptor subunit 2) (IL-10R subunit 2) (IL-10R2) (CD antigen CDw210b),Cytokines and growth factors,,
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",GOLGA2,Q921M4,GOGA2_MOUSE,Golgin subfamily A member 2 (130 kDa cis-Golgi matrix protein) (GM130) (GM130 autoantigen) (Golgin-95),secretory pathway,,NUCLEUS
5,Functional component of EVs: need to determine the mode of association with EVs,LGALS3BP,Q07797,LG3BP_MOUSE,Galectin-3-binding protein (Basement membrane autoantigen p105) (Lectin galactoside-binding soluble 3-binding protein) (Mac-2-binding protein) (MAC2BP) (Mac-2 BP) (Tumor-associated antigen 90K),adhesion and extracellular matrix proteins,,PM
5,Functional component of EVs: need to determine the mode of association with EVs,MFGE8,P21956,MFGM_MOUSE,Lactadherin (Breast epithelial antigen BA46) (HMFG) (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) [Cleaved into: Lactadherin short form; Medin],adhesion and extracellular matrix proteins,,unknown
1,All EVs,CD47,Q61735,CD47_MOUSE,Leukocyte surface antigen CD47 (Antigenic surface determinant protein OA3) (Integrin-associated protein) (IAP) (Protein MER6) (CD antigen CD47),non-tissue specific,multi-pass membrane proteins,
2,All EVs,HSPA14 HSP60 HSP70L1,Q99M31,HSP7E_MOUSE,Heat shock 70 kDa protein 14 (HSP70-like protein 1) (Heat shock protein HSP60),promiscuous incorporation in EVs (and possibly exomeres),Heat shock proteins,NUCLEUS
5,Functional component of EVs: need to determine the mode of association with EVs,IL24 MDA7 ST16,Q925S4,IL24_MOUSE,Interleukin-24 (IL-24) (Melanoma differentiation-associated gene 7 protein) (MDA-7) (Suppression of tumorigenicity 16 protein),Cytokines and growth factors,,
3,All EVs as purity control,MRPL28 MAAT1,Q9D1B9,RM28_MOUSE,"39S ribosomal protein L28, mitochondrial (L28mt) (MRP-L28) (Melanoma antigen p15) (Melanoma-associated antigen recognized by T-lymphocytes) (Mitochondrial large ribosomal subunit protein bL28m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
5,Functional component of EVs: need to determine the mode of association with EVs,IL15RA,Q60819,I15RA_MOUSE,Interleukin-15 receptor subunit alpha (IL-15 receptor subunit alpha) (IL-15R-alpha) (IL-15RA) (CD antigen CD215) [Cleaved into: Soluble interleukin-15 receptor subunit alpha (sIL-15 receptor subunit alpha) (sIL-15R-alpha) (sIL-15RA)],Cytokines and growth factors,,
1,All EVs,ITGB3BP CENPR NRIF3,Q9CQ82,CENPR_MOUSE,Centromere protein R (CENP-R) (Beta-3-endonexin) (Integrin beta-3-binding protein) (Nuclear receptor-interacting factor 3),non-tissue specific,Integrins,
3,All EVs as purity control,MRPL49 C11orf4 NOF1 OK/SW-cl.67,Q9CQ40,RM49_MOUSE,"39S ribosomal protein L49, mitochondrial (L49mt) (MRP-L49) (Mitochondrial large ribosomal subunit protein mL49) (Neighbor of FAU) (NOF) (Protein NOF1)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
5,Functional component of EVs: need to determine the mode of association with EVs,TMED1 IL1RL1L IL1RL1LG,Q3V009,TMED1_MOUSE,Transmembrane emp24 domain-containing protein 1 (Interleukin-1 receptor-like 1 ligand) (Putative T1/ST2 receptor-binding protein) (p24 family protein gamma-1) (Tp24) (p24gamma1),Cytokines and growth factors,,unknown
5,Functional component of EVs: need to determine the mode of association with EVs,IL18R1 IL1RRP,Q61098,IL18R_MOUSE,Interleukin-18 receptor 1 (IL-18R-1) (IL-18R1) (EC 3.2.2.6) (CD218 antigen-like family member A) (CDw218a) (IL1 receptor-related protein) (IL-1Rrp) (IL1R-rp) (Interleukin-18 receptor alpha) (IL-18R-alpha) (IL-18Ralpha) (CD antigen CD218a),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL10RA IL10R,Q61727,I10R1_MOUSE,Interleukin-10 receptor subunit alpha (IL-10 receptor subunit alpha) (IL-10R subunit alpha) (IL-10RA) (CDw210a) (Interleukin-10 receptor subunit 1) (IL-10R subunit 1) (IL-10R1) (CD antigen CD210),Cytokines and growth factors,,
1,All EVs,ITGA7 UNQ406/PRO768,Q61738,ITA7_MOUSE,Integrin alpha-7 [Cleaved into: Integrin alpha-7 heavy chain; Integrin alpha-7 light chain; Integrin alpha-7 70 kDa form],non-tissue specific,Integrins,PM
1,All EVs,ITGA9,B8JK39,ITA9_MOUSE,Integrin alpha-9 (Integrin alpha-RLC),non-tissue specific,Integrins,
5,Functional component of EVs: need to determine the mode of association with EVs,IL16,O54824,IL16_MOUSE,Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)],Cytokines and growth factors,,
