"","PG.Genes","PG.ProteinDescriptions","PG.UniProtIds","PG.ProteinNames","PG.CellularComponent","PG.BiologicalProcess","PG.MolecularFunction","PG.Qvalue","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity"
"1756","agfg2","Arf-GAP domain and FG repeat-containing protein 2 (Fragment);Arf-GAP domain and FG repeat-containing protein 2;Arf-GAP domain and FG repeat-containing protein 2;Isoform 2 of Arf-GAP domain and FG repeat-containing protein 2","Q3TBU7;Q3U2K8;Q80WC7;Q80WC7-2","Q3TBU7_MOUSE;Q3U2K8_MOUSE;AGFG2_MOUSE;AGFG2_MOUSE",";;membrane;",";;biological_process,positive regulation of GTPase activity;",";;molecular_function,GTPase activator activity,metal ion binding;",0.005451971,"1","2","1","2","Filtered","2","Filtered","1","1","2","0","2","Filtered","2","Filtered","1","0.959907234","0.777605593","NaN","3.201870441","Filtered","1.555721641","Filtered","2.990506887"
"1757","mrpl10","39S ribosomal protein L10, mitochondrial","Q3TBW2","RM10_MOUSE","nucleoplasm,mitochondrion,mitochondrial large ribosomal subunit,intracellular ribonucleoprotein complex","translation,mitochondrial translation","RNA binding,structural constituent of ribosome",8.22e-29,"3","2","4","2","5","4","2","2","3","2","4","2","5","4","2","2","39.59812546","19.1646862","30.87879562","20.24792862","23.17731285","9.752914429","5.964463234","28.64757538"
"1758","hs1bp3","HCLS1-binding protein 3","Q3TC93","H1BP3_MOUSE","mitochondrion,endoplasmic reticulum","cell surface receptor signaling pathway,T cell differentiation,regulation of apoptotic process","protein binding,phosphatidylinositol binding",9.27e-20,"Filtered","4","Filtered","2","1","3","Filtered","1","Filtered","4","Filtered","2","0","3","Filtered","1","Filtered","10.00452805","Filtered","30.29091072","NaN","10.05348492","Filtered","7.306966782"
"1759","eci2","Enoyl-CoA delta isomerase 2, mitochondrial;Enoyl-CoA delta isomerase 2, mitochondrial;Isoform 2 of Enoyl-CoA delta isomerase 2, mitochondrial","Q3TCD4;Q9WUR2;Q9WUR2-2","Q3TCD4_MOUSE;ECI2_MOUSE;ECI2_MOUSE",";nucleoplasm,mitochondrion,peroxisome,peroxisomal matrix,membrane,intracellular membrane-bounded organelle;",";fatty acid beta-oxidation,fatty acid catabolic process;",";fatty-acyl-CoA binding,dodecenoyl-CoA delta-isomerase activity,receptor binding;",4.25e-29,"14","11","12","10","12","13","5","13","14","11","12","10","12","13","5","13","182.7541199","82.86895752","175.2349701","84.57129669","156.0560913","57.89177704","41.62283325","188.7622986"
"1760","cul4a","Cullin-4A","Q3TCH7","CUL4A_MOUSE","Cul4A-RING E3 ubiquitin ligase complex,Cul4-RING E3 ubiquitin ligase complex","in utero embryonic development,DNA repair,ubiquitin-dependent protein catabolic process,positive regulation of cell proliferation,viral process,protein ubiquitination,hemopoiesis,negative regulation of granulocyte differentiation,somatic stem cell population maintenance,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,proteasome-mediated ubiquitin-dependent protein catabolic process,positive regulation of protein catabolic process,regulation of protein metabolic process,positive regulation of G1/S transition of mitotic cell cycle,regulation of DNA damage checkpoint,regulation of nucleotide-excision repair","protein binding,ubiquitin protein ligase binding,ubiquitin protein ligase activity",7.11e-31,"1","1","Filtered","4","1","3","1","1","1","1","Filtered","4","1","3","1","1","28.38769341","5.461844921","Filtered","15.47754288","12.63769627","2.588650227","23.93181801","6.67904377"
"1761","plbd2","Putative phospholipase B-like 2","Q3TCN2","PLBL2_MOUSE","lysosome,lysosomal lumen,extracellular exosome","biological_process,lipid catabolic process","molecular_function,hydrolase activity",0.000229112,"2","4","2","1","2","2","3","1","2","4","2","1","2","2","3","1","26.06719589","22.44454956","24.50794601","25.04907036","25.28942299","37.24495316","35.04108429","32.71224213"
"1762","tapbp","Tapasin;Tapasin;Isoform Short of Tapasin","Q3TCU5;Q9R233;Q9R233-2","Q3TCU5_MOUSE;TPSN_MOUSE;TPSN_MOUSE",";Golgi membrane,endoplasmic reticulum membrane,integral component of plasma membrane,phagocytic vesicle membrane,TAP complex;",";antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,defense response,regulation of gene expression,antigen processing and presentation of endogenous peptide antigen via MHC class I,peptide antigen stabilization,regulation of protein complex stability;",";protein binding,TAP1 binding,TAP2 binding;",7.06e-12,"Filtered","1","Filtered","2","Filtered","4","1","Filtered","Filtered","1","Filtered","2","Filtered","4","1","Filtered","Filtered","8.609100342","Filtered","1.686012626","Filtered","7.598145008","8.312316895","Filtered"
"1763","ppp1r21","Protein phosphatase 1 regulatory subunit 21","Q3TDD9","PPR21_MOUSE","membrane","biological_process","phosphatase binding",1.71e-13,"2","3","2","3","2","2","1","3","2","3","2","3","2","2","1","3","10.7874279","18.86621475","9.174728394","12.18879509","15.35883427","17.859272","12.62998104","11.28244781"
"1764","faf2","FAS-associated factor 2","Q3TDN2","FAF2_MOUSE","endoplasmic reticulum,lipid particle,VCP-NPL4-UFD1 AAA ATPase complex","response to unfolded protein,ER-associated ubiquitin-dependent protein catabolic process,retrograde protein transport, ER to cytosol,lipid particle organization,negative regulation of catalytic activity","ubiquitin protein ligase binding,lipase binding,ubiquitin binding,lipase inhibitor activity",4.69e-35,"5","6","5","4","5","5","3","5","5","6","5","4","5","5","3","5","23.05506325","21.97363281","16.00848579","21.47590065","16.89172173","22.58515358","16.22580338","21.24816895"
"1765","hp1bp3","Heterochromatin protein 1-binding protein 3;Isoform 2 of Heterochromatin protein 1-binding protein 3;Heterochromatin protein 1-binding protein 3","Q3TEA8;Q3TEA8-2;Z4YKB8","HP1B3_MOUSE;HP1B3_MOUSE;Z4YKB8_MOUSE","nucleosome,nucleus,chromosome,nuclear speck;;","nucleosome assembly,regulation of transcription, DNA-templated,regulation of cell proliferation,heterochromatin organization,cellular response to hypoxia,regulation of nucleus size;;","DNA binding,nucleosome binding;;",4.04e-50,"11","15","11","14","13","15","13","10","11","15","11","14","13","15","13","10","51.04206467","100.2818909","59.83297729","105.300087","64.41941833","110.9239197","84.90023041","52.02654648"
"1766","srsf10","Serine/arginine-rich-splicing factor 10;Serine/arginine-rich splicing factor 10;Isoform 2 of Serine/arginine-rich splicing factor 10;Isoform 3 of Serine/arginine-rich splicing factor 10","Q3TFP0;Q9R0U0;Q9R0U0-2;Q9R0U0-3","Q3TFP0_MOUSE;SRS10_MOUSE;SRS10_MOUSE;SRS10_MOUSE",";nucleoplasm,cytosol,nuclear speck;;",";RNA splicing, via transesterification reactions,mRNA splicing, via spliceosome,regulation of transcription, DNA-templated,mRNA splice site selection,mRNA export from nucleus,cytosolic transport,regulation of mRNA splicing, via spliceosome,negative regulation of mRNA splicing, via spliceosome;;",";RNA binding,unfolded protein binding;;",3.54e-20,"1","3","1","4","2","4","4","1","1","3","1","4","2","4","4","1","23.85462761","54.29473495","15.21129131","34.32902908","31.34601402","63.27910614","49.73118591","28.56710243"
"1767","spryd7","SPRY domain-containing protein 7","Q3TFQ1;Q3UBW1","SPRY7_MOUSE;Q3UBW1_MOUSE","cellular_component;","biological_process;","molecular_function;",0.001922998,"Filtered","1","1","Filtered","1","1","Filtered","1","Filtered","1","1","Filtered","1","1","Filtered","1","Filtered","5.289031982","20.63907623","Filtered","5.432510853","7.148504734","Filtered","13.65888023"
"1768","fam107b","Protein FAM107B","Q3TGF2","F107B_MOUSE","cellular_component","sensory perception of sound","molecular_function",2.49e-09,"2","3","1","3","2","3","2","3","2","3","1","3","2","3","2","3","11.11263084","15.84973049","13.39644527","23.28432083","12.67074776","11.73261452","14.28357601","7.285114288"
"1769","atxn2l","Ataxin-2-like protein;Isoform 2 of Ataxin-2-like protein","Q3TGG2;Q7TQH0-2","Q3TGG2_MOUSE;ATX2L_MOUSE",";",";",";",1.75e-05,"3","2","1","4","4","3","1","1","3","2","1","4","4","3","1","1","8.505096436","6.656397343","3.915343761","7.821331978","3.69098711","8.873984337","11.33834076","8.015991211"
"1770","snx12","Sorting nexin 12, isoform CRA_b;Sorting nexin-12;Sorting nexin 12, isoform CRA_c","Q3TGS7;Q3V2H3;Q6ZWQ5","Q3TGS7_MOUSE;Q3V2H3_MOUSE;Q6ZWQ5_MOUSE",";;",";;",";;",3.53e-06,"6","6","5","8","8","7","4","6","6","6","5","8","8","7","4","6","63.97256088","69.97559357","59.32300568","94.35237885","74.70851135","89.6849823","59.21643829","65.09343719"
"1771","fam45a","Protein FAM45A","Q3TH34;Q9D8N2","Q3TH34_MOUSE;FA45A_MOUSE",";cellular_component",";biological_process",";molecular_function",0.0011475,"Filtered","1","1","1","2","1","1","1","Filtered","1","1","1","2","1","1","1","Filtered","32.9948082","26.69514275","22.61550331","14.85762978","45.61901093","19.21164894","19.70989609"
"1772","myl12b","Myosin regulatory light chain 12B","Q3THE2","ML12B_MOUSE","stress fiber,brush border,myosin II complex,Z disc,apical part of cell,extracellular exosome,cell cortex region","regulation of cell shape,platelet aggregation","calcium ion binding,myosin heavy chain binding",1.81e-26,"10","14","10","11","11","15","11","10","10","14","10","11","11","15","11","10","333.7415771","882.7752075","347.7236328","745.6809692","294.8735046","1020.273132","844.0748901","345.791687"
"1773","gmps","GMP synthase [glutamine-hydrolyzing]","Q3THK7","GUAA_MOUSE","cytosol","GMP biosynthetic process,glutamine metabolic process","GMP synthase activity,GMP synthase (glutamine-hydrolyzing) activity,ATP binding,pyrophosphatase activity",4.63e-10,"6","12","4","11","5","15","5","6","6","12","4","11","5","15","5","6","21.03066635","45.44683456","23.30178452","39.09817505","23.05986023","44.25984955","23.94435883","22.91563034"
"1774","mat2a","S-adenosylmethionine synthase isoform type-2","Q3THS6","METK2_MOUSE","cytosol,methionine adenosyltransferase complex","S-adenosylmethionine biosynthetic process,one-carbon metabolic process,protein hexamerization,protein heterooligomerization,cellular response to leukemia inhibitory factor","methionine adenosyltransferase activity,ATP binding,identical protein binding,metal ion binding",8.04e-45,"10","13","11","10","11","13","7","7","10","13","11","10","11","13","7","7","124.0315323","131.2140198","112.5248489","137.8192444","114.9598846","132.6034393","100.0321121","122.9177551"
"1775","pde12","2',5'-phosphodiesterase 12","Q3TIU4","PDE12_MOUSE","mitochondrion,mitochondrial matrix","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,mitochondrial mRNA catabolic process,mRNA processing,cellular response to interferon-alpha,regulation of mitochondrial mRNA stability,positive regulation of viral genome replication,negative regulation of cell death,cellular response to interferon-gamma,cellular response to dsRNA,nucleic acid phosphodiester bond hydrolysis,negative regulation of oxidative phosphorylation,RNA phosphodiester bond hydrolysis, exonucleolytic","3'-5'-exoribonuclease activity,exonuclease activity,poly(A)-specific ribonuclease activity,metal ion binding",1.71e-06,"1","2","2","2","1","3","Filtered","1","1","2","2","2","1","3","Filtered","0","9.026726723","8.864017487","15.39395142","4.899376392","6.597678661","5.16594696","Filtered","NaN"
"1776","zc3h15","Zinc finger CCCH domain-containing protein 15","Q3TIV5","ZC3HF_MOUSE","nucleolus,cytosol","cytokine-mediated signaling pathway","RNA binding,cadherin binding,metal ion binding",2.99e-08,"2","3","2","3","3","3","2","2","2","3","2","3","3","3","2","2","11.46816635","31.80759239","16.45227242","18.29685402","14.95152283","18.53098488","14.32082462","11.90396976"
"1777","pdlim7","PDZ and LIM domain protein 7","Q3TJD7","PDLI7_MOUSE","stress fiber,ruffle,nucleus,cytoplasm,cell-cell adherens junction,focal adhesion,actin cytoskeleton","ossification,multicellular organism development,actin cytoskeleton organization,cell differentiation,positive regulation of osteoblast differentiation","protein binding,metal ion binding",8.59e-36,"2","9","2","8","2","10","9","3","2","9","2","8","2","10","9","3","7.170917988","35.40591431","8.474410057","35.77703094","13.85721588","42.85589981","49.46225357","4.557365894"
"1778","fam98a","Protein FAM98A","Q3TJZ6","FA98A_MOUSE","tRNA-splicing ligase complex","protein methylation,positive regulation of cell proliferation,positive regulation of gene expression,lysosome localization,positive regulation of ruffle assembly","RNA binding,protein binding,protein methyltransferase activity",6.56e-15,"2","2","1","1","1","3","1","1","2","2","1","1","1","3","1","1","12.2162323","11.15964508","10.73132324","12.34921741","10.59485435","15.15572643","8.278232574","3.629704714"
"1779","atp6ap1","ATPase, H+ transporting, lysosomal accessory protein;V-type proton ATPase subunit S1","Q3TKX1;Q9R1Q9","Q3TKX1_MOUSE;VAS1_MOUSE",";endoplasmic reticulum membrane,integral component of membrane,endoplasmic reticulum-Golgi intermediate compartment membrane,proton-transporting V-type ATPase, V1 domain,extracellular exosome",";cellular iron ion homeostasis,ATP hydrolysis coupled proton transport,cellular response to increased oxygen levels,positive regulation of osteoblast differentiation,positive regulation of bone resorption,pH reduction,positive regulation of exocytosis,establishment of organelle localization,positive regulation of ERK1 and ERK2 cascade,positive regulation of osteoclast development,proton-transporting V-type ATPase complex assembly",";ATP binding,Rab GTPase binding,proton-transporting ATP synthase activity, rotational mechanism,proton-transporting ATPase activity, rotational mechanism",0.008315819,"Filtered","1","Filtered","Filtered","1","2","Filtered","Filtered","Filtered","1","Filtered","Filtered","0","2","Filtered","Filtered","Filtered","27.19873047","Filtered","Filtered","NaN","7.154549599","Filtered","Filtered"
"1780","nlrx1","NLR family member X1","Q3TL44","NLRX1_MOUSE","mitochondrion,mitochondrial outer membrane,plasma membrane,cell junction","viral process,negative regulation of interferon-beta production,negative regulation of interleukin-6 production,negative regulation of RIG-I signaling pathway,negative regulation of I-kappaB kinase/NF-kappaB signaling,innate immune response,negative regulation of innate immune response,negative regulation of inflammatory response","protein binding,ATP binding",0.00134226,"2","2","2","1","1","1","1","2","2","2","2","1","1","1","1","2","20.47324753","14.28259945","25.91156197","14.7689085","29.50983429","14.662673","14.90419769","15.05469513"
"1781","uba3","NEDD8-activating enzyme E1 catalytic subunit","Q3TL72;Q8C878","Q3TL72_MOUSE;UBA3_MOUSE",";nucleus,cytoplasm",";mitotic cell cycle,endomitotic cell cycle,protein neddylation,negative regulation of transcription, DNA-templated,regulation of cell cycle",";protein binding,ATP binding,acid-amino acid ligase activity,ligand-dependent nuclear receptor binding,NEDD8 activating enzyme activity,identical protein binding,protein heterodimerization activity",3.63e-05,"Filtered","8","2","5","1","6","3","1","Filtered","8","2","5","1","6","3","1","Filtered","24.51260376","8.561155319","26.72592163","10.61705494","23.47625351","30.25204659","10.0358839"
"1782","echdc2","Enoyl-CoA hydratase domain-containing protein 2, mitochondrial","Q3TLP5","ECHD2_MOUSE","mitochondrion","fatty acid beta-oxidation","enoyl-CoA hydratase activity",1.72e-63,"15","13","14","13","13","11","9","15","15","13","14","13","13","11","9","15","271.8848267","131.2171631","300.5210571","99.52404022","226.3518982","78.90139008","71.45764923","291.7223816"
"1783","scrn3","Secernin-3","Q3TMH2","SCRN3_MOUSE","","proteolysis,exocytosis","molecular_function,dipeptidase activity",1.79e-67,"3","4","3","2","4","3","Filtered","4","3","4","3","2","4","3","Filtered","4","7.838978291","9.99962616","8.861272812","9.711438179","10.70266151","9.413345337","Filtered","8.019703865"
"1784","pdia6","Protein disulfide-isomerase A6","Q3TML0","Q3TML0_MOUSE","","","",9.36e-47,"15","15","15","17","16","18","15","14","15","15","15","17","16","18","15","14","170.4692993","235.7627411","163.3011932","231.5150909","196.9647522","295.1947937","316.1032715","140.4883423"
"1785","manf","Arginine-rich, mutated in early stage tumors, isoform CRA_b;Armet protein","Q3TMX5;Q80ZP8","Q3TMX5_MOUSE;Q80ZP8_MOUSE",";",";",";",3.27e-23,"4","6","5","6","5","7","6","5","4","6","5","6","5","7","6","5","24.37520027","30.89585876","25.97537231","34.17335892","28.28084564","42.66928482","38.21723175","20.74049187"
"1786","xylb","Xylulose kinase","Q3TNA1","XYLB_MOUSE","cytoplasm,extracellular exosome","xylulose metabolic process,D-xylose metabolic process,carbohydrate phosphorylation","xylulokinase activity,ATP binding",1.41e-36,"17","19","20","17","18","17","8","19","17","19","20","17","18","17","8","19","331.7593689","206.4160614","366.6209717","204.9075623","351.9519043","166.2951202","57.16944122","372.2608643"
"1787","exoc5","Exocyst complex component 5","Q3TPX4","EXOC5_MOUSE","exocyst,cytosol,midbody","kidney development,exocytosis,Golgi to plasma membrane transport,protein transport,vesicle docking,membrane organization","Ral GTPase binding,protein N-terminus binding",1.04e-10,"1","3","1","1","1","2","2","2","1","3","1","1","1","2","2","2","11.52317619","10.74454117","11.30833149","12.54465866","5.305437088","13.51173401","9.260614395","5.598833084"
"1788","entpd5","Ectonucleoside triphosphate diphosphohydrolase 5","Q3TQC7;Q9WUZ9","Q3TQC7_MOUSE;ENTP5_MOUSE",";endoplasmic reticulum,extracellular exosome",";protein N-linked glycosylation,cell proliferation,regulation of phosphatidylinositol 3-kinase signaling,cell growth,positive regulation of glycolytic process,ATP metabolic process,'de novo' posttranslational protein folding",";guanosine-diphosphatase activity,nucleoside-diphosphatase activity,uridine-diphosphatase activity",1.09e-21,"10","8","13","12","8","13","10","12","10","8","13","12","8","13","10","12","31.34792328","28.17097855","38.75126648","35.4115715","34.70644379","22.50063896","30.59472275","35.16046143"
"1789","scamp1","Secretory carrier-associated membrane protein 1","Q3TSA8;Q8K021","Q3TSA8_MOUSE;SCAM1_MOUSE",";trans-Golgi network,synaptic vesicle,integral component of membrane,synaptic vesicle membrane,zymogen granule membrane,synapse,recycling endosome membrane",";exocytosis,protein transport",";protein binding",0.000185759,"1","2","1","1","Filtered","1","1","Filtered","1","2","0","1","Filtered","1","1","Filtered","12.729599","13.14433575","NaN","16.57959747","Filtered","26.83586693","22.76307297","Filtered"
"1790","dnpep","Aspartyl aminopeptidase","Q3TVK3;Q9Z2W0","Q3TVK3_MOUSE;DNPEP_MOUSE",";extracellular region,nucleus,cytoplasm,cytosol,blood microparticle",";proteolysis,peptide metabolic process",";zinc ion binding,identical protein binding,metalloaminopeptidase activity",1e-43,"11","11","10","14","11","13","10","10","11","11","10","14","11","13","10","10","63.10863495","67.79958344","56.0939064","80.77762604","67.27388","86.72286224","88.77552795","55.85220337"
"1791","uap1l1","UDP-N-acetylhexosamine pyrophosphorylase-like protein 1","Q3TW96","UAP1L_MOUSE","cytosol","UDP-N-acetylglucosamine biosynthetic process","UDP-N-acetylglucosamine diphosphorylase activity",4.45e-60,"23","27","23","29","25","25","14","23","23","27","23","29","25","25","14","23","239.7911835","249.3661652","241.2628326","272.1222534","275.6407776","284.6429138","136.725296","237.1034241"
"1792","srsf6","Serine/arginine-rich splicing factor 6","Q3TWW8","SRSF6_MOUSE","nuclear speck","alternative mRNA splicing, via spliceosome,regulation of alternative mRNA splicing, via spliceosome,mRNA splice site selection,regulation of keratinocyte proliferation,response to insulin,negative regulation of keratinocyte differentiation,negative regulation of mRNA splicing, via spliceosome,positive regulation of epithelial cell proliferation involved in lung morphogenesis,negative regulation of cell death,regulation of wound healing,negative regulation of type B pancreatic cell apoptotic process","RNA binding,protein binding,pre-mRNA binding",2.13e-13,"Filtered","3","1","2","1","4","1","1","Filtered","3","1","2","1","4","1","1","Filtered","43.38699722","24.21252632","41.98678207","27.57855797","55.76040649","45.71827316","23.14413452"
"1793","psmd1","26S proteasome non-ATPase regulatory subunit 1","Q3TXS7","PSMD1_MOUSE","proteasome complex,nucleus,proteasome regulatory particle, base subcomplex,membrane,proteasome accessory complex,proteasome storage granule,extracellular exosome","regulation of protein catabolic process,proteasome-mediated ubiquitin-dependent protein catabolic process,regulation of catalytic activity","protein binding,enzyme regulator activity,endopeptidase activity",7.49e-40,"16","26","16","25","16","26","20","19","16","26","16","25","16","26","20","19","52.84325409","71.49168396","54.72244644","61.78487396","48.50352478","71.00521851","63.37906265","51.92758179"
"1794","rab31","Rab22B;Ras-related protein Rab-31","Q3TXV4;Q921E2","Q3TXV4_MOUSE;RAB31_MOUSE",";early endosome,phagocytic vesicle membrane,trans-Golgi network membrane,phagocytic vesicle",";receptor internalization,cellular response to insulin stimulus,Golgi to plasma membrane protein transport,regulated exocytosis,phagosome maturation",";GTPase activity,GTP binding,GDP binding",6.42e-13,"3","3","2","3","3","4","4","1","3","3","2","3","3","4","4","1","28.39624405","53.79299164","33.55379105","50.98019791","42.47354889","47.13622284","61.23971558","39.88755417"
"1795","dnajb1","DnaJ homolog subfamily B member 1","Q3TYL7;Q9QYJ3","Q3TYL7_MOUSE;DNJB1_MOUSE",";nucleus,nucleolus,cytoplasm,cytosol,extracellular exosome",";positive regulation of ATPase activity,chaperone mediated protein folding requiring cofactor,chaperone cofactor-dependent protein refolding,negative regulation of inclusion body assembly,negative regulation of transcription from RNA polymerase II promoter in response to stress",";RNA polymerase II transcription corepressor activity,ATPase activator activity,Hsp70 protein binding,cadherin binding,unfolded protein binding,chaperone binding,ATPase binding",1.52e-07,"1","1","1","2","1","2","Filtered","Filtered","1","1","1","2","1","2","Filtered","Filtered","13.78244972","12.68077183","8.272922516","25.43595505","12.25411034","15.51386356","Filtered","Filtered"
"1796","esyt2","Extended synaptotagmin-2","Q3TZZ7","ESYT2_MOUSE","integral component of plasma membrane,membrane,intrinsic component of endoplasmic reticulum membrane,extrinsic component of cytoplasmic side of plasma membrane,organelle membrane contact site","lipid transport,endocytosis","calcium ion binding,calcium-dependent phospholipid binding,phosphatidylethanolamine binding,phosphatidylcholine binding,phosphatidylinositol binding,identical protein binding,cadherin binding",0.002398099,"1","7","1","2","2","11","3","Filtered","1","7","0","2","2","11","3","Filtered","26.61873245","22.04214096","NaN","16.23167229","21.89428139","12.89718056","11.89914322","Filtered"
"1797","dhrs11","Dehydrogenase/reductase SDR family member 11","Q3U0B3","DHR11_MOUSE","cellular_component,extracellular region","steroid biosynthetic process,estrogen biosynthetic process,oxidation-reduction process","nucleotide binding,3-keto sterol reductase activity,estradiol 17-beta-dehydrogenase activity,17-beta-ketosteroid reductase activity,17-beta-hydroxysteroid dehydrogenase (NADP+) activity",2.42e-09,"3","Filtered","2","1","5","4","3","2","3","Filtered","2","0","5","4","3","2","14.0658474","Filtered","6.113163471","NaN","13.8963213","5.232017517","34.95640564","7.071829796"
"1798","khsrp","Far upstream element-binding protein 2","Q3U0V1","FUBP2_MOUSE","nucleoplasm,cytosol,cytoplasmic stress granule,membrane","transcription, DNA-templated,regulation of transcription, DNA-templated,mRNA processing,mRNA catabolic process,RNA splicing,miRNA metabolic process,regulation of mRNA stability,negative regulation of nitric oxide biosynthetic process,mRNA transport,positive regulation of mRNA catabolic process,3'-UTR-mediated mRNA destabilization,cellular response to cytokine stimulus,regulation of miRNA metabolic process","DNA binding,RNA binding,mRNA binding,mRNA 3'-UTR AU-rich region binding",7.5e-56,"16","19","13","20","12","20","16","16","16","19","13","20","12","20","16","16","72.4333725","145.7176514","77.73509216","126.9110031","82.87762451","195.8189545","129.6052551","71.97953796"
"1799","tradd","Tumor necrosis factor receptor type 1-associated DEATH domain protein","Q3U0V2","TRADD_MOUSE","nucleus,cytoplasm,cytoskeleton,plasma membrane,protein complex,receptor complex,membrane raft","apoptotic process,regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,protein heterooligomerization,positive regulation of hair follicle development,extrinsic apoptotic signaling pathway","signal transducer activity,tumor necrosis factor receptor binding,protein binding,kinase binding,protein complex binding,identical protein binding,binding, bridging,death domain binding",0.000142929,"Filtered","Filtered","Filtered","Filtered","Filtered","2","Filtered","Filtered","Filtered","Filtered","Filtered","Filtered","Filtered","2","Filtered","Filtered","Filtered","Filtered","Filtered","Filtered","Filtered","4.261712074","Filtered","Filtered"
"1800","fam213a","Redox-regulatory protein FAM213A","Q3U125;Q9CYH2","Q3U125_MOUSE;F213A_MOUSE",";cytoplasm,mitochondrion,extracellular exosome",";regulation of osteoclast differentiation,oxidation-reduction process,cellular oxidant detoxification",";antioxidant activity",9.52e-50,"8","6","8","7","6","6","5","7","8","6","8","7","6","6","5","7","143.1329346","151.1533508","178.7766113","161.4606934","134.7226715","126.0558243","116.8236618","201.3373566"
"1801","rars2","Probable arginine--tRNA ligase, mitochondrial","Q3U186","SYRM_MOUSE","mitochondrion,mitochondrial matrix","arginyl-tRNA aminoacylation,mitochondrial translation","RNA binding,arginine-tRNA ligase activity,ATP binding",1.02e-40,"5","5","6","3","5","4","1","6","5","5","6","3","5","4","1","6","14.11422062","12.76116467","19.22141075","8.251143456","12.26954269","5.39501524","3.013491154","20.06143951"
"1802","ddb1","DNA damage-binding protein 1","Q3U1J4","DDB1_MOUSE","nuclear chromosome, telomeric region,extracellular space,nucleus,nucleoplasm,cytoplasm,cullin-RING ubiquitin ligase complex,Cul4A-RING E3 ubiquitin ligase complex,Cul4B-RING E3 ubiquitin ligase complex,protein complex,extracellular exosome,Cul4-RING E3 ubiquitin ligase complex","nucleotide-excision repair,cellular response to DNA damage stimulus,proteasomal protein catabolic process,Wnt signaling pathway,protein ubiquitination,histone H2A monoubiquitination,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,negative regulation of apoptotic process,proteasome-mediated ubiquitin-dependent protein catabolic process,positive regulation of viral genome replication,positive regulation of protein catabolic process,positive regulation by virus of viral protein levels in host cell,interaction with symbiont,UV-damage excision repair,regulation of mitotic cell cycle phase transition,positive regulation of viral release from host cell","damaged DNA binding,protein binding,protein binding, bridging,protein complex binding,WD40-repeat domain binding,cullin family protein binding",4.88e-56,"15","24","17","20","17","25","17","14","15","24","17","20","17","25","17","14","126.771904","192.7058868","109.3738708","201.3426819","127.0832825","219.9881744","185.4981689","111.5081482"
