"","PG.BiologicalProcess","PG.CellularComponent","PG.Genes","PG.MolecularFunction","PG.ProteinDescriptions","PG.ProteinNames","PG.Qvalue","PG.UniProtIds","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"1865",";maternal placenta development,spermatogenesis,cell proliferation,cell differentiation,positive regulation of mRNA splicing, via spliceosome;",";nucleus,nucleoplasm,cytoplasm,cytosol,protein complex,polysome;","dazap1",";RNA binding,poly(U) RNA binding,poly(G) binding,RNA stem-loop binding;","DAZ associated protein 1, isoform CRA_b;DAZ-associated protein 1;Isoform 2 of DAZ-associated protein 1","Q3UGB5_MOUSE;DAZP1_MOUSE;DAZP1_MOUSE",8.78e-30,"Q3UGB5;Q9JII5;Q9JII5-2",10,9,10,10,9,9,9,9,461.9642639,468.0636597,648.1746216,448.2458801
"1866","translational initiation;translational initiation","eukaryotic translation initiation factor 3 complex;eukaryotic translation initiation factor 3 complex","eif3j1;eif3j2","translation initiation factor activity;translation initiation factor activity","Eukaryotic translation initiation factor 3 subunit J-A;Eukaryotic translation initiation factor 3 subunit J-B","EI3JA_MOUSE;EI3JB_MOUSE",4.26e-33,"Q3UGC7;Q66JS6",7,7,8,8,8,8,8,8,317.6047974,284.1830139,297.6204529,305.9573975
"1867","dephosphorylation","extracellular exosome","hdhd2","phosphatase activity,enzyme binding,metal ion binding","Haloacid dehalogenase-like hydrolase domain-containing protein 2","HDHD2_MOUSE",3.35e-35,"Q3UGR5",7,6,7,7,7,7,7,7,381.8010864,205.0763855,318.6846924,440.4526978
"1868",";mitotic cytokinesis,in utero embryonic development,neuron migration,plasma membrane repair,cardiac septum development,exocytosis,substrate-dependent cell migration, cell extension,nuclear migration,cell adhesion,axonogenesis,axon guidance,brain development,heart development,adult heart development,cell proliferation,regulation of cell shape,fourth ventricle development,lateral ventricle development,third ventricle development,cerebellar Purkinje cell layer development,actin cytoskeleton organization,actin filament-based movement,myofibril assembly,actomyosin structure organization,neuron projection development,aorta development,neuromuscular process controlling balance,cardiac myofibril assembly,ventricular cardiac muscle cell development,retina development in camera-type eye,coronary vasculature development,modification of postsynaptic actin cytoskeleton",";stress fiber,nucleus,cytoplasm,cytosol,brush border,cell cortex,myosin complex,myosin II complex,lamellipodium,axon,growth cone,midbody,cleavage furrow,actomyosin,neuron projection,neuronal cell body,dendritic spine,extracellular exosome,myosin II filament,spindle,plasma membrane,neuromuscular junction","myh10",";microfilament motor activity,protein binding,calmodulin binding,ATP binding,ATPase activity,actin-dependent ATPase activity,ADP binding,actin filament binding","Myosin-10","Q3UH59_MOUSE;MYH10_MOUSE",1.99e-59,"Q3UH59;Q61879",99,96,102,102,12,12,12,12,13271.86133,15740.97754,15021.17285,12486
"1869",";regulation of transcription involved in G1/S transition of mitotic cell cycle,inner cell mass cell proliferation,transcription, DNA-templated,protein phosphorylation,chromosome segregation,positive regulation of G2/M transition of mitotic cell cycle,positive regulation of transcription elongation from RNA polymerase II promoter,positive regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of DNA binding,histone H4-K12 acetylation,histone H3-K14 acetylation,positive regulation of transcription from RNA polymerase II promoter,protein autophosphorylation,regulation of inflammatory response,regulation of phosphorylation of RNA polymerase II C-terminal domain",";nuclear chromatin,condensed nuclear chromosome,nucleus,DNA-directed RNA polymerase II, core complex,cyclin/CDK positive transcription elongation factor complex,nucleolus","brd4",";RNA polymerase II core binding,p53 binding,DNA binding,chromatin binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,protein C-terminus binding,RNA polymerase II carboxy-terminal domain kinase activity,GTP-dependent protein kinase activity,lysine-acetylated histone binding,RNA polymerase II C-terminal domain phosphoserine binding","Bromodomain-containing protein 4","Q3UH70_MOUSE;BRD4_MOUSE",0.000153397,"Q3UH70;Q9ESU6",3,2,3,3,3,3,3,3,24.43297577,28.1970005,27.26317215,25.25210762
"1870","intracellular protein transport,signal transduction,endosome to lysosome transport,endosomal transport,retrograde transport, endosome to plasma membrane;","immunological synapse,nucleoplasm,endosome,early endosome,cytosol,early endosome membrane,retromer complex,WASH complex;","snx27","protein binding,phosphatidylinositol-3-phosphate binding,phosphatidylinositol binding;","Sorting nexin-27;Isoform 2 of Sorting nexin-27","SNX27_MOUSE",2.78e-05,"Q3UHD6;Q3UHD6-2",7,4,8,7,7,7,7,7,278.015625,151.7108917,208.0426331,256.1498718
"1871","protein phosphorylation,endocytosis,regulation of protein localization,positive regulation of Notch signaling pathway,protein autophosphorylation,protein stabilization,regulation of clathrin-dependent endocytosis;","cytoplasm,clathrin-coated pit,extrinsic component of plasma membrane,clathrin-coated vesicle,cell leading edge,terminal bouton;","aak1","protein serine/threonine kinase activity,Notch binding,ATP binding,AP-2 adaptor complex binding;","AP2-associated protein kinase 1;Isoform 2 of AP2-associated protein kinase 1","AAK1_MOUSE",8.62e-29,"Q3UHJ0;Q3UHJ0-2",8,6,8,8,8,8,8,8,59.98387909,46.67084503,55.48001862,57.49249649
"1872","Golgi to endosome transport,protein transport,cognition;","endosome,trans-Golgi network,cytosol,extracellular exosome;","dopey2","molecular_function;","Protein dopey-2;Isoform 2 of Protein dopey-2","DOP2_MOUSE",8.55e-05,"Q3UHQ6;Q3UHQ6-2",1,1,2,2,2,2,2,2,31.35725021,17.03182411,15.50192451,36.08592224
"1873","platelet-derived growth factor receptor signaling pathway","extracellular space","pdap1","RNA binding,platelet-derived growth factor binding","28 kDa heat- and acid-stable phosphoprotein","HAP28_MOUSE",2.72e-36,"Q3UHX2",8,6,8,8,8,8,8,8,341.1385803,300.8263855,366.1773987,359.1886292
"1874",";negative regulation of transcription from RNA polymerase II promoter,nucleosome disassembly,chromatin remodeling,transcription, DNA-templated,chromatin modification,regulation of transcription from RNA polymerase II promoter involved in forebrain neuron fate commitment,ATP-dependent chromatin remodeling,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated;",";nuclear chromatin,nucleoplasm,SWI/SNF complex,protein complex,npBAF complex,nBAF complex,transcriptional repressor complex;","smarcc2",";chromatin binding,protein binding,RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II distal enhancer sequence-specific DNA binding,nucleosomal DNA binding;","SWI/SNF complex subunit SMARCC2;SWI/SNF complex subunit SMARCC2;Isoform 2 of SWI/SNF complex subunit SMARCC2","Q3UID0_MOUSE;SMRC2_MOUSE;SMRC2_MOUSE",4.17e-35,"Q3UID0;Q6PDG5;Q6PDG5-2",12,9,14,11,7,7,7,7,188.3173828,240.830658,334.5352173,203.568512
"1875","","","plekha7","","Isoform 2 of Pleckstrin homology domain-containing family A member 7","PKHA7_MOUSE",2.93e-52,"Q3UIL6-2",8,4,7,8,7,7,7,7,219.3462677,65.10682678,156.7538757,226.3842163
"1876","mRNA splicing, via spliceosome","spliceosomal complex,U2-type spliceosomal complex,U2 snRNP,U12-type spliceosomal complex,precatalytic spliceosome,catalytic step 2 spliceosome","sf3b2","RNA binding,protein binding","Protein Sf3b2","Q3UJB0_MOUSE",4.16e-49,"Q3UJB0",15,13,16,15,7,7,7,7,733.3312988,723.8964844,970.4326782,731.7277832
"1877","cellular calcium ion homeostasis,apoptotic process,cell differentiation","spindle pole,nucleus,mitochondrion,mitochondrial outer membrane,microtubule,integral component of membrane","rmdn3","molecular_function","Regulator of microtubule dynamics protein 3","RMD3_MOUSE",3.87e-23,"Q3UJU9",6,5,7,7,7,7,7,7,130.0681305,68.84239197,154.0660858,157.4997559
"1878",";translation,biological_process",";mitochondrion,mitochondrial large ribosomal subunit","mrpl9",";molecular_function,RNA binding,structural constituent of ribosome","39S ribosomal protein L9, mitochondrial;39S ribosomal protein L9, mitochondrial","Q3UK02_MOUSE;RM09_MOUSE",2.08e-12,"Q3UK02;Q99N94",2,1,2,2,2,2,2,2,52.74346161,42.21937943,26.98000908,45.02101898
"1879","regulation of alternative mRNA splicing, via spliceosome,biological_process","cellular_component,cytoplasm,nuclear speck","smu1","molecular_function","WD40 repeat-containing protein SMU1","SMU1_MOUSE",2e-21,"Q3UKJ7",6,5,7,5,7,7,7,7,192.1861267,210.3129272,229.9887543,214.4989471
"1880",";",";","tes",";","Testin;Putative uncharacterized protein Tes","Q3ULB1_MOUSE;Q921W7_MOUSE",7.96e-39,"Q3ULB1;Q921W7",9,7,9,8,7,7,7,7,307.8400879,235.7013702,379.9024658,239.5566864
"1881","leucine catabolic process,coenzyme A metabolic process","mitochondrion,mitochondrial matrix,methylcrotonoyl-CoA carboxylase complex","mccc2","ATP binding,methylcrotonoyl-CoA carboxylase activity","Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial","MCCB_MOUSE",7.06e-53,"Q3ULD5",35,33,31,33,8,8,8,8,1559.726318,1842.941406,1075.908203,1478.524048
"1882","regulation of heart rate,carbohydrate metabolic process,NADH metabolic process,positive regulation of sodium ion transport,NAD metabolic process,negative regulation of peptidyl-serine phosphorylation,glycerol-3-phosphate catabolic process,oxidation-reduction process,regulation of ventricular cardiac muscle cell membrane depolarization,ventricular cardiac muscle cell action potential,negative regulation of protein kinase C signaling,positive regulation of protein localization to cell surface,regulation of sodium ion transmembrane transporter activity;","plasma membrane,glycerol-3-phosphate dehydrogenase complex,membrane,extracellular exosome;","gpd1l","glycerol-3-phosphate dehydrogenase [NAD+] activity,sodium channel regulator activity,protein homodimerization activity,ion channel binding,NAD binding;","Glycerol-3-phosphate dehydrogenase 1-like protein;Isoform 2 of Glycerol-3-phosphate dehydrogenase 1-like protein","GPD1L_MOUSE",1.29e-41,"Q3ULJ0;Q3ULJ0-2",16,15,16,15,7,7,7,7,737.6092529,363.1000061,621.7573242,622.2865601
"1883","telomere maintenance,lagging strand elongation,double-strand break repair,protein ADP-ribosylation,DNA ligation involved in DNA repair,positive regulation of DNA ligation,regulation of mitotic spindle organization,protein localization to site of double-strand break;","nucleolus,cytoplasm,cytosol,site of double-strand break;","parp3","DNA ligase (ATP) activity,NAD+ ADP-ribosyltransferase activity;","Poly [ADP-ribose] polymerase","Q3ULW8_MOUSE;Q8CFB8_MOUSE",6.38e-33,"Q3ULW8;Q8CFB8",13,7,14,14,8,8,8,8,209.8778534,236.0756836,381.0068665,307.7006531
"1884","chromosome segregation,positive regulation of protein dephosphorylation","nucleus,chromosome,extracellular exosome","ppp1r7","","Protein phosphatase 1 regulatory subunit 7","PP1R7_MOUSE",2.97e-40,"Q3UM45",13,10,13,14,7,7,7,7,482.9049072,472.5341492,632.5249634,557.0119629
"1885","endosome organization,protein transport,endosomal transport","endosome,early endosome,WASH complex,BLOC-1 complex","kiaa1033","molecular_function","WASH complex subunit SWIP","WASH7_MOUSE",4.93e-19,"Q3UMB9",4,4,4,4,4,4,4,4,58.01224899,46.74935913,63.94823837,77.40992737
"1886","mitochondrial calcium ion transport,calcium-mediated signaling,positive regulation of insulin secretion,protein complex oligomerization,calcium ion transmembrane import into mitochondrion,glucose homeostasis,positive regulation of mitochondrial calcium ion concentration","mitochondrion,mitochondrial inner membrane,integral component of mitochondrial inner membrane,calcium channel complex,uniplex complex","mcu","calcium channel activity,protein binding,uniporter activity,identical protein binding","Calcium uniporter protein, mitochondrial","MCU_MOUSE",1.7e-33,"Q3UMR5",4,5,3,4,5,5,5,5,23.69074059,126.7119751,83.28651428,92.58409119
"1887","positive regulation of cell growth;;;","nucleus;;;","hdgfrp2","chromatin binding,protein binding;;;","Hepatoma-derived growth factor-related protein 2;Isoform 2 of Hepatoma-derived growth factor-related protein 2;Isoform 3 of Hepatoma-derived growth factor-related protein 2;Isoform 4 of Hepatoma-derived growth factor-related protein 2","HDGR2_MOUSE",6e-25,"Q3UMU9;Q3UMU9-2;Q3UMU9-3;Q3UMU9-4",3,4,4,3,5,5,5,5,60.38337708,45.84083939,74.59993744,72.56776428
"1888","multicellular organism development,CDP-diacylglycerol biosynthetic process","endoplasmic reticulum,endoplasmic reticulum membrane,cytosol,membrane,integral component of membrane","lclat1","1-acylglycerol-3-phosphate O-acyltransferase activity,transferase activity, transferring acyl groups","Lysocardiolipin acyltransferase 1","LCLT1_MOUSE",3.96e-31,"Q3UN02",3,3,3,3,3,3,3,3,66.79855347,74.2351532,92.5092926,80.12989807
"1889","fatty acid biosynthetic process,fatty acid beta-oxidation,acyl-CoA metabolic process","mitochondrion,mitochondrial matrix","acsm3","acyl-CoA ligase activity,fatty-acyl-CoA synthase activity,ATP binding,fatty acid ligase activity,metal ion binding,butyrate-CoA ligase activity","Acyl-coenzyme A synthetase ACSM3, mitochondrial","ACSM3_MOUSE",3.32e-33,"Q3UNX5",32,29,30,27,9,9,9,9,3049.465332,2322.502686,1509.673584,1722.096313
"1890","oxidation-reduction process","mitochondrion","","oxidoreductase activity","Quinone oxidoreductase-like protein 2","QORL2_MOUSE",7.99e-41,"Q3UNZ8",22,19,22,21,10,10,10,10,2330.736328,1943.577515,1225.765259,2312.465088
"1891","metabolic process,cellular response to genistein","integral component of membrane,intracellular membrane-bounded organelle,UDP-N-acetylglucosamine transferase complex","ugt3a1","UDP-glycosyltransferase activity,glucuronosyltransferase activity","UDP-glucuronosyltransferase 3A1","UD3A1_MOUSE",1.48e-65,"Q3UP75",13,12,12,12,7,7,7,7,2431.750977,3155.044189,970.9534302,1727.631104
"1892","negative regulation of transcription from RNA polymerase II promoter,response to yeast,acute inflammatory response to antigenic stimulus,leukocyte migration involved in inflammatory response,biosynthetic process of antibacterial peptides active against Gram-negative bacteria,proteolysis,phagocytosis,response to UV,response to lipopolysaccharide,defense response to bacterium,negative regulation of growth of symbiont in host,negative regulation of chemokine biosynthetic process,negative regulation of interleukin-8 biosynthetic process,positive regulation of interleukin-8 biosynthetic process,positive regulation of smooth muscle cell proliferation,positive regulation of immune response,defense response to fungus,leukocyte migration,neutrophil mediated killing of gram-negative bacterium,neutrophil mediated killing of fungus,positive regulation of leukocyte tethering or rolling","extracellular space,cytoplasm,cell surface,transcriptional repressor complex,secretory granule,extracellular exosome","elane","RNA polymerase II transcription corepressor activity,protease binding,endopeptidase activity,serine-type endopeptidase activity,heparin binding,peptidase activity,cytokine binding","Neutrophil elastase","ELNE_MOUSE",1.49e-23,"Q3UP87",3,7,7,4,7,7,7,7,29.99307442,960.6668701,88.1080246,48.20130157
"1893","biological_process","cellular_component,Golgi apparatus","prrc1","","Protein PRRC1","PRRC1_MOUSE",1.82e-18,"Q3UPH1",6,5,8,6,7,7,7,7,120.5504456,119.5793839,159.6677704,90.08952332
"1894","protein transport,response to calcium ion,cargo loading into COPII-coated vesicle","Golgi membrane,cytoplasm,endoplasmic reticulum,endoplasmic reticulum membrane,cytosol,vesicle coat,COPII vesicle coat,ER to Golgi transport vesicle,intracellular membrane-bounded organelle,perinuclear region of cytoplasm,endoplasmic reticulum exit site","sec31a","calcium-dependent protein binding","Protein transport protein Sec31A","SC31A_MOUSE",3.17e-47,"Q3UPL0",33,31,36,34,9,9,9,9,1143.206055,1193.772217,1227.393311,1274.30127
"1895","response to oxidative stress,extracellular matrix organization,hydrogen peroxide catabolic process,oxidation-reduction process,cellular oxidant detoxification","proteinaceous extracellular matrix,extracellular space,endoplasmic reticulum,extracellular matrix,extracellular exosome","pxdn","peroxidase activity,extracellular matrix structural constituent,heme binding,metal ion binding","Peroxidasin homolog","PXDN_MOUSE",1.63e-16,"Q3UQ28",10,12,11,9,7,7,7,7,43.50875854,417.7096252,83.71346283,36.04480743
"1896","Arp2/3 complex-mediated actin nucleation,regulation of GTPase activity,thrombin-activated receptor signaling pathway","cytoplasm,microtubule,microvillus,cell surface,lamellipodium,filopodium,extracellular exosome,filamentous actin","iqgap2","calmodulin binding,phosphatidylinositol-3,4,5-trisphosphate binding,Rho GTPase binding,Rac GTPase binding,actin filament binding,Arp2/3 complex binding","Ras GTPase-activating-like protein IQGAP2","IQGA2_MOUSE",2.57e-34,"Q3UQ44",17,11,19,16,7,7,7,7,145.219101,111.3739853,199.9763641,159.2746735
"1897","regulation of translational fidelity,mitochondrial threonyl-tRNA aminoacylation;","mitochondrion,mitochondrial matrix;","tars2","aminoacyl-tRNA editing activity,threonine-tRNA ligase activity,ATP binding,protein homodimerization activity;","Threonine--tRNA ligase, mitochondrial;Tars2 protein","SYTM_MOUSE;Q922A3_MOUSE",7.69e-05,"Q3UQ84;Q922A3",4,2,4,3,4,4,4,4,42.80948257,23.32225227,52.20642471,37.86061096
"1898","membrane invagination,clathrin coat assembly,synaptic vesicle endocytosis,clathrin-dependent endocytosis,protein localization to plasma membrane","plasma membrane,clathrin-coated pit,clathrin-coated vesicle,presynaptic endocytic zone membrane","fcho2","phosphatidylserine binding,protein binding,phosphatidylinositol-4,5-bisphosphate binding,phosphatidylinositol binding,identical protein binding","F-BAR domain only protein 2","FCHO2_MOUSE",1.9e-36,"Q3UQN2",11,9,12,11,8,8,8,8,142.1617126,89.96274567,162.4792786,175.5406342
"1899","fatty acid metabolic process,fatty acid biosynthetic process,malonate catabolic process","mitochondrion","acsf3","ATP binding,acid-thiol ligase activity,malonyl-CoA synthetase activity","Acyl-CoA synthetase family member 3, mitochondrial","ACSF3_MOUSE",4.32e-54,"Q3URE1",13,8,11,12,7,7,7,7,168.8148041,173.5209808,110.2516174,220.3051758
"1900","biological_process;","mitochondrion,integral component of membrane;","ccdc51","molecular_function;","Coiled-coil domain-containing protein 51;Isoform 2 of Coiled-coil domain-containing protein 51","CCD51_MOUSE",2.36e-23,"Q3URS9;Q3URS9-2",3,3,2,2,3,3,3,3,56.81531525,77.23007202,34.47562408,73.06742096
"1901","","","agt","","Angiotensinogen","Q3UTR7_MOUSE",5.18e-46,"Q3UTR7",12,12,12,11,8,8,8,8,616.6760254,1858.401001,488.3601074,770.9099121
"1902","fatty acid metabolic process,viral process,protein kinase B signaling,regulation of mitochondrial membrane permeability involved in apoptotic process","mitochondrion,mitochondrial inner membrane,mitochondrial intermembrane space,cytosol,ruffle membrane","them4","palmitoyl-CoA hydrolase activity,Requires Ontology","Acyl-coenzyme A thioesterase THEM4","THEM4_MOUSE",3.22e-18,"Q3UUI3",4,3,5,3,5,5,5,5,99.46821594,115.1563187,74.02705383,107.0907898
"1903","biological_process","cellular_component","fam91a1","molecular_function","Protein FAM91A1","F91A1_MOUSE",6.1e-06,"Q3UVG3",2,1,3,2,3,3,3,3,46.60303879,42.30098343,54.24093628,26.47440529
"1904","proteolysis","endoplasmic reticulum membrane,membrane,integral component of membrane","ermp1","molecular_function,metallopeptidase activity,metal ion binding","Endoplasmic reticulum metallopeptidase 1","ERMP1_MOUSE",3.36e-21,"Q3UVK0",4,4,4,4,4,4,4,4,49.80121994,170.59198,82.368927,46.06587219
"1905","lipid transport,autophagy,Golgi organization,lysosomal transport,protein transport,endocytic recycling,retrograde transport, endosome to Golgi,Golgi vesicle transport;","GARP complex,nucleolus,Golgi apparatus,trans-Golgi network,cytosol,membrane,integral component of membrane,intracellular membrane-bounded organelle,recycling endosome,EARP complex;","vps51","molecular_function;","Vacuolar protein sorting-associated protein 51 homolog;Isoform 2 of Vacuolar protein sorting-associated protein 51 homolog","VPS51_MOUSE",2.79e-19,"Q3UVL4;Q3UVL4-2",5,4,5,5,5,5,5,5,91.89022827,74.00618744,89.61489868,65.69412231
"1906","negative regulation of protein phosphorylation,positive regulation of protein phosphorylation,response to endoplasmic reticulum stress,positive regulation of translation","cytoplasm,cytosol,plasma membrane,membrane,extracellular exosome","fam129a","molecular_function","Protein Niban","NIBAN_MOUSE",2.45e-49,"Q3UW53",13,13,16,13,7,7,7,7,236.3023682,360.7549438,317.7366028,334.0279541
"1907",";hydrogen sulfide biosynthetic process",";cytoplasm,mitochondrion,mitochondrial inner membrane,cell junction,neuron projection,synapse,extracellular exosome","mpst",";thiosulfate sulfurtransferase activity,3-mercaptopyruvate sulfurtransferase activity","Sulfurtransferase;3-mercaptopyruvate sulfurtransferase","Q3UW66_MOUSE;THTM_MOUSE",9.43e-30,"Q3UW66;Q99J99",23,18,22,23,10,10,10,10,1890.309814,669.2645874,1149.009155,1656.687988
"1908","cytoskeleton organization,microtubule-based process","cytoplasm,microtubule","tubal3","GTPase activity,structural constituent of cytoskeleton,GTP binding","Tubulin alpha chain-like 3","TBAL3_MOUSE",0.000121167,"Q3UX10",2,1,1,1,2,2,2,2,19.19520569,53.87211609,29.01567459,14.08095169
"1909",";fatty acid elongation,phytol metabolic process,oxidation-reduction process",";mitochondrion,peroxisome,peroxisomal membrane,intracellular membrane-bounded organelle","pecr",";receptor binding,trans-2-enoyl-CoA reductase (NADPH) activity","Peroxisomal trans-2-enoyl-CoA reductase","Q3UXD9_MOUSE;PECR_MOUSE",4.3e-35,"Q3UXD9;Q99MZ7",21,21,20,21,13,13,13,13,14004.1084,18098.72266,6734.219238,12232.29785
"1910","protein dephosphorylation;","nucleus,nucleoplasm,cytoplasm;","ppm1h","phosphoprotein phosphatase activity,protein serine/threonine phosphatase activity;","Protein phosphatase 1H;Isoform 2 of Protein phosphatase 1H","PPM1H_MOUSE",3.14e-41,"Q3UYC0;Q3UYC0-2",6,4,7,7,7,7,7,7,38.73495483,41.7282486,41.40236664,58.39515686
"1911","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,spliceosomal complex assembly,mRNA splicing, via spliceosome,7-methylguanosine mRNA capping,mRNA export from nucleus,regulation of translational initiation,positive regulation of cell growth,primary miRNA processing,positive regulation of mRNA 3'-end processing,mRNA cis splicing, via spliceosome,positive regulation of mRNA splicing, via spliceosome,pre-mRNA cleavage required for polyadenylation,positive regulation of RNA binding,regulation of mRNA polyadenylation","nucleus,nucleoplasm,mitochondrion,cytosol,mRNA cap binding complex,nuclear cap binding complex,intracellular ribonucleoprotein complex,RNA cap binding complex","ncbp1","RNA cap binding,RNA 7-methylguanosine cap binding,RNA binding,mRNA binding,protein binding","Nuclear cap-binding protein subunit 1","NCBP1_MOUSE",0.000242141,"Q3UYV9",2,1,1,2,2,2,2,2,7.855897903,3.481321812,34.94516754,6.59009552
"1912","sulfate assimilation,catecholamine metabolic process,lipid metabolic process,sulfation","cytoplasm","sult1d1","aryl sulfotransferase activity,sulfotransferase activity","Sulfotransferase 1 family member D1","ST1D1_MOUSE",1.43e-33,"Q3UZZ6",24,18,25,24,10,10,10,10,2633.58374,1690.574341,1804.694946,2559.852295
"1913","intestinal D-glucose absorption,regulation of microvillus length,positive regulation of multicellular organism growth,actin filament bundle assembly,actin filament network formation,actin crosslink formation,terminal web assembly,positive regulation of protein localization to plasma membrane,microvillus assembly","cytoplasm,actin filament,brush border,actin filament bundle,extracellular exosome,terminal web","pls1","calcium ion binding,protein binding,actin filament binding","Plastin-1","PLSI_MOUSE",1.11e-46,"Q3V0K9",18,11,20,20,7,7,7,7,516.2867432,110.0170898,389.272644,589.2603149
"1914",";acetyl-CoA biosynthetic process,citrate metabolic process,oxaloacetate metabolic process,fatty acid biosynthetic process,lipid biosynthetic process",";nucleoplasm,mitochondrion,cytosol,plasma membrane,citrate lyase complex,membrane,extracellular exosome","acly",";ATP citrate synthase activity,protein binding,ATP binding,metal ion binding,cofactor binding","ATP-citrate synthase","Q3V117_MOUSE;ACLY_MOUSE",3.84e-39,"Q3V117;Q91V92",35,37,38,38,8,8,8,8,1832.495483,2340.659668,1628.423462,2383.9375
"1915","mitochondrial electron transport, cytochrome c to oxygen,mitochondrion organization,mitochondrial protein catabolic process","mitochondrion,mitochondrial membrane","lace1","molecular_function,ATP binding,hydrolase activity","Lactation elevated protein 1","LACE1_MOUSE",8.1e-25,"Q3V384",7,4,5,6,7,7,7,7,80.12002563,70.08847046,78.0461731,142.2035065
"1916","neural tube closure,folic acid-containing compound metabolic process,purine nucleobase biosynthetic process,10-formyltetrahydrofolate biosynthetic process,formate metabolic process,tetrahydrofolate interconversion,tetrahydrofolate metabolic process,embryonic neurocranium morphogenesis,embryonic viscerocranium morphogenesis,oxidation-reduction process","mitochondrion,membrane","mthfd1l","formate-tetrahydrofolate ligase activity,methenyltetrahydrofolate cyclohydrolase activity,methylenetetrahydrofolate dehydrogenase (NADP+) activity,ATP binding,protein homodimerization activity","Monofunctional C1-tetrahydrofolate synthase, mitochondrial","C1TM_MOUSE",1.33e-20,"Q3V3R1",11,7,11,8,7,7,7,7,87.53756714,172.816391,122.3190384,84.08904266
"1917","activation of MAPK activity,cell adhesion,cell-matrix adhesion,integrin-mediated signaling pathway,negative regulation of cell proliferation,neutrophil chemotaxis,positive regulation of phosphoprotein phosphatase activity,negative regulation of epidermal growth factor receptor signaling pathway,vasodilation,positive regulation of neuron apoptotic process,cellular extravasation,neuron projection morphogenesis","acrosomal vesicle,plasma membrane,focal adhesion,external side of plasma membrane,cell surface,membrane,integrin alpha1-beta1 complex,neuron projection,perikaryon,membrane raft,basal part of cell,extracellular exosome","itga1","receptor binding,protein binding,protein phosphatase binding,metal ion binding,collagen binding involved in cell-matrix adhesion","Integrin alpha-1","ITA1_MOUSE",5.19e-48,"Q3V3R4",19,18,19,18,7,7,7,7,1205.479004,1212.965332,857.3999023,927.5975342
"1918","transcription, DNA-templated,negative regulation of NF-kappaB transcription factor activity","cellular_component,nucleus,cytoplasm","commd6","NF-kappaB binding","COMM domain-containing protein 6","COMD6_MOUSE",3.61e-12,"Q3V4B5",2,1,2,1,2,2,2,2,35.9701767,33.50149918,24.0237484,19.50600624
"1919","sodium ion transport,lactate transmembrane transport;","integral component of membrane,apical plasma membrane,extracellular exosome;","slc5a12","lactate transmembrane transporter activity,symporter activity;","Sodium-coupled monocarboxylate transporter 2;Isoform 2 of Sodium-coupled monocarboxylate transporter 2","SC5AC_MOUSE",3.72e-15,"Q49B93;Q49B93-2",5,3,4,5,6,6,6,6,69.92536926,18.01303673,24.13535309,32.69414139
"1920","","","cfhr2","","Protein Cfhr2","Q4LDF6_MOUSE",0.000103039,"Q4LDF6",3,3,3,2,3,3,3,3,145.9439545,827.0899658,149.7161102,100.2018814
"1921","biological_process;","cellular_component,integral component of membrane;","odr4","molecular_function;","Protein odr-4 homolog;Isoform 3 of Protein odr-4 homolog","ODR4_MOUSE",0.00020861,"Q4PJX1;Q4PJX1-3",4,3,5,5,6,6,6,6,23.37923241,54.28637695,56.80614471,67.10121155
"1922","cardiac ventricle development,regulation of cardiac conduction","mitochondrion,mitochondrial inner membrane,plasma membrane,intercalated disc,integral component of membrane","tmem65","protein binding","Transmembrane protein 65","TMM65_MOUSE",0.001969311,"Q4VAE3",3,2,2,1,3,3,3,3,12.83680344,41.45569229,24.44029999,61.98350143
"1923","multicellular organism development,biological_process","cellular_component,nucleoplasm,cytoplasm","wdr18","molecular_function","WD repeat-containing protein 18","WDR18_MOUSE",1.29e-19,"Q4VBE8",2,2,2,2,2,2,2,2,63.81573105,71.28474426,87.46237183,62.77717209
